90,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,163781,NrInfeasibleMatchings,2212
Time,Value 
1200,8766
1170,8766
1140,8766
1110,8766
1080,8766
1050,8766
1020,8766
990,8766
960,8766
930,8766
900,8766
870,8766
360,8938
330,9010
300,9058
270,9060
240,9060
210,9060
180,9078
150,9104
120,9162
90,9194
60,9236
30,9626
0,11006
390,8936
420,8830
450,8816
480,8774
510,8766
540,8766
570,8766
600,8766
630,8766
660,8766
690,8766
720,8766
750,8766
780,8766
810,8766
840,8766
Final, 8766,1220

Round,H_team,A_team 
0,0,33
0,1,2
0,3,4
0,5,8
0,6,7
0,9,10
0,11,12
0,13,32
0,14,31
0,15,30
0,16,29
0,17,28
0,18,19
0,20,27
0,21,22
0,23,26
0,24,25
0,39,34
0,38,35
0,37,36
1,2,0
1,4,1
1,8,3
1,7,5
1,10,6
1,12,9
1,33,11
1,14,13
1,32,15
1,19,16
1,29,17
1,28,18
1,22,20
1,27,21
1,25,23
1,26,24
1,31,30
1,34,37
1,35,39
1,36,38
2,0,11
2,1,8
2,2,10
2,3,5
2,4,7
2,6,12
2,9,13
2,14,18
2,15,21
2,16,17
2,19,20
2,23,22
2,24,29
2,25,28
2,26,27
2,36,30
2,32,31
2,34,33
2,35,37
2,39,38
3,12,0
3,5,1
3,8,2
3,7,3
3,10,4
3,13,6
3,11,9
3,20,14
3,17,15
3,18,16
3,21,19
3,22,24
3,29,23
3,27,25
3,28,26
3,30,32
3,31,36
3,33,35
3,38,34
3,37,39
4,0,1
4,3,2
4,4,5
4,9,6
4,8,7
4,10,26
4,11,13
4,12,14
4,15,16
4,17,21
4,18,20
4,19,22
4,23,27
4,24,28
4,25,30
4,29,36
4,31,39
4,38,32
4,37,33
4,34,35
5,5,0
5,1,3
5,2,4
5,6,8
5,7,9
5,16,10
5,14,11
5,13,12
5,20,15
5,22,17
5,21,18
5,25,19
5,28,23
5,27,24
5,30,26
5,39,29
5,35,31
5,32,37
5,33,38
5,36,34
6,0,4
6,1,15
6,2,9
6,3,17
6,5,10
6,6,11
6,7,13
6,8,14
6,12,16
6,22,18
6,19,23
6,20,24
6,25,21
6,26,35
6,28,27
6,38,29
6,33,30
6,37,31
6,34,32
6,39,36
7,15,0
7,11,1
7,14,2
7,6,3
7,4,9
7,12,5
7,10,7
7,13,8
7,16,22
7,17,19
7,18,25
7,23,20
7,21,26
7,24,39
7,27,34
7,29,28
7,30,37
7,31,38
7,35,32
7,36,33
8,0,7
8,9,1
8,19,2
8,3,11
8,8,4
8,5,6
8,10,12
8,16,13
8,14,15
8,17,18
8,26,20
8,28,21
8,25,22
8,24,23
8,27,30
8,29,35
8,34,31
8,32,36
8,33,39
8,37,38
9,6,0
9,1,10
9,2,29
9,9,3
9,4,12
9,5,14
9,7,16
9,11,8
9,13,17
9,15,19
9,18,26
9,20,25
9,21,24
9,22,27
9,23,37
9,38,28
9,30,34
9,31,33
9,39,32
9,36,35
10,0,29
10,7,1
10,5,2
10,3,12
10,11,4
10,17,6
10,8,16
10,9,14
10,10,13
10,18,15
10,19,34
10,21,20
10,22,37
10,33,23
10,24,35
10,25,39
10,31,26
10,32,27
10,36,28
10,30,38
11,39,0
11,1,17
11,2,7
11,20,3
11,4,6
11,13,5
11,12,8
11,16,9
11,14,10
11,15,11
11,23,18
11,30,19
11,37,21
11,35,22
11,34,24
11,38,25
11,26,33
11,27,36
11,28,32
11,29,31
12,0,3
12,1,6
12,2,17
12,13,4
12,5,9
12,11,7
12,8,10
12,12,19
12,14,16
12,15,22
12,18,29
12,20,34
12,21,23
12,38,24
12,37,25
12,26,36
12,27,39
12,31,28
12,35,30
12,32,33
13,10,0
13,19,1
13,6,2
13,3,13
13,4,15
13,16,5
13,7,12
13,9,8
13,22,11
13,17,14
13,39,18
13,36,20
13,30,21
13,23,38
13,24,31
13,25,35
13,34,26
13,33,27
13,28,37
13,29,32
14,0,14
14,13,1
14,2,12
14,15,3
14,4,16
14,18,5
14,19,6
14,17,7
14,8,22
14,9,25
14,11,10
14,38,20
14,31,21
14,23,35
14,24,36
14,32,26
14,27,37
14,28,34
14,33,29
14,30,39
15,13,0
15,1,14
15,11,2
15,3,25
15,39,4
15,26,5
15,16,6
15,32,7
15,20,8
15,21,9
15,10,17
15,12,15
15,30,18
15,37,19
15,22,31
15,36,23
15,24,33
15,38,27
15,35,28
15,34,29
16,0,8
16,1,12
16,2,16
16,10,3
16,4,17
16,5,11
16,6,38
16,7,21
16,15,9
16,13,24
16,14,22
16,33,18
16,19,32
16,20,31
16,34,23
16,25,36
16,37,26
16,35,27
16,39,28
16,29,30
17,9,0
17,38,1
17,26,2
17,3,16
17,18,4
17,17,5
17,6,34
17,7,14
17,8,15
17,23,10
17,39,11
17,12,22
17,30,13
17,36,19
17,20,37
17,21,35
17,32,24
17,31,25
17,27,29
17,28,33
18,0,16
18,37,1
18,34,2
18,3,14
18,23,4
18,5,15
18,32,6
18,29,7
18,8,21
