97,MiaoAlgo,I_LINE40_30,1,100
NrSuccesfullMatchings,216885,NrInfeasibleMatchings,26390
Time,Value 
1740,8782
1710,8782
1680,8782
1650,8782
1620,8782
1590,8782
1560,8782
1530,8782
1500,8782
1470,8782
1440,8782
1410,8782
1380,8782
1350,8782
1320,8782
1290,8782
1260,8782
1230,8782
1200,8782
1170,8782
1140,8782
1110,8782
1080,8782
1050,8782
1020,8788
990,8788
960,8788
930,8810
900,8816
870,8816
360,8912
330,8928
300,8928
270,8928
240,8932
210,8934
180,8950
150,8950
120,8958
90,9032
60,9040
30,9104
0,10678
390,8878
420,8870
450,8854
480,8854
510,8854
540,8854
570,8854
600,8854
630,8854
660,8854
690,8854
720,8854
750,8842
780,8820
810,8820
840,8816
Final, 8782,1760

Round,H_team,A_team 
0,0,39
0,1,16
0,2,7
0,3,4
0,5,6
0,8,9
0,10,12
0,11,13
0,14,15
0,17,38
0,18,27
0,19,26
0,20,25
0,21,24
0,22,23
0,28,33
0,29,30
0,31,32
0,34,37
0,35,36
1,1,0
1,4,2
1,6,3
1,39,5
1,9,7
1,15,8
1,13,10
1,12,11
1,16,14
1,23,17
1,38,18
1,27,19
1,26,20
1,25,21
1,24,22
1,30,28
1,32,29
1,33,31
1,36,34
1,37,35
2,0,4
2,2,1
2,8,3
2,19,5
2,9,6
2,11,7
2,14,10
2,12,13
2,18,15
2,17,16
2,22,20
2,23,21
2,24,30
2,25,26
2,27,29
2,28,31
2,32,34
2,33,36
2,35,39
2,37,38
3,5,0
3,1,18
3,3,2
3,4,9
3,6,25
3,7,12
3,8,23
3,10,11
3,13,14
3,15,17
3,16,19
3,20,24
3,21,22
3,31,26
3,30,27
3,29,28
3,36,32
3,34,33
3,38,35
3,39,37
4,2,0
4,1,4
4,3,9
4,5,25
4,6,13
4,7,8
4,10,23
4,11,15
4,12,14
4,18,16
4,17,19
4,20,21
4,26,22
4,24,28
4,39,27
4,38,29
4,34,30
4,36,31
4,37,32
4,35,33
5,0,3
5,25,1
5,27,2
5,10,4
5,9,5
5,22,6
5,23,7
5,13,8
5,14,11
5,15,12
5,21,16
5,20,17
5,19,18
5,26,24
5,28,39
5,29,34
5,30,36
5,31,38
5,32,35
5,33,37
6,0,12
6,1,3
6,39,2
6,5,4
6,6,14
6,7,10
6,11,8
6,9,13
6,15,16
6,17,18
6,30,19
6,27,20
6,26,21
6,28,22
6,25,23
6,29,24
6,37,31
6,33,32
6,34,35
6,38,36
7,8,0
7,12,1
7,2,5
7,3,7
7,4,6
7,10,9
7,16,11
7,13,15
7,14,17
7,18,25
7,20,19
7,21,28
7,22,29
7,23,26
7,24,27
7,35,30
7,31,34
7,32,39
7,33,38
7,36,37
8,0,7
8,13,1
8,2,6
8,3,5
8,4,8
8,12,9
8,16,10
8,25,11
8,18,14
8,24,15
8,26,17
8,22,19
8,23,20
8,36,21
8,27,34
8,35,28
8,31,29
8,37,30
8,32,38
8,39,33
9,6,0
9,1,10
9,9,2
9,11,3
9,7,4
9,5,13
9,8,12
9,14,23
9,15,34
9,16,25
9,17,22
9,20,18
9,19,24
9,21,31
9,26,36
9,33,27
9,28,37
9,29,35
9,30,32
9,38,39
10,0,9
10,5,1
10,2,11
10,3,13
10,4,12
10,6,7
10,10,8
10,14,22
10,19,15
10,20,16
10,21,17
10,26,18
10,24,23
10,39,25
10,36,27
10,32,28
10,37,29
10,33,30
10,35,31
10,34,38
11,13,0
11,9,1
11,8,2
11,12,3
11,16,4
11,7,5
11,11,6
11,17,10
11,38,14
11,15,20
11,18,21
11,23,19
11,22,37
11,31,24
11,25,32
11,30,26
11,27,35
11,28,36
11,29,33
11,34,39
12,0,17
12,11,1
12,2,12
12,3,10
12,23,4
12,16,5
12,15,6
12,13,7
12,18,8
12,9,20
12,37,14
12,19,21
12,33,22
12,24,35
12,25,29
12,26,34
12,32,27
12,38,28
12,30,31
12,36,39
13,14,0
13,1,38
13,10,2
13,20,3
13,4,13
13,5,11
13,6,18
13,7,15
13,8,19
13,17,9
13,12,16
13,21,33
13,22,32
13,31,23
13,34,24
13,28,25
13,35,26
13,27,37
13,29,36
13,39,30
14,0,11
14,1,7
14,2,13
14,17,3
14,4,15
14,8,5
14,10,6
14,16,9
14,12,19
14,33,14
14,18,29
14,20,32
14,38,21
14,30,22
14,35,23
14,36,24
14,25,34
14,37,26
14,27,28
14,31,39
15,0,25
15,1,8
15,2,33
15,3,16
15,11,4
15,5,10
15,6,12
15,7,17
15,9,18
15,13,20
15,32,14
15,15,29
15,19,31
15,21,35
15,22,36
15,23,27
15,24,37
15,39,26
15,28,34
15,38,30
16,0,33
16,26,1
16,16,2
16,28,3
16,4,25
16,12,5
16,8,6
16,7,18
16,9,15
16,10,31
16,11,17
16,13,30
16,36,14
16,19,37
16,39,20
16,29,21
16,35,22
16,23,34
16,32,24
16,38,27
17,19,0
17,1,33
17,17,2
17,3,25
17,18,4
17,5,28
17,6,29
17,14,7
17,31,8
17,30,9
17,15,10
17,34,11
17,12,36
17,16,13
17,20,35
17,21,32
17,22,39
17,37,23
17,24,38
17,27,26
18,0,36
18,1,6
18,2,15
18,14,3
18,4,28
18,5,20
18,16,7
18,38,8
18,39,9
18,10,21
18,37,11
18,17,12
18,13,19
18,18,35
18,22,34
18,23,32
18,33,24
18,25,30
18,29,26
18,27,31
19,15,0
19,19,1
19,14,2
19,3,18
19,4,20
19,5,17
19,34,6
19,24,7
19,8,16
19,9,28
19,30,10
19,36,11
19,12,37
19,35,13
19,21,27
19,31,22
19,23,38
19,33,25
19,26,32
19,29,39
20,0,16
20,1,36
20,19,2
20,3,37
20,17,4
20,15,5
20,32,6
20,7,29
20,8,14
20,11,9
20,10,18
20,12,35
20,38,13
20,20,34
20,30,21
20,22,27
20,28,23
20,39,24
20,25,31
20,26,33
21,0,37
21,29,1
21,2,36
21,15,3
21,4,39
21,18,5
21,6,17
21,7,28
21,24,8
21,14,9
21,10,22
21,11,30
21,27,12
21,13,32
21,16,26
21,35,19
21,31,20
21,34,21
21,23,33
21,25,38
22,0,10
22,37,1
22,2,28
22,21,3
22,4,36
22,14,5
22,6,39
22,7,30
22,17,8
22,9,22
22,11,32
22,31,12
22,13,26
22,35,15
22,16,38
22,18,24
22,34,19
22,20,33
22,23,29
22,27,25
23,20,0
23,35,1
23,29,2
23,3,39
23,33,4
23,5,30
23,28,6
23,25,7
23,8,22
23,9,27
23,19,10
23,21,11
23,32,12
23,13,18
23,34,14
23,37,15
23,24,16
23,17,31
23,36,23
23,26,38
24,18,0
24,1,17
24,2,35
24,3,34
24,32,4
24,36,5
24,30,6
24,7,27
24,26,8
24,19,9
24,10,33
24,22,11
24,12,21
24,24,13
24,31,14
24,38,15
24,28,16
24,29,20
24,39,23
24,25,37
25,22,0
25,14,1
25,2,34
25,3,35
25,27,4
25,38,5
25,6,24
25,19,7
25,8,33
25,9,21
25,10,37
25,18,11
25,12,29
25,23,13
25,15,31
25,39,16
25,17,32
25,30,20
25,25,36
25,26,28
26,0,34
26,15,1
26,2,24
26,38,3
26,4,35
26,27,5
26,6,33
26,39,7
26,8,21
26,9,37
26,10,29
26,11,31
26,12,26
26,17,13
26,14,19
26,16,32
26,18,36
26,28,20
26,22,25
26,23,30
27,28,0
27,20,1
27,37,2
27,36,3
27,4,24
27,5,26
27,16,6
27,7,38
27,8,29
27,9,31
27,34,10
27,11,19
27,33,12
27,13,22
27,14,30
27,15,23
27,27,17
27,32,18
27,21,39
27,35,25
28,29,0
28,1,27
28,32,2
28,33,3
28,4,26
28,5,23
28,6,38
28,7,22
28,36,8
28,24,9
28,35,10
28,20,11
28,34,12
28,21,13
28,25,14
28,30,15
28,31,16
28,28,17
28,37,18
28,19,39
29,30,0
29,1,23
29,31,2
29,3,27
29,22,4
29,5,35
29,6,19
29,7,20
29,37,8
29,26,9
29,36,10
29,11,38
29,39,12
29,13,28
29,21,14
29,32,15
29,33,16
29,29,17
29,34,18
29,24,25
