24,MiaoAlgo,I_NFL32_16,1,100
NrSuccesfullMatchings,103863,NrInfeasibleMatchings,22
Time,Value 
210,257595
180,257595
150,257595
120,257595
90,257595
60,257595
30,257595
0,286149
Final, 257595,239

Round,H_team,A_team 
0,0,2
0,1,24
0,3,16
0,23,4
0,19,5
0,18,6
0,22,7
0,20,8
0,25,9
0,26,10
0,27,11
0,28,12
0,30,13
0,21,14
0,15,31
0,29,17
1,23,0
1,25,1
1,22,2
1,18,3
1,21,4
1,26,5
1,24,6
1,20,7
1,29,8
1,9,10
1,30,11
1,31,12
1,13,15
1,28,14
1,19,16
1,17,27
2,0,3
2,26,1
2,16,2
2,28,4
2,22,5
2,19,6
2,18,7
2,17,8
2,24,9
2,25,10
2,13,11
2,15,12
2,31,14
2,20,29
2,21,23
2,30,27
3,16,0
3,1,18
3,2,23
3,3,19
3,4,20
3,5,24
3,6,22
3,7,21
3,8,28
3,9,26
3,10,29
3,11,31
3,12,13
3,14,15
3,17,30
3,27,25
4,0,19
4,1,27
4,2,21
4,3,22
4,4,29
4,5,23
4,6,16
4,7,24
4,8,26
4,9,18
4,10,20
4,11,25
4,12,30
4,13,31
4,14,17
4,15,28
5,18,0
5,31,1
5,19,2
5,20,3
5,26,4
5,16,5
5,25,6
5,23,7
5,22,8
5,27,9
5,24,10
5,17,11
5,21,12
5,28,13
5,29,14
5,30,15
6,6,0
6,1,16
6,2,18
6,3,24
6,4,22
6,5,25
6,7,26
6,8,23
6,9,19
6,10,27
6,11,15
6,12,29
6,13,17
6,14,20
6,30,21
6,31,28
7,5,0
7,1,19
7,2,8
7,3,25
7,7,4
7,6,26
7,9,16
7,10,22
7,11,28
7,12,20
7,13,21
7,14,30
7,15,17
7,18,24
7,23,29
7,27,31
8,0,8
8,9,1
8,24,2
8,26,3
8,4,6
8,18,5
8,19,7
8,30,10
8,29,11
8,23,12
8,27,13
8,22,14
8,21,15
8,16,25
8,31,17
8,28,20
9,0,7
9,17,1
9,26,2
9,27,3
9,4,5
9,20,6
9,19,8
9,29,9
9,28,10
9,21,11
9,22,12
9,25,13
9,24,14
9,23,15
9,18,16
9,31,30
10,9,0
10,1,13
10,2,4
10,3,23
10,5,21
10,6,27
10,7,25
10,8,18
10,15,10
10,11,26
10,12,17
10,14,19
10,16,24
10,20,22
10,28,30
10,29,31
11,0,24
11,1,11
11,7,2
11,3,6
11,4,18
11,5,27
11,8,25
11,14,9
11,10,31
11,12,19
11,13,26
11,15,20
11,16,23
11,17,28
11,22,21
11,30,29
12,0,1
12,3,2
12,4,10
12,6,5
12,16,7
12,8,21
12,9,11
12,12,14
12,13,20
12,15,29
12,17,19
12,18,23
12,22,31
12,24,25
12,30,26
12,27,28
13,0,22
13,2,1
13,5,3
13,14,4
13,6,7
13,10,8
13,13,9
13,11,12
13,27,15
13,21,16
13,25,17
13,19,18
13,31,20
13,23,30
13,26,24
13,28,29
14,4,0
14,6,1
14,2,28
14,7,3
14,5,30
14,8,16
14,31,9
14,10,12
14,11,18
14,14,13
14,25,15
14,24,17
14,19,22
14,20,23
14,29,21
14,26,27
15,10,0
15,1,3
15,2,6
15,8,4
15,7,5
15,15,9
15,11,14
15,12,27
15,29,13
15,16,22
15,17,18
15,24,19
15,20,30
15,21,31
15,23,28
15,25,26
