3,MiaoAlgo,I_NFL32_16,1,100
NrSuccesfullMatchings,114291,NrInfeasibleMatchings,143
Time,Value 
300,262667
270,262667
240,262667
210,262667
180,262667
150,262667
120,262667
90,262667
60,262667
30,266184
0,285410
Final, 262667,321

Round,H_team,A_team 
0,0,6
0,25,1
0,2,22
0,16,3
0,8,4
0,5,7
0,27,9
0,29,10
0,17,11
0,28,12
0,30,13
0,21,14
0,31,15
0,19,18
0,20,23
0,24,26
1,16,0
1,1,11
1,3,2
1,4,29
1,6,5
1,7,20
1,10,8
1,9,26
1,12,14
1,13,31
1,15,28
1,30,17
1,18,24
1,19,23
1,22,21
1,25,27
2,3,0
2,27,1
2,23,2
2,4,5
2,18,6
2,22,7
2,20,8
2,24,9
2,10,26
2,14,11
2,31,12
2,15,13
2,19,16
2,17,25
2,21,29
2,28,30
3,2,0
3,1,24
3,3,19
3,4,20
3,5,18
3,6,16
3,7,23
3,8,22
3,9,10
3,11,31
3,12,21
3,13,28
3,14,29
3,15,30
3,27,17
3,26,25
4,0,7
4,1,9
4,16,2
4,18,3
4,24,4
4,22,5
4,19,6
4,23,8
4,25,10
4,11,13
4,29,12
4,20,14
4,17,15
4,21,28
4,26,27
4,31,30
5,19,0
5,26,1
5,18,2
5,22,3
5,23,4
5,20,5
5,24,6
5,16,7
5,21,8
5,25,9
5,27,10
5,28,11
5,30,12
5,17,13
5,31,14
5,29,15
6,5,0
6,1,31
6,2,19
6,3,24
6,7,4
6,6,25
6,8,26
6,9,22
6,10,20
6,11,27
6,12,17
6,13,21
6,15,14
6,16,18
6,23,28
6,30,29
7,18,0
7,1,22
7,2,28
7,6,3
7,4,10
7,5,16
7,7,19
7,8,27
7,9,31
7,11,30
7,12,15
7,13,29
7,14,23
7,17,21
7,26,20
7,24,25
8,0,1
8,2,7
8,3,5
8,9,4
8,6,10
8,8,19
8,11,15
8,12,13
8,17,14
8,16,24
8,18,25
8,20,21
8,26,22
8,29,23
8,27,30
8,28,31
9,23,0
9,16,1
9,5,2
9,21,3
9,25,4
9,22,6
9,7,18
9,29,8
9,30,9
9,10,11
9,27,12
9,13,14
9,15,26
9,31,17
9,19,24
9,28,20
10,0,24
10,3,1
10,6,2
10,4,22
10,19,5
10,7,27
10,8,18
10,13,9
10,10,17
10,11,29
10,12,23
10,14,28
10,15,20
10,25,16
10,21,30
10,31,26
11,0,25
11,1,6
11,2,12
11,3,7
11,18,4
11,5,8
11,28,9
11,14,10
11,24,11
11,13,26
11,21,15
11,27,16
11,29,17
11,22,19
11,31,20
11,30,23
12,22,0
12,17,1
12,20,2
12,3,12
12,19,4
12,5,15
12,9,6
12,24,7
12,16,8
12,28,10
12,25,11
12,27,13
12,30,14
12,26,18
12,23,21
12,29,31
13,0,12
13,30,1
13,14,2
13,4,3
13,24,5
13,6,8
13,10,7
13,9,11
13,25,13
13,23,15
13,22,16
13,17,18
13,26,19
13,29,20
13,21,31
13,28,27
14,0,28
14,1,13
14,2,21
14,8,3
14,4,16
14,5,29
14,7,6
14,9,19
14,10,24
14,11,18
14,12,25
14,14,22
14,15,27
14,26,17
14,20,30
14,23,31
15,0,21
15,1,19
15,2,24
15,20,3
15,4,17
15,14,5
15,6,28
15,7,29
15,8,30
15,18,9
15,10,16
15,11,26
15,12,22
15,13,23
15,15,25
15,31,27
