68,MiaoAlgo,I_NFL32_16,1,100
NrSuccesfullMatchings,138308,NrInfeasibleMatchings,96
Time,Value 
330,263682
300,263682
270,263682
240,263682
210,263682
180,263682
150,263682
120,263682
90,263718
60,267595
30,267595
0,287947
Final, 263682,331

Round,H_team,A_team 
0,0,19
0,1,25
0,2,23
0,3,16
0,4,20
0,5,24
0,6,18
0,7,22
0,8,29
0,9,27
0,10,26
0,11,17
0,12,28
0,13,30
0,14,21
0,15,31
1,0,3
1,26,1
1,16,2
1,4,24
1,18,5
1,19,6
1,21,7
1,20,8
1,25,9
1,29,10
1,27,11
1,12,14
1,31,13
1,28,15
1,30,17
1,23,22
2,16,0
2,27,1
2,18,2
2,19,3
2,29,4
2,22,5
2,24,6
2,23,7
2,21,8
2,26,9
2,20,10
2,25,11
2,31,12
2,28,13
2,17,14
2,30,15
3,0,22
3,1,11
3,6,2
3,3,18
3,8,4
3,5,26
3,7,29
3,10,9
3,12,30
3,13,27
3,14,28
3,15,21
3,16,19
3,17,31
3,20,23
3,24,25
4,2,0
4,1,10
4,3,22
4,4,23
4,5,29
4,6,16
4,7,20
4,8,28
4,9,24
4,11,30
4,12,17
4,13,21
4,15,14
4,18,25
4,19,26
4,27,31
5,0,6
5,30,1
5,22,2
5,23,3
5,10,4
5,20,5
5,28,7
5,27,8
5,29,9
5,11,13
5,21,12
5,31,14
5,17,15
5,24,16
5,26,18
5,25,19
6,7,0
6,15,1
6,2,20
6,6,3
6,4,22
6,5,16
6,8,23
6,9,19
6,10,27
6,11,31
6,12,29
6,13,17
6,14,30
6,24,18
6,21,28
6,26,25
7,18,0
7,31,1
7,2,7
7,3,5
7,19,4
7,22,6
7,8,10
7,9,11
7,23,12
7,25,13
7,29,14
7,27,15
7,16,20
7,28,17
7,30,21
7,26,24
8,5,0
8,1,9
8,2,3
8,6,4
8,19,7
8,22,8
8,23,10
8,24,11
8,20,12
8,14,13
8,25,15
8,18,16
8,17,26
8,21,29
8,30,27
8,31,28
9,0,4
9,13,1
9,5,2
9,3,24
9,9,6
9,7,8
9,10,25
9,11,26
9,12,27
9,14,20
9,15,29
9,16,22
9,17,21
9,18,19
9,28,23
9,31,30
10,0,9
10,17,1
10,4,2
10,3,10
10,7,5
10,25,6
10,8,12
10,14,11
10,20,13
10,23,15
10,26,16
10,22,18
10,24,19
10,21,31
10,27,29
10,28,30
11,0,10
11,1,6
11,24,2
11,7,3
11,4,12
11,19,5
11,30,8
11,18,9
11,28,11
11,29,13
11,26,14
11,20,15
11,25,16
11,27,17
11,21,22
11,23,31
12,24,0
12,1,16
12,2,19
12,4,3
12,5,14
12,6,7
12,31,8
12,9,17
12,10,18
12,15,11
12,12,13
12,20,22
12,21,23
12,25,27
12,30,26
12,29,28
13,1,0
13,2,21
13,9,3
13,5,4
13,6,14
13,16,7
13,13,8
13,11,10
13,15,12
13,17,25
13,29,18
13,19,20
13,22,28
13,30,23
13,27,24
13,31,26
14,11,0
14,19,1
14,2,28
14,3,20
14,7,4
14,6,5
14,8,18
14,9,30
14,10,24
14,12,25
14,13,23
14,14,27
14,15,26
14,16,21
14,17,29
14,22,31
15,0,20
15,1,24
15,8,2
15,3,21
15,4,31
15,23,5
15,26,6
15,18,7
15,16,9
15,10,17
15,11,12
15,13,15
15,14,25
15,22,19
15,28,27
15,29,30
