72,MiaoAlgo,I_NFL32_16,1,100
NrSuccesfullMatchings,120558,NrInfeasibleMatchings,55
Time,Value 
270,257273
240,257273
210,257273
180,257273
150,257273
120,257273
90,257273
60,257273
30,260737
0,287210
Final, 257273,288

Round,H_team,A_team 
0,16,0
0,1,25
0,5,2
0,3,19
0,4,23
0,18,6
0,7,22
0,8,20
0,9,24
0,10,26
0,11,27
0,12,21
0,13,15
0,14,29
0,30,17
0,28,31
1,19,0
1,9,1
1,22,2
1,16,3
1,26,4
1,18,5
1,25,6
1,24,7
1,29,8
1,27,10
1,17,11
1,30,12
1,13,28
1,21,14
1,15,31
1,23,20
2,0,22
2,1,27
2,2,23
2,3,5
2,4,29
2,6,24
2,7,21
2,8,30
2,9,25
2,10,17
2,11,13
2,12,31
2,20,14
2,15,28
2,16,19
2,18,26
3,0,18
3,1,26
3,2,16
3,3,22
3,4,20
3,5,24
3,6,19
3,7,23
3,8,21
3,10,9
3,11,25
3,12,28
3,13,27
3,14,17
3,15,29
3,31,30
4,0,3
4,24,1
4,18,2
4,21,4
4,19,5
4,16,6
4,20,7
4,22,8
4,26,9
4,25,10
4,29,11
4,17,12
4,13,31
4,23,14
4,30,15
4,28,27
5,2,0
5,1,17
5,6,3
5,4,24
5,5,20
5,7,26
5,8,23
5,9,19
5,10,29
5,11,31
5,12,15
5,13,30
5,14,28
5,16,18
5,22,21
5,27,25
6,5,0
6,19,1
6,2,7
6,3,18
6,4,9
6,22,6
6,28,8
6,20,10
6,30,11
6,23,12
6,29,13
6,31,14
6,21,15
6,24,16
6,25,17
6,26,27
7,0,7
7,18,1
7,19,2
7,24,3
7,30,4
7,26,5
7,20,6
7,31,8
7,27,9
7,21,10
7,28,11
7,29,12
7,17,13
7,15,14
7,25,16
7,23,22
8,0,25
8,1,16
8,2,3
8,13,4
8,22,5
8,6,7
8,15,8
8,20,9
8,23,10
8,12,11
8,14,30
8,31,17
8,19,18
8,21,28
8,24,26
8,29,27
9,6,0
9,11,1
9,2,21
9,3,25
9,4,18
9,5,23
9,7,19
9,8,24
9,9,29
9,10,31
9,12,13
9,14,27
9,15,17
9,16,26
9,22,20
9,28,30
10,0,26
10,30,1
10,2,6
10,9,3
10,8,4
10,7,5
10,12,10
10,11,15
10,14,13
10,22,16
10,17,29
10,20,18
10,19,25
10,23,21
10,28,24
10,27,31
11,0,8
11,13,1
11,29,2
11,17,3
11,4,5
11,23,6
11,7,16
11,18,9
11,28,10
11,26,11
11,20,12
11,25,14
11,27,15
11,19,22
11,21,30
11,31,24
12,0,9
12,1,14
12,2,8
12,11,3
12,4,7
12,5,16
12,29,6
12,13,10
12,22,12
12,25,15
12,17,27
12,24,18
12,19,26
12,20,30
12,21,31
12,23,28
13,1,0
13,12,2
13,3,7
13,6,4
13,5,8
13,16,9
13,10,22
13,11,14
13,21,13
13,15,20
13,26,17
13,25,18
13,24,19
13,31,23
13,27,30
13,29,28
14,27,0
14,1,22
14,30,2
14,3,21
14,16,4
14,5,29
14,6,13
14,18,7
14,8,19
14,9,11
14,10,24
14,14,12
14,15,23
14,17,28
14,31,20
14,26,25
15,17,0
15,10,1
15,31,2
15,3,4
15,6,5
15,7,29
15,8,16
15,9,13
15,24,11
15,27,12
15,14,19
15,26,15
15,18,21
15,28,20
15,25,22
15,30,23
