95,MiaoAlgo,I_NFL32_16,1,100
NrSuccesfullMatchings,111644,NrInfeasibleMatchings,41
Time,Value 
240,272802
210,272802
180,272802
150,272802
120,272802
90,272802
60,272802
30,272802
0,283306
Final, 272802,265

Round,H_team,A_team 
0,0,19
0,9,1
0,2,23
0,3,16
0,4,20
0,5,24
0,6,18
0,7,22
0,8,29
0,10,26
0,11,17
0,12,28
0,13,30
0,14,21
0,15,31
0,27,25
1,16,0
1,1,25
1,21,2
1,18,3
1,4,5
1,24,6
1,23,7
1,20,8
1,9,10
1,26,11
1,15,12
1,31,13
1,29,14
1,17,27
1,22,19
1,28,30
2,18,0
2,26,1
2,20,2
2,19,3
2,29,4
2,22,5
2,16,6
2,21,7
2,23,8
2,25,9
2,24,10
2,27,11
2,31,12
2,28,13
2,17,14
2,30,15
3,0,28
3,1,17
3,2,22
3,3,9
3,4,8
3,5,29
3,6,10
3,7,20
3,11,31
3,12,30
3,13,15
3,27,14
3,16,19
3,18,24
3,23,21
3,25,26
4,0,3
4,1,27
4,2,16
4,4,24
4,5,18
4,6,19
4,7,29
4,8,22
4,9,26
4,10,20
4,11,25
4,12,23
4,13,17
4,14,30
4,15,21
4,28,31
5,22,0
5,24,1
5,19,2
5,29,3
5,10,4
5,20,5
5,25,6
5,26,7
5,21,8
5,27,9
5,30,11
5,17,12
5,14,13
5,28,15
5,16,18
5,31,23
6,0,20
6,1,30
6,2,18
6,3,25
6,4,27
6,5,19
6,6,26
6,7,28
6,8,17
6,9,24
6,10,29
6,13,11
6,12,21
6,14,31
6,15,23
6,16,22
7,0,2
7,31,1
7,6,3
7,23,4
7,16,5
7,19,7
7,24,8
7,30,9
7,25,10
7,28,11
7,29,12
7,21,13
7,20,14
7,17,15
7,18,22
7,26,27
8,5,0
8,28,1
8,7,2
8,24,3
8,21,4
8,22,6
8,26,8
8,31,9
8,27,10
8,11,15
8,20,12
8,29,13
8,23,14
8,25,16
8,30,17
8,19,18
9,0,23
9,1,16
9,2,6
9,3,22
9,12,4
9,5,21
9,7,24
9,8,25
9,15,9
9,10,17
9,11,29
9,13,27
9,14,28
9,18,26
9,19,20
9,30,31
10,6,0
10,1,29
10,2,24
10,3,20
10,4,19
10,5,23
10,7,18
10,8,31
10,9,16
10,13,10
10,11,21
10,12,27
10,14,15
10,26,17
10,22,28
10,25,30
11,24,0
11,1,11
11,28,2
11,21,3
11,4,6
11,26,5
11,16,7
11,18,8
11,17,9
11,31,10
11,14,12
11,20,13
11,22,15
11,19,23
11,25,29
11,27,30
12,26,0
12,18,1
12,31,2
12,3,7
12,16,4
12,25,5
12,20,6
12,19,8
12,29,9
12,10,14
12,24,11
12,22,12
12,23,13
12,27,15
12,17,28
12,30,21
13,0,7
13,3,1
13,15,2
13,4,18
13,5,6
13,8,10
13,9,11
13,12,13
13,14,25
13,23,16
13,29,17
13,19,24
13,20,22
13,31,21
13,30,26
13,27,28
14,0,4
14,6,1
14,2,3
14,7,5
14,8,16
14,9,19
14,10,18
14,11,14
14,12,25
14,13,26
14,15,20
14,17,31
14,21,28
14,22,23
14,24,27
14,30,29
15,9,0
15,1,19
15,2,5
15,3,4
15,6,7
15,8,14
15,10,16
15,11,12
15,13,25
15,15,26
15,17,24
15,18,27
15,28,20
15,21,22
15,23,30
15,29,31
