23,MiaoAlgo,I_NFL32_24,1,100
NrSuccesfullMatchings,116471,NrInfeasibleMatchings,2224
Time,Value 
420,482769
390,482769
0,549914
30,484880
60,483091
90,482769
120,482769
150,482769
180,482769
210,482769
240,482769
270,482769
300,482769
330,482769
360,482769
Final, 482769,446

Round,H_team,A_team 
0,0,16
0,1,25
0,2,7
0,19,3
0,4,8
0,5,10
0,18,6
0,9,27
0,17,11
0,30,12
0,13,28
0,20,14
0,31,15
0,23,21
0,22,29
0,24,26
1,3,0
1,26,1
1,2,6
1,29,4
1,7,5
1,8,10
1,25,9
1,11,27
1,12,13
1,14,17
1,15,30
1,16,19
1,24,18
1,21,20
1,22,23
1,28,31
2,0,28
2,1,9
2,2,21
2,3,16
2,4,13
2,19,5
2,6,8
2,7,23
2,24,10
2,11,30
2,14,12
2,20,15
2,26,17
2,18,29
2,22,31
2,25,27
3,23,0
3,27,1
3,28,2
3,21,3
3,14,4
3,8,5
3,16,6
3,12,7
3,9,24
3,10,18
3,13,11
3,15,22
3,17,25
3,29,19
3,31,20
3,30,26
4,0,2
4,1,24
4,3,7
4,4,21
4,5,29
4,6,9
4,16,8
4,10,27
4,11,25
4,12,17
4,13,20
4,23,14
4,15,26
4,19,18
4,28,22
4,31,30
5,19,0
5,11,1
5,23,2
5,18,3
5,20,4
5,22,5
5,7,6
5,29,8
5,9,16
5,26,10
5,27,12
5,30,13
5,14,21
5,28,15
5,17,31
5,25,24
6,0,7
6,17,1
6,2,22
6,3,9
6,4,10
6,5,12
6,6,19
6,8,21
6,24,11
6,13,15
6,29,14
6,18,16
6,20,23
6,26,25
6,27,31
6,30,28
7,1,0
7,16,2
7,3,6
7,22,4
7,21,5
7,7,24
7,23,8
7,19,9
7,10,20
7,11,26
7,12,28
7,13,27
7,14,30
7,15,17
7,25,18
7,31,29
8,0,6
8,1,18
8,19,2
8,24,3
8,7,4
8,5,23
8,8,11
8,26,9
8,21,10
8,15,12
8,31,13
8,27,14
8,16,25
8,30,17
8,20,22
8,28,29
9,18,0
9,10,1
9,3,2
9,4,19
9,5,24
9,6,25
9,22,7
9,14,8
9,9,30
9,11,28
9,12,31
9,13,26
9,15,21
9,16,23
9,17,27
9,29,20
10,0,24
10,1,13
10,2,18
10,5,3
10,26,4
10,6,23
10,7,16
10,8,15
10,9,11
10,10,29
10,21,12
10,31,14
10,20,17
10,22,19
10,25,28
10,30,27
11,9,0
11,1,4
11,2,20
11,3,8
11,6,5
11,18,7
11,10,30
11,11,31
11,23,12
11,13,25
11,15,14
11,22,16
11,17,29
11,24,19
11,28,21
11,27,26
12,20,0
12,16,1
12,5,2
12,3,10
12,4,23
12,24,6
12,19,7
12,8,22
12,18,9
12,11,15
12,12,25
12,17,13
12,28,14
12,30,21
12,26,31
12,27,29
13,29,0
13,1,3
13,2,4
13,5,18
13,6,26
13,7,8
13,9,31
13,10,17
13,12,11
13,13,21
13,14,22
13,27,15
13,16,24
13,25,19
13,30,20
13,23,28
14,0,5
14,1,19
14,2,14
14,25,3
14,4,16
14,6,10
14,31,7
14,8,20
14,9,13
14,21,11
14,22,12
14,15,23
14,17,28
14,18,26
14,24,27
14,30,29
15,26,0
15,6,1
15,2,15
15,3,22
15,4,18
15,5,9
15,28,7
15,8,30
15,10,25
15,11,29
15,20,12
15,14,13
15,16,21
15,24,17
15,19,27
15,31,23
16,0,22
16,1,30
16,12,2
16,3,15
16,4,24
16,5,11
16,17,6
16,7,20
16,8,18
16,9,10
16,29,13
16,25,14
16,16,26
16,23,19
16,21,31
16,27,28
17,0,15
17,31,1
17,13,2
17,23,3
17,25,4
17,5,16
17,30,6
17,14,7
17,24,8
17,12,9
17,11,10
17,22,17
17,18,27
17,19,26
17,20,28
17,29,21
18,0,25
18,15,1
18,10,2
18,20,3
18,17,4
18,26,5
18,13,6
18,21,7
18,19,8
18,28,9
18,14,11
18,29,12
18,16,27
18,18,31
18,22,24
18,23,30
19,8,0
19,28,1
19,2,25
19,3,31
19,12,4
19,27,5
19,6,22
19,7,30
19,15,9
19,10,13
19,18,11
19,26,14
19,20,16
19,17,23
19,21,19
19,24,29
20,27,0
20,1,22
20,2,30
20,3,26
20,4,15
20,5,25
20,6,29
20,7,10
20,8,28
20,9,14
20,11,20
20,12,19
20,24,13
20,16,31
20,17,21
20,23,18
21,11,0
21,1,14
21,2,26
21,12,3
21,6,4
21,31,5
21,9,7
21,8,17
21,10,16
21,23,13
21,29,15
21,21,18
21,19,28
21,27,20
21,25,22
21,30,24
22,0,17
22,7,1
22,9,2
22,30,3
22,4,27
22,15,5
22,21,6
22,13,8
22,10,19
22,22,11
22,26,12
22,14,16
22,28,18
22,25,20
22,29,23
22,31,24
23,0,12
23,21,1
23,27,2
23,13,3
23,4,9
23,28,5
23,20,6
23,7,11
23,31,8
23,14,10
23,15,24
23,29,16
23,19,17
23,18,22
23,26,23
23,25,30
