56,MiaoAlgo,I_NFL32_24,1,100
NrSuccesfullMatchings,127592,NrInfeasibleMatchings,16947
Time,Value 
540,475506
510,475506
480,475506
450,475506
420,475506
390,475506
0,553352
30,500156
60,480204
90,477921
120,475904
150,475904
180,475506
210,475506
240,475506
270,475506
300,475506
330,475506
360,475506
Final, 475506,544

Round,H_team,A_team 
0,0,19
0,1,25
0,5,2
0,3,16
0,4,8
0,18,6
0,7,21
0,9,17
0,10,29
0,27,11
0,30,12
0,13,28
0,20,14
0,31,15
0,22,23
0,24,26
1,16,0
1,11,1
1,23,2
1,3,19
1,29,4
1,7,5
1,22,6
1,14,8
1,26,9
1,10,18
1,12,13
1,15,30
1,17,24
1,21,20
1,27,25
1,28,31
2,0,2
2,1,27
2,3,6
2,4,14
2,5,22
2,18,7
2,8,29
2,24,9
2,10,12
2,11,17
2,15,13
2,16,19
2,23,20
2,21,31
2,25,26
2,28,30
3,7,0
3,26,1
3,2,3
3,22,4
3,29,5
3,6,16
3,20,8
3,9,25
3,14,10
3,30,11
3,12,28
3,13,21
3,17,15
3,19,18
3,31,23
3,27,24
4,0,6
4,1,9
4,24,2
4,3,7
4,20,4
4,5,19
4,8,22
4,17,10
4,11,25
4,31,12
4,13,23
4,29,14
4,28,15
4,18,16
4,30,21
4,27,26
5,8,0
5,6,1
5,2,18
5,4,3
5,16,5
5,7,20
5,9,27
5,10,26
5,15,11
5,12,17
5,13,31
5,23,14
5,19,22
5,21,28
5,25,24
5,29,30
6,14,0
6,1,24
6,16,2
6,26,3
6,4,7
6,18,5
6,6,19
6,23,8
6,10,9
6,31,11
6,12,29
6,30,13
6,15,21
6,17,27
6,28,20
6,25,22
7,20,0
7,8,1
7,19,2
7,3,18
7,26,4
7,5,6
7,22,7
7,9,16
7,24,10
7,11,28
7,12,15
7,13,17
7,27,14
7,21,23
7,29,25
7,30,31
8,0,3
8,19,1
8,2,22
8,4,21
8,24,5
8,6,25
8,16,7
8,9,8
8,10,27
8,11,13
8,14,12
8,20,15
8,30,17
8,18,26
8,28,23
8,29,31
9,0,18
9,1,10
9,2,4
9,5,3
9,6,24
9,7,19
9,25,8
9,21,9
9,12,11
9,13,27
9,28,14
9,15,23
9,22,16
9,17,29
9,31,20
9,26,30
10,0,5
10,2,1
10,8,3
10,4,16
10,6,26
10,7,9
10,10,30
10,23,11
10,21,12
10,29,13
10,31,14
10,27,15
10,28,17
10,24,18
10,19,25
10,20,22
11,1,0
11,21,2
11,3,22
11,5,4
11,9,6
11,14,7
11,8,28
11,11,10
11,12,23
11,13,20
11,15,29
11,16,24
11,17,31
11,25,18
11,26,19
11,30,27
12,0,24
12,1,3
12,2,6
12,18,4
12,20,5
12,15,7
12,12,8
12,9,19
12,10,25
12,11,29
12,14,13
12,26,16
12,17,21
12,22,28
12,30,23
12,27,31
13,23,0
13,16,1
13,2,13
13,9,3
13,4,6
13,5,10
13,28,7
13,8,30
13,21,11
13,20,12
13,15,14
13,17,26
13,22,18
13,19,24
13,25,31
13,29,27
14,22,0
14,1,15
14,2,20
14,3,13
14,19,4
14,5,9
14,6,10
14,7,12
14,8,27
14,14,11
14,16,21
14,25,17
14,23,18
14,24,30
14,31,26
14,29,28
15,0,4
15,17,1
15,28,2
15,3,21
15,26,5
15,27,6
15,31,7
15,18,8
15,9,15
15,10,19
15,11,24
15,12,22
15,13,25
15,30,14
15,16,23
15,20,29
16,26,0
16,1,13
16,31,2
16,24,3
16,4,10
16,5,21
16,11,6
16,30,7
16,8,16
16,18,9
16,27,12
16,14,22
16,25,15
16,17,20
16,28,19
16,23,29
17,0,9
17,18,1
17,15,2
17,3,23
17,4,27
17,5,28
17,6,8
17,17,7
17,16,10
17,11,20
17,25,12
17,24,13
17,14,26
17,30,19
17,21,29
17,22,31
18,0,10
18,5,1
18,2,25
18,15,3
18,23,4
18,6,28
18,7,24
18,8,31
18,9,11
18,12,16
18,13,26
18,14,17
18,29,18
18,19,27
18,20,30
18,22,21
19,28,0
19,4,1
19,7,2
19,31,3
19,8,5
19,29,6
19,9,13
19,10,15
19,26,11
19,24,12
19,21,14
19,16,25
19,23,17
19,27,18
19,19,20
19,22,30
20,31,0
20,1,12
20,2,30
20,28,3
20,9,4
20,5,25
20,14,6
20,8,7
20,10,13
20,11,18
20,24,15
20,16,20
20,17,22
20,19,23
20,21,27
20,29,26
21,13,0
21,1,14
21,2,9
21,3,17
21,25,4
21,30,5
21,6,23
21,7,29
21,24,8
21,10,28
21,11,22
21,26,12
21,18,15
21,31,16
21,21,19
21,20,27
22,0,17
22,1,30
22,12,2
22,3,29
22,4,24
22,13,5
22,6,21
22,7,11
22,19,8
22,23,9
22,20,10
22,25,14
22,15,16
22,18,31
22,27,22
22,26,28
23,0,29
23,7,1
23,2,8
23,3,20
23,4,11
23,15,5
23,6,31
23,12,9
23,23,10
23,13,16
23,14,24
23,19,17
23,18,21
23,22,26
23,25,30
23,27,28
