9,MiaoAlgo,I_NFL32_24,1,100
NrSuccesfullMatchings,128544,NrInfeasibleMatchings,7138
Time,Value 
480,472612
450,472612
420,472612
390,472612
0,517601
30,475875
60,475875
90,473968
120,473662
150,472612
180,472612
210,472612
240,472612
270,472612
300,472612
330,472612
360,472612
Final, 472612,506

Round,H_team,A_team 
0,19,0
0,25,1
0,2,5
0,16,3
0,7,4
0,6,18
0,8,29
0,9,24
0,10,26
0,27,11
0,12,28
0,13,31
0,17,14
0,30,15
0,22,20
0,21,23
1,16,0
1,1,9
1,2,7
1,3,18
1,4,5
1,19,6
1,8,10
1,11,17
1,12,30
1,28,13
1,29,14
1,31,15
1,20,21
1,23,22
1,24,25
1,26,27
2,0,3
2,27,1
2,2,22
2,8,4
2,5,7
2,16,6
2,9,10
2,25,11
2,14,12
2,15,13
2,17,30
2,18,19
2,20,23
2,21,29
2,26,24
2,28,31
3,7,0
3,24,1
3,23,2
3,6,3
3,4,26
3,5,19
3,22,8
3,11,9
3,10,25
3,12,21
3,13,14
3,15,28
3,18,16
3,17,27
3,29,20
3,30,31
4,0,6
4,1,11
4,3,2
4,4,10
4,5,8
4,7,23
4,9,17
4,15,12
4,30,13
4,31,14
4,16,19
4,18,24
4,20,28
4,22,21
4,25,27
4,26,29
5,23,0
5,10,1
5,19,2
5,3,22
5,29,4
5,6,5
5,21,7
5,8,18
5,27,9
5,11,26
5,31,12
5,13,25
5,14,20
5,17,15
5,24,16
5,28,30
6,0,5
6,8,1
6,2,18
6,3,19
6,4,24
6,6,22
6,20,7
6,9,16
6,23,10
6,28,11
6,13,12
6,14,15
6,17,26
6,21,30
6,31,25
6,29,27
7,2,0
7,1,31
7,5,3
7,22,4
7,24,6
7,7,18
7,26,8
7,25,9
7,10,29
7,11,13
7,12,17
7,30,14
7,15,27
7,16,23
7,19,20
7,28,21
8,0,20
8,18,1
8,6,2
8,24,3
8,4,28
8,5,16
8,7,22
8,25,8
8,26,9
8,10,12
8,11,30
8,13,17
8,21,14
8,15,29
8,19,23
8,31,27
9,28,0
9,1,26
9,2,24
9,3,21
9,4,6
9,22,5
9,7,19
9,9,8
9,14,10
9,12,11
9,27,13
9,23,15
9,16,20
9,17,31
9,29,18
9,30,25
10,31,0
10,1,13
10,2,16
10,9,3
10,25,4
10,5,18
10,26,6
10,24,7
10,8,23
10,10,15
10,14,11
10,20,12
10,17,28
10,19,21
10,22,29
10,27,30
11,15,0
11,3,1
11,21,2
11,18,4
11,23,5
11,6,9
11,7,16
11,8,27
11,30,10
11,31,11
11,22,12
11,13,20
11,14,28
11,29,17
11,19,24
11,26,25
12,0,22
12,1,17
12,2,12
12,3,4
12,20,5
12,7,6
12,30,8
12,19,9
12,13,10
12,11,15
12,23,14
12,26,16
12,18,25
12,21,31
12,24,27
12,29,28
13,4,0
13,1,19
13,20,2
13,25,3
13,5,24
13,6,11
13,14,7
13,15,8
13,9,13
13,31,10
13,12,29
13,16,22
13,17,21
13,27,18
13,28,23
13,30,26
14,0,1
14,28,2
14,26,3
14,14,4
14,9,5
14,10,6
14,17,7
14,8,16
14,18,11
14,12,27
14,13,23
14,21,15
14,25,19
14,24,20
14,22,31
14,29,30
15,0,8
15,1,5
15,15,2
15,3,11
15,4,16
15,6,25
15,7,31
15,9,12
15,10,28
15,13,21
15,27,14
15,17,23
15,18,26
15,19,22
15,20,30
15,24,29
16,18,0
16,6,1
16,2,4
16,3,7
16,5,29
16,8,14
16,15,9
16,10,17
16,11,21
16,12,24
16,22,13
16,16,25
16,19,26
16,20,31
16,23,30
16,27,28
17,0,26
17,16,1
17,30,2
17,23,3
17,4,19
17,21,5
17,29,6
17,7,15
17,8,17
17,31,9
17,27,10
17,11,20
17,12,18
17,13,24
17,14,22
17,25,28
18,0,29
18,7,1
18,31,2
18,3,8
18,11,4
18,5,15
18,21,6
18,28,9
18,10,16
18,12,23
18,26,13
18,25,14
18,17,20
18,22,18
18,19,27
18,24,30
19,0,27
19,1,14
19,13,2
19,31,3
19,4,12
19,26,5
19,23,6
19,28,7
19,8,19
19,9,30
19,10,11
19,15,20
19,16,29
19,24,17
19,18,21
19,22,25
20,21,0
20,1,30
20,2,25
20,15,3
20,4,17
20,10,5
20,6,12
20,13,7
20,20,8
20,9,14
20,11,24
20,16,27
20,18,28
20,29,19
20,22,26
20,23,31
21,14,0
21,1,12
21,2,26
21,17,3
21,23,4
21,5,25
21,6,28
21,30,7
21,21,8
21,18,9
21,19,10
21,11,22
21,29,13
21,15,24
21,16,31
21,27,20
22,0,9
22,2,1
22,3,10
22,4,21
22,5,13
22,6,31
22,7,8
22,29,11
22,12,16
22,14,19
22,26,15
22,25,17
22,20,18
22,30,22
22,27,23
22,28,24
23,0,10
23,1,4
23,8,2
23,3,13
23,5,17
23,27,6
23,9,7
23,11,23
23,12,19
23,14,18
23,25,15
23,30,16
23,20,26
23,24,21
23,28,22
23,31,29
