98,MiaoAlgo,I_NFL32_24,1,100
NrSuccesfullMatchings,117745,NrInfeasibleMatchings,6412
Time,Value 
450,488601
420,488601
390,488601
0,544409
30,495949
60,489784
90,488601
120,488601
150,488601
180,488601
210,488601
240,488601
270,488601
300,488601
330,488601
360,488601
Final, 488601,467

Round,H_team,A_team 
0,0,19
0,1,25
0,2,23
0,16,3
0,4,20
0,18,5
0,6,7
0,8,28
0,9,27
0,24,10
0,26,11
0,14,12
0,30,13
0,31,15
0,29,17
0,22,21
1,0,16
1,1,27
1,5,2
1,3,18
1,8,4
1,19,6
1,7,22
1,9,24
1,10,17
1,11,30
1,20,12
1,13,31
1,29,14
1,21,15
1,23,28
1,25,26
2,0,3
2,1,26
2,6,2
2,4,10
2,5,7
2,29,8
2,25,9
2,27,11
2,12,15
2,17,13
2,14,28
2,19,16
2,18,24
2,20,21
2,22,23
2,30,31
3,2,0
3,9,1
3,3,19
3,4,5
3,16,6
3,7,18
3,8,22
3,10,29
3,11,17
3,31,12
3,13,14
3,15,30
3,28,20
3,21,23
3,24,25
3,26,27
4,0,5
4,3,1
4,2,16
4,4,29
4,6,24
4,7,21
4,8,11
4,19,9
4,10,26
4,12,30
4,13,28
4,15,14
4,27,17
4,18,25
4,20,22
4,23,31
5,1,0
5,22,2
5,5,3
5,26,4
5,9,6
5,29,7
5,21,8
5,30,10
5,11,13
5,17,12
5,14,23
5,28,15
5,16,18
5,24,19
5,31,20
5,25,27
6,25,0
6,10,1
6,7,2
6,6,3
6,4,22
6,8,5
6,9,16
6,31,11
6,12,13
6,21,14
6,17,15
6,18,19
6,23,20
6,26,24
6,27,29
6,28,30
7,24,0
7,1,29
7,2,18
7,3,9
7,19,4
7,5,6
7,16,7
7,20,8
7,27,10
7,11,12
7,13,21
7,14,31
7,15,23
7,17,28
7,22,26
7,30,25
8,0,18
8,1,24
8,21,2
8,3,4
8,5,16
8,22,6
8,19,7
8,8,26
8,9,29
8,10,20
8,25,11
8,28,12
8,13,15
8,27,14
8,31,17
8,30,23
9,6,0
9,18,1
9,2,19
9,7,3
9,4,28
9,5,22
9,23,8
9,26,9
9,14,10
9,11,15
9,12,21
9,20,13
9,16,25
9,17,30
9,24,27
9,29,31
10,9,0
10,16,1
10,3,2
10,7,4
10,26,5
10,6,25
10,15,8
10,13,10
10,11,24
10,27,12
10,14,17
10,18,22
10,23,19
10,20,29
10,30,21
10,28,31
11,26,0
11,19,1
11,2,20
11,21,3
11,16,4
11,25,5
11,18,6
11,12,7
11,31,8
11,10,9
11,28,11
11,23,13
11,22,14
11,29,15
11,17,24
11,27,30
12,0,4
12,1,5
12,8,2
12,14,3
12,6,23
12,30,7
12,9,18
12,10,31
12,11,29
12,12,24
12,25,13
12,15,27
12,22,16
12,17,26
12,19,20
12,21,28
13,0,22
13,6,1
13,2,9
13,3,25
13,4,17
13,5,19
13,13,7
13,24,8
13,16,10
13,18,11
13,23,12
13,30,14
13,20,15
13,29,21
13,28,26
13,31,27
14,0,30
14,1,13
14,4,2
14,3,24
14,5,9
14,6,11
14,7,20
14,18,8
14,10,15
14,12,29
14,25,14
14,23,16
14,17,21
14,19,22
14,31,26
14,28,27
15,7,0
15,11,1
15,2,12
15,22,3
15,24,4
15,5,23
15,20,6
15,16,8
15,9,14
15,28,10
15,27,13
15,15,19
15,17,25
15,26,18
15,21,31
15,30,29
16,23,0
16,1,30
16,25,2
16,3,26
16,18,4
16,24,5
16,8,6
16,7,28
16,9,17
16,12,10
16,14,11
16,13,29
16,15,22
16,16,20
16,31,19
16,27,21
17,21,0
17,2,1
17,20,3
17,4,12
17,10,5
17,6,17
17,14,7
17,30,8
17,11,9
17,13,22
17,26,15
17,24,16
17,18,27
17,19,28
17,29,23
17,25,31
18,0,13
18,1,31
18,2,24
18,23,3
18,14,4
18,5,21
18,27,6
18,17,7
18,12,8
18,15,9
18,10,25
18,11,19
18,16,26
18,20,18
18,30,22
18,28,29
19,8,0
19,1,14
19,28,2
19,3,13
19,4,25
19,5,11
19,12,6
19,15,7
19,31,9
19,22,10
19,27,16
19,17,19
19,23,18
19,20,30
19,24,21
19,29,26
20,29,0
20,17,1
20,31,2
20,8,3
20,4,30
20,5,20
20,28,6
20,7,23
20,9,21
20,18,10
20,22,11
20,26,12
20,16,13
20,24,14
20,25,15
20,27,19
21,0,27
21,15,1
21,13,2
21,10,3
21,4,9
21,31,5
21,6,14
21,7,11
21,8,17
21,25,12
21,21,16
21,30,18
21,19,29
21,24,20
21,22,28
21,26,23
22,0,28
22,12,1
22,2,17
22,3,27
22,21,4
22,15,5
22,6,31
22,7,24
22,10,8
22,20,9
22,11,23
22,13,18
22,14,16
22,19,25
22,29,22
22,26,30
23,0,17
23,1,28
23,2,27
23,3,31
23,23,4
23,13,5
23,21,6
23,8,7
23,9,30
23,11,10
23,12,16
23,14,20
23,15,18
23,19,26
23,22,24
23,29,25
