37,MiaoAlgo,I_NFL32_8,1,100
NrSuccesfullMatchings,104025,NrInfeasibleMatchings,0
Time,Value 
90,92362
60,92362
30,92362
0,98469
Final, 92362,108

Round,H_team,A_team 
0,0,18
0,1,25
0,22,2
0,16,3
0,8,4
0,7,5
0,19,6
0,9,24
0,26,10
0,17,11
0,12,14
0,30,13
0,31,15
0,23,20
0,28,21
0,27,29
1,3,0
1,9,1
1,7,2
1,4,5
1,6,18
1,8,23
1,10,29
1,11,30
1,12,21
1,13,31
1,17,14
1,15,28
1,19,16
1,20,22
1,25,24
1,27,26
2,0,2
2,1,26
2,19,3
2,7,4
2,18,5
2,16,6
2,29,8
2,9,25
2,24,10
2,11,14
2,30,12
2,13,15
2,27,17
2,21,20
2,22,23
2,31,28
3,16,0
3,1,11
3,2,23
3,6,3
3,4,10
3,5,24
3,20,7
3,8,22
3,26,9
3,12,31
3,13,28
3,14,21
3,15,30
3,17,29
3,18,19
3,25,27
4,6,0
4,1,27
4,2,3
4,4,24
4,5,19
4,23,7
4,8,20
4,9,11
4,10,22
4,15,12
4,17,13
4,14,31
4,16,18
4,29,21
4,26,25
4,28,30
5,5,0
5,24,1
5,2,16
5,3,18
5,4,22
5,6,9
5,21,7
5,26,8
5,10,25
5,27,11
5,13,12
5,14,15
5,28,17
5,23,19
5,29,20
5,30,31
6,0,9
6,18,1
6,19,2
6,3,5
6,23,4
6,7,6
6,25,8
6,20,10
6,11,13
6,28,12
6,29,14
6,21,15
6,22,16
6,31,17
6,24,26
6,30,27
7,0,19
7,10,1
7,2,6
7,3,9
7,20,4
7,5,16
7,22,7
7,24,8
7,11,28
7,12,29
7,25,13
7,14,30
7,15,17
7,18,26
7,21,23
7,31,27
