6,MiaoAlgo,I_NFL32_8,1,100
NrSuccesfullMatchings,120635,NrInfeasibleMatchings,0
Time,Value 
120,92188
90,92188
60,92188
30,92188
0,99987
Final, 92188,142

Round,H_team,A_team 
0,0,19
0,9,1
0,2,5
0,16,3
0,4,24
0,18,6
0,7,22
0,8,26
0,10,25
0,11,27
0,12,21
0,13,15
0,14,29
0,30,17
0,20,23
0,28,31
1,3,0
1,1,19
1,7,2
1,20,4
1,5,22
1,24,6
1,29,8
1,25,9
1,26,10
1,17,11
1,28,12
1,30,13
1,27,14
1,31,15
1,18,16
1,21,23
2,23,0
2,25,1
2,22,2
2,7,3
2,8,4
2,5,18
2,6,16
2,9,19
2,10,24
2,11,14
2,15,12
2,13,31
2,27,17
2,20,26
2,21,29
2,28,30
3,0,16
3,1,11
3,2,18
3,22,3
3,4,26
3,5,7
3,19,6
3,10,8
3,24,9
3,31,12
3,13,28
3,17,14
3,30,15
3,21,20
3,23,29
3,27,25
4,6,0
4,1,27
4,2,3
4,7,4
4,16,5
4,8,23
4,10,9
4,25,11
4,12,30
4,13,21
4,14,20
4,15,28
4,17,31
4,19,18
4,22,29
4,24,26
5,18,0
5,1,24
5,2,23
5,3,6
5,4,10
5,19,5
5,16,7
5,8,22
5,9,27
5,11,31
5,12,13
5,14,30
5,15,21
5,28,17
5,29,20
5,26,25
6,0,7
6,18,1
6,16,2
6,3,19
6,4,22
6,6,5
6,9,8
6,20,10
6,30,11
6,12,14
6,29,13
6,15,17
6,31,21
6,23,28
6,24,25
6,26,27
7,0,2
7,5,1
7,3,18
7,23,4
7,6,7
7,25,8
7,26,9
7,29,10
7,11,15
7,17,12
7,14,13
7,19,16
7,22,20
7,21,28
7,27,24
7,31,30
