62,MiaoAlgo,I_NFL32_8,1,100
NrSuccesfullMatchings,143548,NrInfeasibleMatchings,0
Time,Value 
150,88952
120,88952
90,88952
60,88952
30,89127
0,98977
Final, 88952,154

Round,H_team,A_team 
0,0,16
0,25,1
0,2,5
0,19,3
0,24,4
0,6,18
0,22,7
0,20,8
0,27,9
0,26,10
0,11,30
0,17,12
0,28,13
0,29,14
0,31,15
0,23,21
1,3,0
1,1,9
1,22,2
1,8,4
1,5,7
1,6,19
1,24,10
1,27,11
1,12,15
1,31,13
1,14,23
1,16,18
1,17,30
1,29,20
1,21,28
1,25,26
2,0,18
2,1,27
2,2,7
2,6,3
2,4,20
2,5,22
2,10,8
2,9,25
2,11,17
2,14,12
2,13,15
2,16,19
2,29,21
2,23,28
2,26,24
2,30,31
3,0,19
3,11,1
3,3,2
3,5,4
3,16,6
3,7,23
3,27,8
3,26,9
3,10,29
3,31,12
3,17,13
3,28,14
3,15,30
3,18,22
3,21,20
3,25,24
4,0,2
4,26,1
4,3,16
4,7,4
4,6,5
4,29,8
4,9,24
4,20,10
4,11,13
4,30,12
4,15,14
4,21,17
4,19,18
4,22,23
4,27,25
4,28,31
5,22,0
5,24,1
5,16,2
5,18,3
5,4,10
5,19,5
5,9,6
5,20,7
5,8,26
5,12,11
5,13,14
5,28,15
5,17,25
5,21,31
5,23,29
5,30,27
6,8,0
6,1,6
6,2,29
6,24,3
6,4,26
6,18,5
6,7,16
6,9,17
6,10,25
6,15,11
6,12,21
6,13,27
6,14,31
6,19,22
6,23,20
6,30,28
7,4,0
7,1,17
7,2,19
7,3,22
7,5,16
7,25,6
7,7,29
7,8,23
7,10,9
7,31,11
7,12,28
7,13,30
7,14,21
7,15,27
7,18,24
7,20,26
