19,MiaoAlgo,I_NL16_12,1,100
NrSuccesfullMatchings,45494,NrInfeasibleMatchings,61890
Time,Value 
30,122172
0,132985
Final, 122172,40

Round,H_team,A_team 
0,0,7
0,2,1
0,3,5
0,4,6
0,10,8
0,11,9
0,12,15
0,14,13
1,6,0
1,1,3
1,5,2
1,8,4
1,7,11
1,9,10
1,14,12
1,13,15
2,0,8
2,1,6
2,2,3
2,4,5
2,7,9
2,11,10
2,13,12
2,15,14
3,15,0
3,5,1
3,2,4
3,3,6
3,7,8
3,9,13
3,12,10
3,11,14
4,12,0
4,1,4
4,2,6
4,3,7
4,9,5
4,8,13
4,10,14
4,15,11
5,14,0
5,1,7
5,12,2
5,4,3
5,5,8
5,6,9
5,10,15
5,13,11
6,0,1
6,13,2
6,10,3
6,4,14
6,5,7
6,6,8
6,15,9
6,11,12
7,3,0
7,1,13
7,15,2
7,4,10
7,11,5
7,7,6
7,8,14
7,12,9
8,2,0
8,1,10
8,3,13
8,11,4
8,15,5
8,6,14
8,7,12
8,9,8
9,0,10
9,9,1
9,7,2
9,3,12
9,13,4
9,14,5
9,6,11
9,8,15
10,0,4
10,14,1
10,10,2
10,9,3
10,5,12
10,6,15
10,13,7
10,8,11
11,0,11
11,12,1
11,2,9
11,8,3
11,4,15
11,5,6
11,14,7
11,10,13
