68,MiaoAlgo,I_NL16_8,1,100
NrSuccesfullMatchings,100517,NrInfeasibleMatchings,23
Time,Value 
0,75942
Final, 75942,26

Round,H_team,A_team 
0,0,6
0,5,1
0,4,2
0,12,3
0,9,7
0,11,8
0,15,10
0,14,13
1,0,5
1,2,1
1,7,3
1,4,6
1,8,9
1,10,11
1,14,12
1,13,15
2,1,0
2,3,2
2,5,4
2,6,10
2,7,8
2,9,11
2,13,12
2,15,14
3,4,0
3,3,1
3,2,5
3,6,7
3,8,13
3,9,10
3,14,11
3,12,15
4,0,2
4,4,1
4,3,10
4,5,6
4,7,13
4,8,14
4,9,15
4,11,12
5,0,14
5,1,9
5,6,2
5,5,3
5,10,4
5,7,15
5,8,12
5,11,13
6,12,0
6,1,7
6,2,9
6,6,3
6,13,4
6,11,5
6,15,8
6,10,14
7,13,0
7,1,6
7,2,7
7,3,9
7,14,4
7,12,5
7,10,8
7,15,11
