42,Heuristic,10000000,7230.000000,1,0.005000,500000,24,18
Time,Value 
Final, 216613,7231

NrViolations,0
Round,H_team,A_team 
0,0,12
0,1,19
0,2,23
0,13,3
0,15,4
0,17,5
0,6,22
0,16,7
0,8,14
0,9,10
0,11,18
0,21,20
1,9,0
1,1,13
1,17,2
1,3,5
1,4,7
1,21,6
1,8,18
1,22,10
1,19,11
1,23,12
1,20,14
1,15,16
2,6,0
2,1,20
2,19,2
2,3,16
2,4,14
2,7,5
2,8,10
2,9,18
2,11,21
2,13,12
2,15,17
2,22,23
3,0,23
3,5,1
3,2,3
3,4,20
3,13,6
3,7,19
3,12,8
3,22,9
3,10,21
3,11,16
3,14,17
3,18,15
4,0,11
4,7,1
4,2,15
4,10,3
4,16,4
4,14,5
4,6,23
4,8,9
4,12,17
4,20,13
4,18,21
4,19,22
5,0,15
5,1,16
5,2,7
5,18,3
5,4,13
5,12,5
5,6,11
5,20,8
5,9,14
5,23,10
5,17,19
5,21,22
6,17,0
6,10,1
6,6,2
6,3,11
6,5,4
6,23,7
6,21,8
6,19,9
6,15,12
6,16,13
6,22,14
6,20,18
7,22,0
7,2,1
7,3,15
7,12,4
7,5,18
7,14,6
7,10,7
7,13,8
7,9,20
7,11,23
7,16,17
7,21,19
8,0,2
8,23,1
8,3,19
8,4,17
8,5,6
8,7,18
8,8,22
8,9,16
8,11,10
8,12,14
8,13,21
8,20,15
9,0,21
9,1,8
9,2,13
9,17,3
9,4,6
9,19,5
9,7,15
9,23,9
9,18,10
9,14,11
9,20,12
9,22,16
10,18,0
10,6,1
10,2,9
10,3,12
10,21,4
10,5,23
10,7,8
10,10,13
10,15,11
10,16,14
10,17,22
10,19,20
11,0,1
11,10,2
11,3,14
11,19,4
11,5,8
11,6,7
11,9,17
11,12,11
11,18,13
11,15,23
11,16,21
11,20,22
12,0,7
12,11,1
12,8,2
12,3,22
12,4,18
12,5,20
12,6,17
12,13,9
12,10,16
12,12,19
12,14,15
12,21,23
13,20,0
13,1,18
13,22,2
13,4,3
13,15,5
13,8,6
13,11,7
13,21,9
13,12,10
13,17,13
13,14,19
13,23,16
14,19,0
14,4,1
14,2,16
14,20,3
14,5,22
14,9,6
14,7,12
14,23,8
14,14,10
14,13,11
14,15,21
14,17,18
15,0,8
15,1,14
15,2,20
15,6,3
15,9,4
15,13,5
15,7,22
15,15,10
15,17,11
15,12,21
15,16,19
15,18,23
16,3,0
16,1,12
16,11,2
16,8,4
16,16,5
16,18,6
16,7,9
16,10,17
16,22,13
16,14,21
16,19,15
16,23,20
17,13,0
17,1,15
17,18,2
17,21,3
17,22,4
17,5,9
17,10,6
17,14,7
17,8,19
17,11,20
17,16,12
17,23,17
