5003,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 5210,7231

NrViolations,0
Round,H_team,A_team 
0,8,0
0,38,1
0,23,2
0,5,3
0,4,14
0,6,17
0,7,32
0,37,9
0,10,13
0,11,27
0,12,39
0,15,18
0,25,16
0,21,19
0,22,20
0,29,24
0,26,34
0,28,33
0,35,30
0,31,36
1,5,0
1,1,14
1,20,2
1,4,3
1,6,32
1,7,39
1,8,13
1,31,9
1,10,12
1,11,18
1,22,15
1,24,16
1,37,17
1,19,27
1,30,21
1,23,33
1,25,34
1,29,26
1,28,36
1,35,38
2,0,38
2,31,1
2,10,2
2,3,14
2,4,32
2,39,5
2,6,11
2,7,13
2,15,8
2,24,9
2,12,37
2,16,26
2,34,17
2,18,28
2,19,23
2,20,25
2,27,21
2,22,33
2,30,29
2,36,35
3,33,0
3,27,1
3,2,4
3,3,11
3,36,5
3,35,6
3,15,7
3,17,8
3,9,10
3,12,22
3,13,37
3,14,28
3,16,23
3,18,20
3,19,25
3,21,26
3,30,24
3,29,31
3,32,34
3,39,38
4,26,0
4,25,1
4,33,2
4,38,3
4,36,4
4,5,12
4,31,6
4,14,7
4,16,8
4,9,15
4,10,19
4,11,28
4,13,39
4,17,22
4,18,23
4,21,20
4,35,24
4,32,27
4,34,29
4,37,30
5,28,0
5,1,30
5,31,2
5,8,3
5,35,4
5,5,29
5,34,6
5,9,7
5,23,10
5,14,11
5,12,16
5,20,13
5,15,19
5,17,18
5,32,21
5,22,39
5,24,25
5,26,38
5,33,27
5,37,36
6,0,30
6,5,1
6,2,21
6,3,9
6,4,8
6,6,15
6,7,11
6,24,10
6,18,12
6,19,13
6,22,14
6,16,17
6,26,20
6,34,23
6,25,38
6,29,27
6,28,39
6,31,35
6,36,32
6,37,33
7,0,3
7,1,37
7,2,15
7,4,16
7,10,5
7,6,33
7,7,34
7,8,11
7,9,21
7,19,12
7,17,13
7,29,14
7,18,22
7,20,38
7,36,23
7,24,28
7,27,25
7,30,26
7,39,31
7,32,35
8,0,31
8,1,9
8,29,2
8,3,33
8,11,4
8,21,5
8,13,6
8,7,37
8,8,34
8,10,17
8,20,12
8,30,14
8,38,15
8,36,16
8,19,18
8,22,28
8,35,23
8,27,24
8,39,25
8,26,32
9,23,0
9,35,1
9,27,2
9,3,34
9,13,4
9,14,5
9,12,6
9,10,7
9,8,37
9,38,9
9,11,17
9,15,25
9,20,16
9,18,21
9,24,19
9,22,32
9,31,26
9,28,29
9,30,36
9,33,39
10,19,0
10,33,1
10,28,2
10,3,26
10,15,4
10,5,8
10,6,10
10,7,20
10,9,17
10,13,11
10,12,14
10,16,21
10,18,31
10,29,22
10,25,23
10,24,32
10,36,27
10,38,30
10,34,39
10,37,35
11,25,0
11,1,7
11,2,30
11,39,3
11,4,5
11,6,36
11,8,20
11,9,19
11,10,18
11,11,26
11,12,29
11,16,13
11,14,31
11,17,15
11,22,21
11,24,23
11,35,27
11,37,28
11,32,38
11,34,33
12,0,6
12,1,2
12,32,3
12,4,19
12,5,35
12,7,18
12,8,36
12,11,9
12,33,10
12,13,12
12,14,20
12,15,31
12,16,29
12,17,24
12,21,25
12,23,22
12,26,28
12,38,27
12,39,30
12,34,37
13,0,16
13,23,1
13,2,35
13,28,3
13,37,4
13,5,19
13,7,6
13,14,8
13,9,18
13,26,10
13,11,25
13,12,17
13,13,38
13,15,24
13,20,29
13,33,21
13,27,22
13,30,34
13,31,32
13,39,36
14,0,39
14,22,1
14,2,11
14,3,15
14,29,4
14,9,5
14,6,16
14,17,7
14,19,8
14,27,10
14,12,38
14,13,25
14,18,14
14,20,24
14,36,21
14,32,23
14,37,26
14,28,34
14,31,30
14,35,33
15,2,0
15,34,1
15,29,3
15,30,4
15,11,5
15,9,6
15,21,7
15,12,8
15,10,38
15,23,13
15,17,14
15,35,15
15,16,22
15,33,18
15,19,20
15,24,36
15,25,37
15,39,26
15,31,27
15,32,28
16,0,12
16,1,11
16,5,2
16,3,19
16,4,10
16,14,6
16,16,7
16,8,9
16,29,13
16,39,15
16,21,17
16,35,18
16,20,23
16,22,37
16,33,24
16,25,31
16,26,36
16,34,27
16,38,28
16,30,32
17,0,35
17,1,39
17,2,12
17,3,10
17,6,4
17,5,16
17,7,33
17,21,8
17,9,14
17,38,11
17,28,13
17,15,20
17,17,29
17,32,18
17,34,19
17,22,26
17,23,37
17,24,31
17,25,36
17,27,30
18,36,0
18,1,20
18,2,3
18,4,39
18,7,5
18,6,22
18,24,8
18,12,9
18,10,14
18,37,11
18,13,33
18,15,27
18,38,16
18,17,28
18,18,29
18,26,19
18,35,21
18,23,30
18,32,25
18,31,34
19,34,0
19,13,1
19,2,38
19,3,16
19,4,18
19,5,6
19,8,7
19,9,22
19,10,15
19,11,12
19,14,33
19,17,27
19,19,28
19,36,20
19,29,21
19,23,31
19,24,26
19,30,25
19,32,37
19,39,35
20,0,4
20,12,1
20,6,2
20,3,18
20,5,17
20,7,38
20,8,35
20,9,13
20,10,22
20,16,11
20,14,15
20,19,30
20,20,28
20,21,31
20,26,23
20,34,24
20,33,25
20,27,37
20,29,36
20,39,32
21,0,24
21,8,1
21,2,32
21,3,7
21,4,17
21,5,38
21,6,39
21,9,35
21,25,10
21,15,11
21,28,12
21,13,18
21,14,19
21,27,16
21,20,30
21,21,23
21,22,31
21,26,33
21,37,29
21,36,34
22,32,0
22,1,24
22,36,2
22,35,3
22,4,7
22,34,5
22,6,8
22,39,9
22,21,10
22,11,19
22,27,12
22,13,22
22,25,14
22,23,15
22,31,16
22,17,20
22,18,26
22,30,28
22,29,33
22,38,37
23,0,9
23,1,4
23,2,13
23,37,3
23,32,5
23,18,6
23,7,19
23,8,31
23,20,10
23,11,22
23,23,12
23,24,14
23,15,21
23,28,16
23,25,17
23,26,27
23,39,29
23,30,33
23,34,35
23,38,36
24,0,37
24,36,1
24,2,34
24,3,13
24,4,9
24,30,5
24,19,6
24,35,7
24,8,22
24,10,11
24,12,31
24,21,14
24,15,26
24,16,18
24,23,17
24,27,20
24,24,39
24,28,25
24,38,29
24,33,32
25,17,0
25,1,29
25,9,2
25,3,12
25,4,34
25,5,13
25,21,6
25,36,7
25,10,8
25,11,30
25,14,26
25,16,15
25,18,27
25,19,39
25,32,20
25,22,24
25,28,23
25,25,35
25,37,31
25,33,38
26,15,0
26,1,32
26,8,2
26,6,3
26,4,12
26,5,37
26,7,30
26,9,36
26,10,16
26,11,39
26,13,26
26,14,27
26,17,19
26,25,18
26,33,20
26,24,21
26,22,35
26,29,23
26,31,28
26,34,38
27,14,0
27,6,1
27,2,37
27,3,30
27,38,4
27,15,5
27,7,12
27,18,8
27,16,9
27,39,10
27,11,36
27,13,24
27,17,32
27,19,22
27,20,34
27,28,21
27,27,23
27,29,25
27,26,35
27,31,33
28,0,7
28,1,10
28,39,2
28,36,3
28,33,4
28,18,5
28,37,6
28,26,8
28,20,9
28,23,11
28,12,24
28,13,15
28,16,14
28,30,17
28,19,32
28,21,34
28,25,22
28,27,28
28,35,29
28,38,31
29,0,10
29,1,3
29,2,7
29,27,4
29,20,5
29,38,6
29,30,8
29,23,9
29,21,11
29,12,15
29,14,13
29,16,19
29,31,17
29,18,24
29,22,34
29,26,25
29,28,35
29,32,29
29,33,36
29,37,39
