154,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 280,7243

NrViolations,0
Round,H_team,A_team 
0,36,0
0,1,37
0,18,2
0,4,3
0,38,5
0,30,6
0,7,24
0,22,8
0,12,9
0,10,17
0,20,11
0,13,34
0,14,25
0,15,32
0,33,16
0,19,31
0,35,21
0,27,23
0,39,26
0,28,29
1,10,0
1,1,11
1,38,2
1,7,3
1,4,5
1,35,6
1,30,8
1,20,9
1,12,23
1,13,17
1,14,31
1,15,29
1,19,16
1,18,34
1,33,21
1,22,37
1,39,24
1,36,25
1,28,26
1,27,32
2,0,9
2,19,1
2,2,37
2,16,3
2,31,4
2,5,24
2,10,6
2,15,7
2,8,38
2,32,11
2,28,12
2,33,13
2,14,26
2,17,18
2,20,34
2,21,36
2,22,27
2,29,23
2,35,25
2,30,39
3,0,14
3,24,1
3,2,10
3,3,12
3,6,4
3,5,39
3,23,7
3,8,33
3,9,35
3,11,27
3,21,13
3,37,15
3,16,20
3,17,19
3,26,18
3,34,22
3,25,38
3,32,28
3,29,36
3,31,30
4,4,0
4,6,1
4,2,35
4,3,22
4,29,5
4,25,7
4,17,8
4,9,27
4,13,10
4,11,31
4,12,38
4,37,14
4,39,15
4,23,16
4,18,30
4,32,19
4,36,20
4,26,21
4,24,33
4,34,28
5,23,0
5,1,34
5,36,2
5,18,3
5,4,32
5,27,5
5,6,21
5,7,29
5,26,8
5,39,9
5,30,10
5,11,14
5,12,16
5,13,24
5,15,19
5,28,17
5,25,20
5,38,22
5,37,31
5,35,33
6,1,0
6,20,2
6,13,3
6,4,25
6,36,5
6,15,6
6,7,8
6,38,9
6,10,16
6,18,11
6,12,31
6,14,24
6,33,17
6,19,26
6,28,21
6,22,23
6,27,29
6,30,34
6,35,32
6,39,37
7,0,29
7,1,12
7,8,2
7,3,11
7,20,4
7,5,23
7,24,6
7,7,26
7,9,32
7,10,28
7,27,13
7,14,36
7,31,15
7,16,25
7,34,17
7,22,18
7,19,39
7,21,37
7,33,30
7,38,35
8,0,18
8,26,1
8,2,27
8,3,10
8,8,4
8,5,19
8,6,13
8,9,7
8,11,35
8,29,12
8,17,14
8,34,15
8,16,28
8,23,20
8,21,39
8,31,22
8,24,38
8,25,30
8,32,36
8,37,33
9,0,28
9,8,1
9,2,30
9,3,33
9,26,4
9,5,14
9,6,7
9,9,19
9,24,10
9,11,15
9,21,12
9,25,13
9,16,18
9,17,20
9,32,22
9,23,36
9,34,27
9,29,35
9,31,39
9,37,38
