154,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 27896,7231

NrViolations,0
Round,H_team,A_team 
0,0,2
0,12,1
0,3,6
0,29,4
0,15,5
0,27,7
0,25,8
0,18,9
0,10,11
0,32,13
0,30,14
0,16,23
0,17,24
0,19,36
0,22,20
0,33,21
0,38,26
0,28,34
0,31,35
0,39,37
1,3,0
1,18,1
1,2,20
1,30,4
1,11,5
1,7,6
1,24,8
1,12,9
1,15,10
1,38,13
1,17,14
1,16,36
1,19,23
1,39,21
1,22,31
1,25,29
1,32,26
1,27,35
1,28,37
1,33,34
2,0,20
2,14,1
2,2,6
2,5,3
2,24,4
2,7,31
2,8,19
2,9,29
2,10,39
2,11,34
2,37,12
2,35,13
2,15,33
2,16,28
2,17,30
2,22,18
2,21,36
2,23,38
2,25,32
2,26,27
3,1,0
3,8,2
3,4,3
3,5,10
3,6,19
3,7,16
3,9,30
3,11,33
3,36,12
3,13,39
3,14,29
3,23,15
3,27,17
3,20,18
3,21,28
3,37,22
3,24,25
3,26,31
3,34,32
3,35,38
4,0,7
4,1,26
4,2,11
4,3,16
4,4,10
4,19,5
4,6,25
4,9,8
4,28,12
4,13,27
4,18,14
4,35,15
4,31,17
4,20,39
4,30,21
4,36,22
4,23,33
4,29,24
4,32,38
4,34,37
5,0,26
5,3,1
5,2,9
5,4,7
5,5,16
5,6,10
5,14,8
5,11,23
5,12,17
5,19,13
5,32,15
5,30,18
5,20,27
5,29,21
5,39,22
5,24,31
5,25,34
5,28,36
5,33,35
5,38,37
6,0,9
6,1,8
6,14,2
6,3,26
6,16,4
6,5,7
6,38,6
6,10,20
6,39,11
6,30,12
6,15,13
6,17,21
6,29,18
6,19,28
6,22,27
6,23,35
6,24,34
6,25,31
6,32,37
6,36,33
7,5,0
7,1,9
7,22,2
7,7,3
7,8,4
7,34,6
7,10,35
7,36,11
7,12,14
7,13,20
7,21,15
7,16,19
7,17,18
7,23,28
7,26,24
7,38,25
7,27,32
7,31,29
7,37,30
7,39,33
8,6,0
8,1,17
8,18,2
8,13,3
8,4,5
8,7,23
8,8,38
8,9,14
8,10,19
8,37,11
8,12,22
8,20,15
8,21,16
8,27,24
8,35,25
8,26,29
8,33,28
8,34,30
8,31,32
8,36,39
9,4,0
9,2,1
9,15,3
9,6,5
9,13,7
9,8,16
9,9,17
9,33,10
9,11,19
9,18,12
9,14,24
9,20,23
9,21,22
9,26,25
9,31,27
9,28,39
9,29,30
9,35,32
9,34,38
9,37,36
