5003,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 3150,7231

NrViolations,0
Round,H_team,A_team 
0,1,0
0,2,7
0,9,3
0,4,13
0,5,8
0,24,6
0,14,10
0,11,12
0,15,23
0,19,16
0,22,17
0,38,18
0,20,27
0,26,21
0,25,30
0,31,28
0,29,39
0,32,35
0,34,33
0,37,36
1,0,7
1,1,39
1,9,2
1,10,3
1,8,4
1,16,5
1,19,6
1,13,11
1,12,23
1,14,27
1,17,15
1,36,18
1,29,20
1,34,21
1,22,31
1,37,24
1,25,35
1,26,30
1,28,38
1,33,32
2,0,3
2,1,9
2,10,2
2,4,37
2,15,5
2,17,6
2,7,16
2,8,39
2,11,14
2,33,12
2,13,23
2,35,18
2,19,27
2,30,20
2,32,21
2,22,25
2,36,24
2,26,31
2,34,28
2,29,38
3,0,9
3,10,1
3,11,2
3,3,37
3,4,7
3,13,5
3,6,16
3,8,14
3,36,12
3,33,15
3,25,17
3,18,19
3,28,20
3,21,29
3,27,22
3,23,26
3,39,24
3,30,38
3,31,32
3,35,34
4,11,0
4,7,1
4,2,37
4,3,16
4,4,9
4,5,6
4,18,8
4,19,10
4,34,12
4,14,13
4,32,15
4,20,17
4,21,33
4,22,29
4,23,25
4,24,26
4,27,30
4,28,36
4,35,31
4,38,39
5,13,0
5,2,1
5,3,11
5,6,4
5,12,5
5,7,10
5,17,8
5,9,14
5,30,15
5,16,18
5,19,22
5,20,33
5,21,25
5,23,24
5,26,35
5,27,36
5,28,29
5,39,31
5,34,32
5,37,38
6,5,0
6,1,11
6,2,19
6,4,3
6,6,7
6,8,10
6,18,9
6,12,28
6,13,17
6,15,14
6,20,16
6,22,21
6,38,23
6,24,35
6,25,33
6,26,34
6,29,27
6,30,36
6,37,31
6,39,32
7,0,28
7,1,19
7,4,2
7,3,7
7,5,11
7,15,6
7,8,13
7,16,9
7,10,12
7,14,17
7,31,18
7,21,20
7,22,26
7,39,23
7,38,24
7,25,34
7,27,35
7,36,29
7,33,30
7,32,37
8,0,19
8,1,13
8,5,2
8,3,28
8,12,4
8,14,6
8,7,8
8,17,9
8,11,10
8,16,15
8,27,18
8,20,26
8,21,39
8,35,22
8,29,23
8,30,24
8,25,37
8,31,33
8,38,32
8,36,34
9,0,16
9,3,1
9,2,38
9,14,4
9,21,5
9,11,6
9,12,7
9,15,8
9,9,20
9,10,13
9,17,26
9,23,18
9,19,39
9,36,22
9,29,24
9,27,25
9,28,37
9,32,30
9,34,31
9,33,35
10,29,0
10,1,38
10,2,16
10,13,3
10,10,4
10,23,5
10,6,20
10,7,9
10,8,19
10,11,17
10,15,12
10,18,14
10,24,21
10,32,22
10,26,25
10,37,27
10,28,35
10,30,34
10,31,36
10,33,39
11,31,0
11,6,1
11,15,2
11,14,3
11,4,38
11,22,5
11,7,20
11,8,11
11,9,19
11,10,17
11,18,12
11,16,13
11,28,21
11,34,23
11,25,24
11,37,26
11,39,27
11,33,29
11,30,35
11,32,36
12,18,0
12,8,1
12,14,2
12,12,3
12,5,4
12,6,9
12,22,7
12,21,10
12,11,19
12,13,15
12,17,16
12,20,32
12,35,23
12,24,33
12,25,28
12,36,26
12,38,27
12,34,29
12,31,30
12,39,37
13,0,8
13,5,1
13,13,2
13,3,6
13,4,22
13,35,7
13,12,9
13,20,10
13,11,15
13,16,14
13,17,18
13,19,34
13,37,21
13,23,33
13,24,28
13,25,32
13,38,26
13,27,31
13,30,29
13,39,36
14,0,12
14,1,22
14,2,6
14,3,8
14,17,4
14,5,14
14,36,7
14,9,15
14,18,10
14,16,11
14,13,34
14,37,19
14,23,20
14,35,21
14,27,24
14,29,25
14,26,32
14,28,33
14,30,39
14,31,38
15,2,0
15,1,12
15,15,3
15,16,4
15,10,5
15,6,8
15,7,18
15,9,13
15,21,11
15,14,34
15,24,17
15,36,19
15,20,22
15,23,30
15,31,25
15,27,26
15,28,39
15,32,29
15,33,38
15,37,35
16,10,0
16,14,1
16,2,12
16,17,3
16,15,4
16,9,5
16,6,18
16,7,13
16,8,16
16,20,11
16,25,19
16,21,30
16,22,23
16,24,32
16,26,39
16,28,27
16,31,29
16,33,36
16,34,37
16,35,38
17,4,0
17,15,1
17,8,2
17,18,3
17,5,7
17,6,13
17,11,9
17,10,16
17,12,14
17,17,21
17,19,30
17,20,31
17,22,24
17,23,32
17,39,25
17,26,28
17,34,27
17,35,29
17,33,37
17,38,36
18,0,6
18,16,1
18,3,2
18,4,11
18,5,17
18,7,14
18,12,8
18,9,10
18,13,22
18,19,15
18,18,21
18,24,20
18,23,31
18,38,25
18,26,33
18,32,27
18,30,28
18,29,37
18,39,34
18,35,36
19,0,14
19,1,4
19,2,17
19,3,5
19,6,10
19,7,11
19,9,8
19,12,13
19,18,15
19,16,22
19,19,20
19,21,23
19,24,31
19,36,25
19,29,26
19,27,33
19,32,28
19,37,30
19,38,34
19,39,35
