0,Heuristic,10000000,7230.000000,1,0.005000,500000,32,8
Time,Value 
Final, 87769,7231

NrViolations,0
Round,H_team,A_team 
0,3,0
0,25,1
0,2,5
0,10,4
0,18,6
0,22,7
0,8,20
0,24,9
0,11,29
0,31,12
0,13,28
0,17,14
0,15,30
0,19,16
0,21,23
0,27,26
1,18,0
1,1,16
1,7,2
1,5,3
1,29,4
1,6,19
1,23,8
1,10,9
1,11,14
1,15,12
1,30,13
1,27,17
1,22,20
1,21,31
1,28,24
1,25,26
2,6,0
2,1,26
2,2,22
2,23,3
2,4,5
2,7,8
2,9,16
2,25,10
2,11,17
2,12,21
2,13,24
2,14,31
2,28,15
2,18,19
2,29,20
2,30,27
3,0,19
3,1,10
3,2,23
3,20,3
3,4,18
3,7,5
3,16,6
3,22,8
3,9,25
3,26,11
3,12,28
3,13,27
3,29,14
3,21,15
3,17,31
3,30,24
4,2,0
4,24,1
4,3,6
4,22,4
4,20,5
4,19,7
4,8,18
4,26,9
4,10,17
4,27,11
4,12,30
4,31,13
4,14,15
4,16,23
4,21,28
4,25,29
5,0,23
5,18,1
5,19,2
5,16,3
5,20,4
5,5,22
5,6,7
5,8,21
5,9,29
5,10,26
5,11,25
5,17,12
5,15,13
5,14,28
5,24,27
5,31,30
6,0,16
6,6,1
6,3,2
6,4,21
6,5,18
6,24,7
6,8,10
6,9,27
6,13,11
6,14,12
6,31,15
6,17,25
6,19,22
6,23,20
6,26,29
6,28,30
7,0,22
7,1,9
7,16,2
7,3,19
7,4,8
7,5,6
7,7,18
7,29,10
7,15,11
7,12,13
7,23,14
7,30,17
7,20,21
7,26,24
7,27,25
7,28,31
