5003,Heuristic,10000000,7230.000000,1,0.005000,500000,16,8
Time,Value 
Final, 65219,7231

NrViolations,0
Round,H_team,A_team 
0,0,6
0,1,3
0,2,5
0,4,15
0,7,12
0,11,8
0,10,9
0,14,13
1,0,4
1,6,1
1,3,2
1,5,12
1,7,14
1,13,8
1,11,9
1,10,15
2,13,0
2,11,1
2,2,6
2,3,12
2,4,10
2,5,7
2,15,8
2,9,14
3,15,0
3,9,1
3,2,7
3,5,3
3,4,6
3,8,14
3,10,11
3,12,13
4,8,0
4,1,7
4,4,2
4,9,3
4,6,5
4,13,10
4,14,11
4,15,12
5,0,5
5,1,4
5,8,2
5,7,3
5,6,9
5,14,10
5,12,11
5,13,15
6,0,2
6,1,5
6,3,4
6,6,8
6,7,9
6,12,10
6,11,13
6,14,15
7,10,0
7,2,1
7,3,6
7,5,4
7,8,7
7,9,13
7,15,11
7,12,14
