2486,Heuristic,10000000,7230.000000,1,0.005000,500000,24,12
Time,Value 
Final, 126455,7231

NrViolations,0
Round,H_team,A_team 
0,8,0
0,1,7
0,2,15
0,21,3
0,4,13
0,5,12
0,22,6
0,9,11
0,18,10
0,16,14
0,20,17
0,23,19
1,22,0
1,1,13
1,2,19
1,3,16
1,4,14
1,7,5
1,6,9
1,12,8
1,10,15
1,17,11
1,18,23
1,20,21
2,9,0
2,12,1
2,11,2
2,13,3
2,7,4
2,19,5
2,6,20
2,14,8
2,10,23
2,18,15
2,21,16
2,17,22
3,0,20
3,14,1
3,7,2
3,3,5
3,12,4
3,23,6
3,15,8
3,9,17
3,11,10
3,13,22
3,19,16
3,21,18
4,0,10
4,5,1
4,16,2
4,19,3
4,4,11
4,6,18
4,15,7
4,8,17
4,9,22
4,14,12
4,13,21
4,23,20
5,0,18
5,1,4
5,2,23
5,12,3
5,5,21
5,7,6
5,8,9
5,22,10
5,16,11
5,17,13
5,15,14
5,20,19
6,17,0
6,1,16
6,18,2
6,14,3
6,4,21
6,5,6
6,12,7
6,10,8
6,20,9
6,11,23
6,13,15
6,22,19
7,13,0
7,1,15
7,2,8
7,3,10
7,4,6
7,16,5
7,14,7
7,9,19
7,18,11
7,20,12
7,21,17
7,22,23
8,11,0
8,2,1
8,17,3
8,5,4
8,6,10
8,7,20
8,23,8
8,9,14
8,19,12
8,18,13
8,16,15
8,21,22
9,0,14
9,23,1
9,2,9
9,3,22
9,15,4
9,5,20
9,6,11
9,7,16
9,8,19
9,10,13
9,21,12
9,17,18
10,0,6
10,11,1
10,10,2
10,3,7
10,4,17
10,15,5
10,8,18
10,23,9
10,12,16
10,13,14
10,19,21
10,20,22
11,0,23
11,1,17
11,6,2
11,3,20
11,16,4
11,14,5
11,19,7
11,8,21
11,10,9
11,11,13
11,15,12
11,22,18
