11,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 2676,7231

NrViolations,0
Round,H_team,A_team 
0,0,39
0,1,2
0,9,3
0,38,4
0,5,10
0,6,8
0,15,7
0,11,14
0,12,18
0,13,17
0,26,16
0,19,25
0,20,22
0,21,28
0,23,30
0,27,24
0,29,32
0,31,35
0,34,33
0,37,36
1,2,0
1,37,1
1,3,14
1,36,4
1,34,5
1,38,6
1,8,7
1,9,15
1,10,17
1,11,18
1,21,12
1,19,13
1,24,16
1,31,20
1,22,28
1,23,32
1,25,30
1,27,26
1,33,29
1,35,39
2,3,0
2,36,1
2,2,7
2,4,14
2,35,5
2,37,6
2,8,15
2,16,9
2,10,11
2,12,17
2,18,13
2,19,32
2,28,20
2,33,21
2,26,22
2,24,23
2,25,27
2,30,29
2,31,34
2,38,39
3,0,37
3,35,1
3,5,2
3,39,3
3,7,4
3,34,6
3,11,8
3,14,9
3,10,18
3,12,19
3,13,15
3,17,16
3,26,20
3,32,21
3,22,24
3,23,25
3,27,38
3,28,30
3,29,31
3,33,36
4,0,34
4,1,5
4,8,2
4,3,11
4,39,4
4,6,36
4,7,18
4,9,10
4,13,12
4,15,14
4,16,23
4,22,17
4,19,31
4,20,30
4,24,21
4,25,28
4,32,26
4,27,33
4,29,38
4,37,35
5,0,5
5,38,1
5,2,36
5,35,3
5,4,11
5,6,18
5,10,7
5,8,12
5,23,9
5,14,13
5,20,15
5,16,19
5,28,17
5,21,30
5,27,22
5,24,29
5,25,33
5,26,31
5,34,32
5,39,37
6,7,0
6,1,27
6,10,2
6,34,3
6,8,4
6,5,37
6,6,11
6,21,9
6,12,15
6,13,24
6,14,16
6,17,20
6,18,19
6,30,22
6,35,23
6,25,29
6,26,33
6,32,28
6,31,38
6,36,39
7,4,0
7,1,8
7,11,2
7,33,3
7,5,7
7,13,6
7,17,9
7,10,15
7,12,24
7,19,14
7,18,16
7,20,21
7,29,22
7,34,23
7,26,25
7,39,27
7,35,28
7,37,30
7,32,31
7,36,38
8,0,8
8,6,1
8,9,2
8,3,7
8,4,32
8,16,5
8,12,10
8,11,13
8,14,26
8,15,24
8,18,17
8,22,19
8,20,35
8,21,25
8,31,23
8,37,27
8,33,28
8,39,29
8,36,30
8,38,34
9,0,29
9,11,1
9,2,32
9,3,8
9,6,4
9,17,5
9,7,9
9,10,22
9,14,12
9,13,26
9,16,15
9,23,18
9,24,19
9,20,25
9,21,35
9,27,31
9,28,36
9,30,33
9,39,34
9,38,37
10,30,0
10,1,32
10,2,4
10,6,3
10,15,5
10,7,38
10,8,10
10,9,22
10,12,11
10,16,13
10,37,14
10,17,26
10,18,28
10,19,20
10,23,21
10,24,31
10,25,35
10,29,27
10,33,39
10,34,36
11,26,0
11,1,4
11,33,2
11,3,10
11,5,12
11,9,6
11,13,7
11,8,38
11,11,22
11,36,14
11,15,28
11,21,16
11,27,17
11,20,18
11,19,23
11,25,24
11,29,37
11,30,31
11,32,39
11,35,34
12,31,0
12,1,10
12,35,2
12,36,3
12,4,12
12,5,38
12,6,14
12,16,7
12,8,9
12,25,11
12,13,20
12,19,15
12,24,17
12,22,18
12,27,21
12,23,28
12,29,26
12,39,30
12,32,33
12,34,37
13,0,36
13,39,1
13,2,34
13,38,3
13,4,5
13,10,6
13,14,7
13,17,8
13,9,13
13,24,11
13,12,20
13,18,15
13,16,25
13,21,19
13,31,22
13,23,27
13,30,26
13,28,29
13,32,35
13,33,37
14,0,9
14,1,3
14,2,38
14,4,34
14,5,39
14,15,6
14,7,36
14,22,8
14,14,10
14,19,11
14,16,12
14,13,25
14,17,23
14,18,27
14,24,20
14,29,21
14,28,26
14,30,35
14,31,33
14,37,32
15,0,38
15,7,1
15,39,2
15,3,37
15,9,4
15,5,36
15,12,6
15,21,8
15,10,13
15,11,16
15,18,14
15,15,23
15,17,19
15,20,27
15,22,25
15,26,24
15,28,31
15,34,29
15,32,30
15,33,35
16,35,0
16,1,33
16,3,2
16,4,37
16,6,5
16,11,7
16,8,39
16,12,9
16,10,16
16,13,23
16,20,14
16,15,17
16,24,18
16,19,26
16,21,22
16,25,31
16,27,28
16,36,29
16,34,30
16,38,32
17,6,0
17,31,1
17,2,37
17,3,12
17,4,33
17,5,13
17,7,39
17,16,8
17,11,9
17,38,10
17,14,21
17,22,15
17,17,25
17,26,18
17,27,19
17,23,20
17,30,24
17,28,34
17,35,29
17,36,32
18,0,33
18,29,1
18,2,12
18,5,3
18,4,13
18,7,6
18,14,8
18,9,39
18,37,10
18,17,11
18,15,21
18,20,16
18,18,25
18,28,19
18,22,23
18,32,24
18,26,34
18,30,27
18,31,36
18,38,35
19,1,0
19,2,6
19,3,4
19,9,5
19,7,12
19,8,13
19,39,10
19,15,11
19,14,17
19,22,16
19,18,21
19,30,19
19,29,20
19,23,26
19,28,24
19,25,34
19,32,27
19,37,31
19,33,38
19,36,35
