396,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 560,7231

NrViolations,0
Round,H_team,A_team 
0,0,28
0,1,3
0,2,33
0,4,37
0,5,16
0,17,6
0,29,7
0,8,23
0,9,13
0,15,10
0,11,25
0,12,39
0,14,36
0,18,34
0,38,19
0,31,20
0,21,27
0,24,22
0,30,26
0,35,32
1,0,33
1,1,22
1,2,20
1,38,3
1,4,32
1,5,13
1,8,6
1,35,7
1,9,30
1,21,10
1,11,36
1,12,25
1,14,39
1,15,26
1,16,37
1,17,34
1,18,23
1,31,19
1,24,27
1,29,28
2,4,0
2,1,10
2,9,2
2,36,3
2,5,6
2,18,7
2,15,8
2,32,11
2,12,20
2,13,28
2,14,25
2,16,23
2,39,17
2,22,19
2,21,30
2,24,29
2,26,33
2,27,34
2,31,37
2,35,38
3,27,0
3,6,1
3,3,2
3,10,4
3,29,5
3,7,31
3,34,8
3,26,9
3,28,11
3,22,12
3,13,30
3,19,14
3,33,15
3,16,18
3,20,17
3,39,21
3,23,38
3,25,24
3,36,32
3,37,35
4,20,0
4,23,1
4,25,2
4,3,32
4,6,4
4,22,5
4,7,16
4,8,18
4,33,9
4,10,36
4,37,11
4,30,12
4,13,21
4,34,14
4,15,38
4,28,17
4,29,19
4,26,24
4,27,35
4,39,31
5,0,35
5,15,1
5,2,39
5,3,22
5,11,4
5,9,5
5,6,27
5,7,37
5,8,10
5,12,26
5,38,13
5,17,14
5,30,16
5,31,18
5,33,19
5,20,25
5,21,23
5,28,24
5,29,36
5,34,32
6,0,34
6,1,33
6,2,13
6,17,3
6,4,27
6,5,39
6,10,6
6,9,7
6,32,8
6,11,19
6,12,36
6,14,16
6,15,28
6,18,29
6,21,20
6,35,22
6,31,23
6,24,37
6,30,25
6,38,26
7,0,8
7,1,20
7,2,21
7,11,3
7,4,22
7,25,5
7,6,37
7,39,7
7,32,9
7,10,30
7,12,15
7,13,33
7,14,28
7,16,34
7,17,27
7,35,18
7,19,23
7,38,24
7,36,26
7,31,29
8,36,0
8,1,24
8,32,2
8,4,3
8,10,5
8,6,15
8,13,7
8,8,38
8,23,9
8,18,11
8,19,12
8,14,21
8,16,39
8,35,17
8,34,20
8,22,31
8,25,28
8,26,29
8,27,30
8,37,33
9,18,0
9,7,1
9,2,17
9,3,30
9,26,4
9,28,5
9,6,11
9,8,31
9,9,35
9,33,10
9,16,12
9,27,13
9,29,14
9,36,15
9,19,32
9,20,24
9,25,21
9,23,22
9,34,39
9,37,38
10,23,0
10,31,1
10,2,37
10,3,6
10,8,4
10,5,12
10,7,10
10,9,25
10,29,11
10,34,13
10,18,14
10,15,17
10,33,16
10,26,19
10,20,39
10,21,38
10,28,22
10,24,35
10,27,36
10,30,32
11,0,13
11,12,1
11,2,16
11,21,3
11,29,4
11,5,26
11,24,6
11,7,8
11,11,9
11,38,10
11,32,14
11,15,20
11,17,23
11,33,18
11,19,25
11,22,34
11,31,27
11,28,36
11,30,35
11,39,37
12,0,9
12,1,29
12,12,2
12,25,3
12,4,16
12,5,8
12,19,6
12,14,7
12,10,18
12,11,34
12,13,26
12,24,15
12,17,21
12,38,20
12,22,27
12,37,23
12,35,28
12,30,31
12,32,33
12,39,36
13,32,0
13,1,21
13,14,2
13,3,23
13,4,5
13,6,18
13,36,7
13,13,8
13,34,9
13,10,35
13,11,15
13,12,31
13,16,38
13,22,17
13,19,20
13,39,24
13,25,27
13,26,28
13,33,29
13,37,30
14,0,12
14,1,2
14,3,33
14,4,30
14,34,5
14,28,6
14,7,17
14,8,11
14,9,15
14,10,24
14,16,13
14,35,14
14,18,32
14,27,19
14,20,22
14,26,21
14,23,39
14,37,25
14,38,29
14,36,31
15,0,11
15,34,1
15,2,6
15,3,39
15,31,4
15,5,27
15,7,22
15,8,19
15,9,14
15,16,10
15,29,12
15,20,13
15,15,25
15,38,17
15,18,30
15,21,37
15,23,36
15,24,33
15,35,26
15,28,32
16,0,37
16,30,1
16,2,10
16,5,3
16,21,4
16,12,6
16,7,23
16,8,22
16,9,19
16,17,11
16,14,13
16,15,39
16,20,16
16,18,25
16,24,34
16,31,26
16,29,27
16,28,33
16,38,32
16,35,36
17,39,0
17,1,28
17,30,2
17,14,3
17,13,4
17,5,38
17,6,16
17,33,7
17,37,8
17,36,9
17,22,10
17,11,26
17,21,12
17,27,15
17,17,31
17,24,18
17,19,35
17,23,20
17,25,34
17,32,29
18,30,0
18,27,1
18,22,2
18,3,28
18,4,24
18,37,5
18,6,35
18,32,7
18,33,8
18,39,9
18,10,31
18,11,12
18,13,15
18,23,14
18,36,16
18,17,18
18,19,21
18,20,29
18,25,38
18,26,34
19,16,0
19,32,1
19,26,2
19,3,24
19,19,4
19,23,5
19,6,9
19,7,21
19,39,8
19,10,11
19,27,12
19,13,29
19,33,14
19,37,15
19,36,17
19,22,18
19,20,35
19,25,31
19,28,30
19,34,38
