1217,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 102942,7231

NrViolations,0
Round,H_team,A_team 
0,25,0
0,1,22
0,2,21
0,7,3
0,24,4
0,39,5
0,6,15
0,8,35
0,18,9
0,16,10
0,11,28
0,12,37
0,34,13
0,29,14
0,33,17
0,20,19
0,26,23
0,32,27
0,30,36
0,31,38
1,8,0
1,6,1
1,2,38
1,3,32
1,4,15
1,33,5
1,24,7
1,9,37
1,10,28
1,11,26
1,12,36
1,25,13
1,30,14
1,16,35
1,39,17
1,29,18
1,21,19
1,20,22
1,31,23
1,34,27
2,0,15
2,1,38
2,5,2
2,3,23
2,16,4
2,6,12
2,34,7
2,31,8
2,11,9
2,10,26
2,24,13
2,22,14
2,37,17
2,30,18
2,19,35
2,20,28
2,21,36
2,25,27
2,32,29
2,39,33
3,2,0
3,28,1
3,3,6
3,4,31
3,23,5
3,38,7
3,27,8
3,10,9
3,32,11
3,12,18
3,13,26
3,14,25
3,15,20
3,22,16
3,17,24
3,19,34
3,21,30
3,35,29
3,36,33
3,37,39
4,0,6
4,39,1
4,2,3
4,12,4
4,5,10
4,7,22
4,26,8
4,15,9
4,35,11
4,18,13
4,14,16
4,17,31
4,36,19
4,20,30
4,24,21
4,23,34
4,25,28
4,27,29
4,38,32
4,37,33
5,0,3
5,36,1
5,27,2
5,18,4
5,5,15
5,6,16
5,7,26
5,8,17
5,9,28
5,23,10
5,11,12
5,14,13
5,39,19
5,24,20
5,25,21
5,32,22
5,29,31
5,30,37
5,33,34
5,38,35
6,0,29
6,1,17
6,31,2
6,3,14
6,4,25
6,5,21
6,33,6
6,7,9
6,8,36
6,10,12
6,11,38
6,13,27
6,15,39
6,16,23
6,18,37
6,30,19
6,34,20
6,35,22
6,24,28
6,32,26
7,21,0
7,1,29
7,2,9
7,30,3
7,4,38
7,26,5
7,23,6
7,14,7
7,8,24
7,10,33
7,19,11
7,16,12
7,13,39
7,35,15
7,17,36
7,28,18
7,25,20
7,22,37
7,27,31
7,34,32
8,0,9
8,4,1
8,2,29
8,37,3
8,31,5
8,6,39
8,12,7
8,16,8
8,10,13
8,34,11
8,35,14
8,38,15
8,17,21
8,36,18
8,19,23
8,20,33
8,28,22
8,26,24
8,25,32
8,27,30
9,0,17
9,1,12
9,28,2
9,36,3
9,9,4
9,29,5
9,6,7
9,8,21
9,20,10
9,25,11
9,13,37
9,38,14
9,32,15
9,19,16
9,39,18
9,33,22
9,23,35
9,27,24
9,26,34
9,31,30
10,4,0
10,1,10
10,36,2
10,3,12
10,5,19
10,6,28
10,7,8
10,9,26
10,11,17
10,13,35
10,32,14
10,15,37
10,33,16
10,18,25
10,21,20
10,39,22
10,23,27
10,24,30
10,29,38
10,31,34
11,11,0
11,15,1
11,33,2
11,3,13
11,4,27
11,5,17
11,14,6
11,7,35
11,22,8
11,16,9
11,10,37
11,12,25
11,18,26
11,19,28
11,20,23
11,21,29
11,34,24
11,30,38
11,32,31
11,39,36
12,10,0
12,3,1
12,2,4
12,5,32
12,18,6
12,20,7
12,30,8
12,21,9
12,11,16
12,12,26
12,13,31
12,14,15
12,17,27
12,19,33
12,22,23
12,37,24
12,25,34
12,28,38
12,36,29
12,35,39
13,0,32
13,8,1
13,2,18
13,19,3
13,4,14
13,7,5
13,22,6
13,9,20
13,35,10
13,27,11
13,12,15
13,13,23
13,28,16
13,17,30
13,34,21
13,36,24
13,25,33
13,26,31
13,37,29
13,38,39
14,0,36
14,1,14
14,2,12
14,8,3
14,4,19
14,5,22
14,6,25
14,7,32
14,29,9
14,38,10
14,31,11
14,30,13
14,18,15
14,16,37
14,17,20
14,26,21
14,23,28
14,24,33
14,35,27
14,34,39
15,0,1
15,23,2
15,16,3
15,7,4
15,5,37
15,31,6
15,34,8
15,30,9
15,32,10
15,11,36
15,12,20
15,29,13
15,14,21
15,15,28
15,18,17
15,19,22
15,24,35
15,39,25
15,33,26
15,38,27
16,20,0
16,9,1
16,15,2
16,3,4
16,5,34
16,27,6
16,16,7
16,32,8
16,10,36
16,21,11
16,12,35
16,13,22
16,14,17
16,18,24
16,19,26
16,23,38
16,37,25
16,28,33
16,29,30
16,39,31
17,22,0
17,1,18
17,13,2
17,3,34
17,4,29
17,25,5
17,26,6
17,19,7
17,38,8
17,9,24
17,10,39
17,30,11
17,32,12
17,20,14
17,27,15
17,21,16
17,17,35
17,33,23
17,37,28
17,36,31
18,0,13
18,1,30
18,2,7
18,25,3
18,4,32
18,24,5
18,6,37
18,8,29
18,17,9
18,10,19
18,22,11
18,38,12
18,14,36
18,26,15
18,18,16
18,20,27
18,21,23
18,28,39
18,33,31
18,35,34
19,31,0
19,7,1
19,14,2
19,3,17
19,4,13
19,5,16
19,6,29
19,8,37
19,9,36
19,15,10
19,11,23
19,28,12
19,35,18
19,19,25
19,26,20
19,39,21
19,22,27
19,24,32
19,33,30
19,34,38
20,27,0
20,13,1
20,2,19
20,3,10
20,8,4
20,5,11
20,9,6
20,7,17
20,12,22
20,14,26
20,15,33
20,16,36
20,32,18
20,31,20
20,37,21
20,23,25
20,24,38
20,28,35
20,29,34
20,39,30
21,26,0
21,1,19
21,16,2
21,15,3
21,4,17
21,5,8
21,6,24
21,7,10
21,12,9
21,11,14
21,13,33
21,27,18
21,29,20
21,21,32
21,22,31
21,23,39
21,25,38
21,36,28
21,30,34
21,37,35
22,0,19
22,1,24
22,2,39
22,20,3
22,4,5
22,38,6
22,23,7
22,28,8
22,22,9
22,10,14
22,11,33
22,12,13
22,21,15
22,16,27
22,17,34
22,18,31
22,29,25
22,26,30
22,37,32
22,36,35
23,0,39
23,1,23
23,2,20
23,22,3
23,21,4
23,18,5
23,34,6
23,33,7
23,19,8
23,9,31
23,11,10
23,14,12
23,17,13
23,15,16
23,24,29
23,26,25
23,28,27
23,35,30
23,36,32
23,38,37
24,28,0
24,2,1
24,3,11
24,39,4
24,12,5
24,35,6
24,15,7
24,8,23
24,9,13
24,10,21
24,31,14
24,20,16
24,17,19
24,18,22
24,25,24
24,29,26
24,33,27
24,32,30
24,34,37
24,38,36
25,33,0
25,20,1
25,10,2
25,26,3
25,37,4
25,5,38
25,6,17
25,7,11
25,8,18
25,9,39
25,30,12
25,13,16
25,27,14
25,23,15
25,24,19
25,21,28
25,29,22
25,31,25
25,32,35
25,34,36
26,23,0
26,21,1
26,2,24
26,3,9
26,4,6
26,5,36
26,7,31
26,8,39
26,10,18
26,11,15
26,29,12
26,13,20
26,14,34
26,16,38
26,17,28
26,37,19
26,30,22
26,35,25
26,26,27
26,32,33
27,0,24
27,1,26
27,17,2
27,3,31
27,11,4
27,6,5
27,7,29
27,15,8
27,9,14
27,27,10
27,12,21
27,13,28
27,16,39
27,20,18
27,19,38
27,22,34
27,23,32
27,25,30
27,35,33
27,36,37
28,0,16
28,1,5
28,22,2
28,3,29
28,28,4
28,6,30
28,27,7
28,8,25
28,9,34
28,31,10
28,39,11
28,17,12
28,15,13
28,14,24
28,18,21
28,19,32
28,36,20
28,37,23
28,35,26
28,38,33
29,0,5
29,1,16
29,30,2
29,27,3
29,33,4
29,6,8
29,13,7
29,9,25
29,34,10
29,37,11
29,24,12
29,14,18
29,15,19
29,29,17
29,39,20
29,22,21
29,36,23
29,38,26
29,28,32
29,31,35
