0,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 66834,7231

NrViolations,0
Round,H_team,A_team 
0,0,1
0,18,2
0,16,3
0,21,4
0,5,8
0,6,7
0,10,9
0,11,13
0,12,15
0,17,14
0,26,19
0,20,37
0,22,28
0,30,23
0,24,32
0,25,34
0,27,33
0,31,29
0,35,38
0,39,36
1,0,14
1,1,11
1,21,2
1,7,3
1,20,4
1,5,6
1,8,16
1,15,9
1,39,10
1,12,13
1,18,17
1,24,19
1,22,32
1,29,23
1,25,37
1,26,34
1,27,30
1,28,33
1,35,31
1,36,38
2,0,15
2,1,14
2,13,2
2,5,3
2,19,4
2,6,11
2,7,8
2,9,16
2,38,10
2,12,18
2,17,35
2,20,28
2,33,21
2,22,24
2,23,32
2,26,25
2,27,39
2,29,37
2,30,36
2,34,31
3,6,0
3,7,1
3,2,15
3,3,22
3,4,18
3,25,5
3,8,9
3,37,10
3,11,16
3,36,12
3,13,17
3,14,35
3,19,28
3,34,20
3,32,21
3,23,39
3,24,27
3,29,26
3,38,30
3,31,33
4,9,0
4,1,22
4,2,3
4,11,4
4,27,5
4,38,6
4,17,7
4,8,15
4,10,19
4,37,12
4,13,18
4,16,14
4,36,20
4,21,39
4,23,24
4,25,35
4,30,26
4,28,29
4,31,32
4,33,34
5,0,22
5,1,19
5,34,2
5,3,9
5,4,13
5,26,5
5,39,6
5,18,7
5,11,8
5,14,10
5,32,12
5,15,21
5,17,16
5,31,20
5,28,23
5,33,24
5,30,25
5,29,27
5,35,36
5,37,38
6,0,18
6,5,1
6,36,2
6,3,4
6,35,6
6,16,7
6,8,13
6,14,9
6,15,10
6,17,11
6,12,19
6,20,21
6,22,33
6,23,37
6,34,24
6,32,25
6,26,27
6,28,31
6,29,30
6,38,39
7,8,0
7,6,1
7,39,2
7,3,18
7,4,17
7,5,12
7,7,22
7,13,9
7,16,10
7,20,11
7,14,15
7,19,25
7,21,28
7,23,33
7,24,26
7,27,36
7,29,32
7,30,35
7,37,31
7,38,34
8,10,0
8,1,17
8,2,14
8,13,3
8,15,4
8,5,18
8,6,12
8,9,7
8,8,22
8,11,21
8,16,20
8,19,33
8,35,23
8,24,29
8,25,36
8,26,38
8,27,31
8,28,37
8,30,32
8,39,34
9,0,5
9,1,16
9,2,17
9,11,3
9,14,4
9,10,6
9,7,13
9,30,8
9,9,22
9,12,21
9,15,20
9,18,29
9,19,38
9,34,23
9,24,39
9,28,25
9,32,26
9,27,37
9,31,36
9,33,35
10,0,13
10,3,1
10,5,2
10,4,16
10,9,6
10,12,7
10,31,8
10,10,11
10,14,21
10,15,19
10,17,29
10,20,18
10,22,25
10,23,27
10,38,24
10,26,39
10,36,28
10,34,30
10,32,33
10,37,35
11,0,12
11,1,13
11,6,2
11,3,10
11,4,9
11,36,5
11,11,7
11,32,8
11,14,19
11,18,15
11,16,31
11,17,20
11,21,23
11,22,27
11,37,24
11,25,39
11,35,26
11,38,28
11,29,34
11,33,30
12,3,0
12,9,1
12,2,4
12,37,5
12,8,6
12,7,19
12,10,12
12,11,14
12,13,20
12,16,15
12,17,31
12,18,22
12,21,27
12,23,25
12,30,24
12,36,26
12,28,34
12,33,29
12,38,32
12,39,35
13,2,0
13,10,1
13,12,3
13,4,8
13,35,5
13,6,17
13,7,14
13,9,11
13,15,13
13,18,16
13,19,20
13,21,38
13,22,23
13,24,25
13,33,26
13,27,28
13,29,36
13,31,30
13,34,32
13,39,37
14,4,0
14,8,1
14,2,7
14,20,3
14,5,11
14,6,15
14,9,17
14,13,10
14,14,12
14,26,16
14,19,18
14,24,21
14,22,38
14,23,36
14,25,31
14,32,27
14,28,30
14,29,35
14,39,33
14,37,34
15,0,11
15,1,2
15,14,3
15,5,4
15,18,6
15,7,15
15,10,8
15,33,9
15,12,17
15,13,19
15,34,16
15,20,29
15,21,22
15,23,31
15,24,36
15,25,38
15,28,26
15,27,35
15,30,37
15,32,39
16,17,0
16,12,1
16,2,8
16,3,15
16,4,10
16,7,5
16,16,6
16,38,9
16,11,19
16,14,13
16,18,23
16,20,22
16,21,29
16,28,24
16,27,25
16,26,31
16,30,39
16,32,35
16,33,37
16,36,34
17,24,0
17,15,1
17,2,20
17,3,8
17,4,27
17,5,14
17,13,6
17,7,10
17,34,9
17,12,11
17,16,23
17,19,17
17,18,21
17,22,30
17,25,29
17,26,37
17,35,28
17,31,39
17,36,32
17,38,33
18,25,0
18,1,20
18,9,2
18,3,27
18,4,7
18,13,5
18,6,14
18,8,12
18,10,18
18,15,11
18,19,16
18,17,23
18,21,30
18,22,26
18,31,24
18,39,28
18,29,38
18,37,32
18,36,33
18,35,34
19,0,7
19,1,4
19,2,27
19,6,3
19,10,5
19,8,14
19,9,12
19,11,18
19,16,13
19,15,17
19,19,21
19,20,30
19,34,22
19,23,26
19,35,24
19,33,25
19,32,28
19,39,29
19,31,38
19,37,36
