0,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 6826,7238

NrViolations,0
Round,H_team,A_team 
0,0,3
0,2,1
0,4,27
0,5,31
0,6,7
0,15,8
0,9,11
0,10,30
0,12,24
0,13,33
0,14,28
0,22,16
0,17,29
0,18,23
0,34,19
0,20,21
0,25,32
0,26,37
0,35,38
0,39,36
1,0,27
1,1,18
1,6,2
1,3,39
1,5,4
1,7,31
1,17,8
1,9,30
1,10,12
1,11,24
1,34,13
1,14,33
1,15,28
1,26,16
1,36,19
1,20,29
1,21,38
1,22,37
1,23,32
1,25,35
2,0,18
2,1,11
2,2,27
2,3,34
2,4,39
2,5,12
2,29,6
2,7,9
2,8,30
2,22,10
2,38,13
2,14,24
2,35,15
2,20,16
2,21,17
2,37,19
2,25,23
2,31,26
2,28,36
2,33,32
3,4,0
3,1,34
3,2,18
3,7,3
3,9,5
3,30,6
3,8,39
3,19,10
3,11,20
3,16,12
3,32,13
3,17,14
3,37,15
3,27,21
3,29,22
3,23,36
3,24,28
3,38,25
3,33,26
3,35,31
4,0,7
4,12,1
4,4,2
4,13,3
4,17,5
4,26,6
4,29,8
4,9,23
4,24,10
4,18,11
4,14,20
4,32,15
4,16,34
4,19,38
4,21,28
4,30,22
4,39,25
4,27,33
4,37,31
4,36,35
5,0,13
5,10,1
5,2,23
5,11,3
5,6,4
5,18,5
5,7,38
5,26,8
5,12,9
5,16,14
5,15,17
5,20,19
5,22,21
5,32,24
5,25,29
5,39,27
5,28,33
5,34,30
5,36,31
5,35,37
6,1,0
6,11,2
6,3,16
6,9,4
6,5,13
6,6,23
6,21,7
6,22,8
6,10,17
6,12,38
6,15,14
6,19,18
6,26,20
6,30,24
6,25,28
6,35,27
6,39,29
6,31,33
6,37,32
6,34,36
7,0,12
7,8,1
7,13,2
7,3,22
7,4,10
7,5,16
7,11,6
7,23,7
7,9,25
7,18,14
7,21,15
7,17,20
7,31,19
7,33,24
7,28,26
7,27,36
7,38,29
7,37,30
7,32,39
7,34,35
8,0,10
8,1,22
8,14,2
8,5,3
8,4,16
8,6,27
8,18,7
8,8,25
8,9,28
8,13,11
8,12,23
8,15,20
8,33,17
8,29,19
8,35,21
8,24,31
8,26,36
8,39,30
8,32,34
8,38,37
9,0,9
9,1,3
9,2,22
9,4,13
9,20,5
9,35,6
9,7,27
9,14,8
9,10,25
9,11,23
9,12,28
9,15,38
9,16,18
9,34,17
9,33,19
9,36,21
9,26,24
9,32,29
9,31,30
9,39,37
10,8,0
10,1,13
10,2,9
10,3,27
10,23,4
10,22,5
10,37,6
10,7,32
10,10,26
10,11,28
10,12,14
10,19,15
10,16,38
10,25,17
10,18,31
10,20,39
10,29,21
10,24,35
10,30,36
10,34,33
11,0,2
11,14,1
11,3,25
11,29,4
11,21,5
11,36,6
11,13,7
11,8,32
11,9,10
11,11,26
11,27,12
11,18,15
11,16,31
11,17,22
11,19,39
11,38,20
11,30,23
11,24,37
11,28,34
11,35,33
12,0,11
12,7,1
12,2,25
12,17,3
12,30,4
12,5,32
12,6,16
12,18,8
12,27,9
12,10,13
12,34,12
12,14,26
12,15,22
12,28,19
12,36,20
12,33,21
12,31,23
12,24,38
12,29,37
12,39,35
13,15,0
13,1,25
13,35,2
13,10,3
13,4,11
13,7,5
13,6,24
13,16,8
13,14,9
13,33,12
13,13,22
13,31,17
13,34,18
13,27,19
13,37,20
13,32,21
13,39,23
13,26,38
13,28,30
13,36,29
14,16,0
14,20,1
14,37,2
14,9,3
14,4,24
14,10,5
14,13,6
14,19,7
14,8,11
14,12,15
14,35,14
14,32,17
14,33,18
14,30,21
14,22,28
14,23,34
14,25,36
14,26,29
14,38,27
14,31,39
15,21,0
15,23,1
15,36,2
15,3,33
15,12,4
15,5,24
15,15,6
15,11,7
15,8,35
15,20,9
15,29,10
15,16,13
15,38,14
15,30,17
15,32,18
15,25,19
15,22,34
15,26,39
15,37,27
15,28,31
16,0,5
16,21,1
16,2,33
16,3,29
16,4,35
16,18,6
16,8,7
16,19,9
16,28,10
16,31,11
16,12,36
16,15,13
16,39,14
16,27,16
16,17,23
16,20,22
16,24,25
16,30,26
16,38,32
16,34,37
17,26,0
17,1,29
17,5,2
17,4,3
17,6,33
17,7,15
17,13,8
17,18,9
17,27,10
17,37,11
17,19,12
17,14,36
17,35,16
17,17,39
17,25,20
17,24,21
17,22,38
17,23,28
17,32,30
17,31,34
18,20,0
18,1,4
18,2,29
18,3,14
18,5,15
18,6,12
18,10,7
18,8,31
18,9,35
18,36,11
18,13,39
18,33,16
18,18,17
18,22,19
18,21,34
18,23,24
18,25,37
18,27,26
18,32,28
18,30,38
19,17,0
19,1,6
19,2,8
19,3,30
19,4,14
19,11,5
19,7,12
19,9,15
19,10,31
19,13,35
19,16,39
19,20,18
19,21,19
19,33,22
19,23,37
19,24,34
19,26,25
19,32,27
19,29,28
19,38,36
20,0,6
20,31,1
20,2,30
20,20,3
20,4,32
20,5,8
20,39,7
20,38,9
20,14,10
20,17,11
20,12,13
20,15,16
20,21,18
20,19,23
20,36,22
20,29,24
20,27,25
20,34,26
20,28,35
20,37,33
21,23,0
21,33,1
21,16,2
21,18,3
21,8,4
21,5,19
21,6,32
21,37,7
21,39,9
21,15,10
21,14,11
21,12,17
21,13,21
21,34,20
21,27,22
21,36,24
21,25,30
21,35,26
21,28,38
21,31,29
22,24,0
22,28,1
22,10,2
22,19,3
22,15,4
22,6,5
22,36,7
22,12,8
22,37,9
22,11,21
22,31,13
22,22,14
22,16,17
22,39,18
22,35,20
22,23,27
22,25,33
22,26,32
22,30,29
22,38,34
23,14,0
23,1,35
23,2,15
23,3,12
23,7,4
23,5,37
23,6,8
23,9,21
23,10,11
23,29,13
23,19,16
23,17,26
23,38,18
23,24,20
23,23,22
23,25,31
23,27,28
23,30,33
23,32,36
23,34,39
24,0,35
24,1,32
24,2,12
24,3,15
24,4,37
24,5,14
24,9,6
24,7,17
24,19,8
24,20,10
24,11,30
24,28,13
24,16,24
24,36,18
24,21,26
24,22,31
24,38,23
24,34,25
24,27,29
24,39,33
25,0,32
25,9,1
25,2,3
25,33,4
25,28,5
25,6,17
25,7,14
25,8,37
25,18,10
25,15,11
25,12,30
25,13,19
25,16,36
25,20,31
25,25,21
25,26,22
25,35,23
25,24,27
25,29,34
25,39,38
26,38,0
26,15,1
26,21,2
26,3,32
26,34,4
26,35,5
26,14,6
26,24,7
26,8,9
26,16,10
26,11,19
26,29,12
26,13,17
26,26,18
26,20,30
26,25,22
26,33,23
26,31,27
26,39,28
26,37,36
27,36,0
27,17,1
27,19,2
27,3,26
27,4,25
27,38,5
27,10,6
27,22,7
27,8,34
27,9,16
27,11,39
27,21,12
27,14,13
27,31,15
27,24,18
27,23,20
27,30,27
27,37,28
27,29,33
27,32,35
28,28,0
28,1,26
28,7,2
28,3,8
28,19,4
28,5,25
28,6,34
28,17,9
28,10,39
28,11,16
28,18,12
28,13,37
28,21,14
28,36,15
28,27,20
28,22,24
28,23,29
28,30,35
28,32,31
28,33,38
29,0,25
29,1,5
29,2,26
29,6,3
29,17,4
29,7,16
29,8,10
29,13,9
29,12,11
29,19,14
29,30,15
29,18,37
29,28,20
29,23,21
29,22,32
29,24,39
29,27,34
29,29,35
29,31,38
29,33,36
