0,Heuristic,10000000,7230.000000,1,0.005000,500000,32,24
Time,Value 
Final, 400632,7231

NrViolations,0
Round,H_team,A_team 
0,0,17
0,1,13
0,2,6
0,3,29
0,25,4
0,5,11
0,7,22
0,8,16
0,26,9
0,15,10
0,12,14
0,19,18
0,28,20
0,23,21
0,31,24
0,30,27
1,0,3
1,1,4
1,2,30
1,5,29
1,19,6
1,7,25
1,8,20
1,9,12
1,31,10
1,23,11
1,26,13
1,14,21
1,15,24
1,22,16
1,18,17
1,28,27
2,0,30
2,27,1
2,2,25
2,16,3
2,4,19
2,10,5
2,6,28
2,18,7
2,8,11
2,9,22
2,26,12
2,29,13
2,14,31
2,21,15
2,24,17
2,20,23
3,20,0
3,1,22
3,23,2
3,3,30
3,4,31
3,5,28
3,6,25
3,7,15
3,9,8
3,27,10
3,11,12
3,13,16
3,29,14
3,17,26
3,24,18
3,21,19
4,4,0
4,1,8
4,7,2
4,3,27
4,5,31
4,6,9
4,10,24
4,11,26
4,12,17
4,13,23
4,14,19
4,29,15
4,30,16
4,18,20
4,21,28
4,25,22
5,0,6
5,28,1
5,2,20
5,11,3
5,22,4
5,5,26
5,7,9
5,8,18
5,10,21
5,12,16
5,31,13
5,14,30
5,15,23
5,17,29
5,19,27
5,24,25
6,0,24
6,31,1
6,2,19
6,17,3
6,4,20
6,16,5
6,6,27
6,8,7
6,25,9
6,14,10
6,30,11
6,22,12
6,15,13
6,29,18
6,26,21
6,28,23
7,18,0
7,15,1
7,2,8
7,25,3
7,5,4
7,22,6
7,20,7
7,9,19
7,10,17
7,13,11
7,23,12
7,26,14
7,16,24
7,27,21
7,31,28
7,30,29
8,0,8
8,1,19
8,27,2
8,3,24
8,18,4
8,5,22
8,23,6
8,26,7
8,21,9
8,12,10
8,11,31
8,28,13
8,16,14
8,30,15
8,25,17
8,20,29
9,15,0
9,1,17
9,11,2
9,3,14
9,4,6
9,5,25
9,7,27
9,19,8
9,31,9
9,13,10
9,12,30
9,18,16
9,20,21
9,22,28
9,29,23
9,24,26
10,31,0
10,26,1
10,4,2
10,3,5
10,6,24
10,10,7
10,8,28
10,13,9
10,17,11
10,12,18
10,14,15
10,16,27
10,19,25
10,22,20
10,29,21
10,30,23
11,28,0
11,11,1
11,2,5
11,7,3
11,4,15
11,6,26
11,30,8
11,9,27
11,22,10
11,21,12
11,13,18
11,20,14
11,16,25
11,17,23
11,24,19
11,29,31
12,0,26
12,14,1
12,28,2
12,6,3
12,7,4
12,5,9
12,12,8
12,23,10
12,11,18
12,30,13
12,20,15
12,16,21
12,27,17
12,19,22
12,24,29
12,25,31
13,0,22
13,1,16
13,15,2
13,3,21
13,4,24
13,19,5
13,18,6
13,28,7
13,17,8
13,23,9
13,20,10
13,11,14
13,12,13
13,25,30
13,26,29
13,27,31
14,0,21
14,1,30
14,13,2
14,3,20
14,4,26
14,6,5
14,31,7
14,8,27
14,9,24
14,10,25
14,29,11
14,15,12
14,22,14
14,16,19
14,17,28
14,18,23
15,5,0
15,25,1
15,2,14
15,3,23
15,12,4
15,16,6
15,13,7
15,8,26
15,9,30
15,10,11
15,15,17
15,18,27
15,19,20
15,21,31
15,29,22
15,24,28
16,7,0
16,1,10
16,21,2
16,19,3
16,30,4
16,24,5
16,6,15
16,29,8
16,9,28
16,25,11
16,12,31
16,13,17
16,14,23
16,20,16
16,22,18
16,26,27
17,2,0
17,3,1
17,14,4
17,8,5
17,7,6
17,11,9
17,10,29
17,12,25
17,27,13
17,18,15
17,23,16
17,31,17
17,19,26
17,24,20
17,22,21
17,28,30
18,0,1
18,2,18
18,4,3
18,7,5
18,6,14
18,8,31
18,17,9
18,10,19
18,28,11
18,29,12
18,13,25
18,27,15
18,16,26
18,20,30
18,21,24
18,23,22
19,0,16
19,6,1
19,2,29
19,3,26
19,10,4
19,5,14
19,23,7
19,22,8
19,9,18
19,15,11
19,27,12
19,13,24
19,17,19
19,20,31
19,21,30
19,28,25
20,0,23
20,1,18
20,22,2
20,9,3
20,4,8
20,20,5
20,13,6
20,21,7
20,26,10
20,11,19
20,12,28
20,14,17
20,31,15
20,29,16
20,30,24
20,25,27
21,25,0
21,1,9
21,2,12
21,10,3
21,4,16
21,15,5
21,31,6
21,24,7
21,8,13
21,11,20
21,14,28
21,17,21
21,18,26
21,19,23
21,30,22
21,27,29
22,9,0
22,1,29
22,16,2
22,18,3
22,23,4
22,17,5
22,11,6
22,7,19
22,8,14
22,10,28
22,24,12
22,21,13
22,15,22
22,27,20
22,26,25
22,30,31
23,19,0
23,24,1
23,3,2
23,21,4
23,5,18
23,6,12
23,16,7
23,23,8
23,9,10
23,27,11
23,14,13
23,28,15
23,17,30
23,26,20
23,31,22
23,25,29
