10000,Heuristic,10000000,7230.000000,1,0.005000,500000,24,12
Time,Value 
Final, 156874,7231

NrViolations,0
Round,H_team,A_team 
0,0,13
0,4,1
0,2,12
0,20,3
0,5,15
0,21,6
0,17,7
0,8,9
0,10,11
0,23,14
0,18,16
0,22,19
1,18,0
1,21,1
1,2,14
1,19,3
1,15,4
1,5,23
1,22,6
1,13,7
1,8,20
1,9,11
1,10,16
1,17,12
2,10,0
2,1,14
2,4,2
2,3,21
2,20,5
2,9,6
2,7,23
2,8,11
2,12,15
2,13,16
2,19,17
2,22,18
3,0,5
3,1,10
3,11,2
3,3,22
3,6,4
3,16,7
3,19,8
3,9,18
3,14,12
3,13,17
3,15,23
3,21,20
4,0,4
4,1,13
4,20,2
4,17,3
4,16,5
4,6,15
4,7,19
4,14,8
4,23,9
4,12,10
4,11,18
4,21,22
5,21,0
5,6,1
5,2,9
5,3,8
5,4,10
5,5,13
5,7,22
5,23,11
5,12,19
5,16,14
5,18,15
5,20,17
6,17,0
6,1,16
6,7,2
6,3,9
6,22,4
6,12,5
6,19,6
6,8,21
6,10,18
6,11,15
6,14,13
6,20,23
7,0,12
7,1,11
7,16,2
7,3,18
7,9,4
7,5,14
7,23,6
7,15,7
7,8,22
7,13,10
7,17,21
7,19,20
8,0,8
8,7,1
8,2,6
8,13,3
8,23,4
8,5,10
8,20,9
8,17,11
8,22,12
8,15,14
8,16,19
8,21,18
9,0,22
9,1,17
9,2,8
9,23,3
9,4,19
9,9,5
9,6,10
9,7,21
9,11,13
9,18,12
9,14,20
9,16,15
10,11,0
10,22,1
10,2,23
10,10,3
10,4,7
10,8,5
10,6,16
10,19,9
10,12,21
10,18,13
10,14,17
10,15,20
11,6,0
11,3,1
11,10,2
11,4,17
11,5,7
11,13,8
11,9,22
11,11,16
11,12,20
11,14,21
11,15,19
11,18,23
