154,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 4218,7232

NrViolations,0
Round,H_team,A_team 
0,0,17
0,1,39
0,3,2
0,4,35
0,5,10
0,32,6
0,7,22
0,12,8
0,9,13
0,11,26
0,14,18
0,15,16
0,30,19
0,20,23
0,25,21
0,36,24
0,33,27
0,28,31
0,37,29
0,34,38
1,0,6
1,1,17
1,2,8
1,37,3
1,13,4
1,36,5
1,7,26
1,9,22
1,10,11
1,14,12
1,15,23
1,16,35
1,18,20
1,27,19
1,21,28
1,30,24
1,29,25
1,33,31
1,34,32
1,38,39
2,0,25
2,38,1
2,2,17
2,3,9
2,21,4
2,27,5
2,6,14
2,29,7
2,32,8
2,10,34
2,15,11
2,12,35
2,13,26
2,16,30
2,19,18
2,20,28
2,23,22
2,31,24
2,37,33
2,36,39
3,12,0
3,1,23
3,2,7
3,3,38
3,33,4
3,19,5
3,6,9
3,8,34
3,21,10
3,11,14
3,30,13
3,17,15
3,26,16
3,22,18
3,24,20
3,25,28
3,35,27
3,29,36
3,32,31
3,39,37
4,10,0
4,4,1
4,5,2
4,3,26
4,6,27
4,7,23
4,18,8
4,9,14
4,16,11
4,30,12
4,37,13
4,15,22
4,17,38
4,24,19
4,20,21
4,39,25
4,28,29
4,31,36
4,33,32
4,34,35
5,14,0
5,35,1
5,2,34
5,36,3
5,4,25
5,5,30
5,8,6
5,11,7
5,9,26
5,10,27
5,22,12
5,13,23
5,15,38
5,33,16
5,17,20
5,37,18
5,19,21
5,28,24
5,29,32
5,31,39
6,0,3
6,1,5
6,2,4
6,12,6
6,7,20
6,8,9
6,10,30
6,11,19
6,13,14
6,32,15
6,31,16
6,22,17
6,24,18
6,21,29
6,23,28
6,35,25
6,26,39
6,27,36
6,38,33
6,34,37
7,26,0
7,1,2
7,3,30
7,7,4
7,5,15
7,11,6
7,8,33
7,9,16
7,17,10
7,34,12
7,13,19
7,14,29
7,25,18
7,20,27
7,23,21
7,22,36
7,32,24
7,28,39
7,35,31
7,38,37
8,38,0
8,1,28
8,39,2
8,20,3
8,4,9
8,5,11
8,6,33
8,18,7
8,30,8
8,24,10
8,12,19
8,16,13
8,34,14
8,31,15
8,17,29
8,21,22
8,23,27
8,25,26
8,32,35
8,36,37
9,0,1
9,2,30
9,15,3
9,4,38
9,37,5
9,7,6
9,36,8
9,35,9
9,18,10
9,39,11
9,12,28
9,29,13
9,22,14
9,16,25
9,26,17
9,19,20
9,31,21
9,24,23
9,27,32
9,33,34
10,34,0
10,1,31
10,2,21
10,3,8
10,17,4
10,39,5
10,6,30
10,10,7
10,23,9
10,11,12
10,27,13
10,24,14
10,15,20
10,16,38
10,18,28
10,25,19
10,35,22
10,26,29
10,37,32
10,33,36
11,35,0
11,1,6
11,13,2
11,3,5
11,19,4
11,7,33
11,8,39
11,9,15
11,10,31
11,11,37
11,12,21
11,14,20
11,23,16
11,17,18
11,28,22
11,25,24
11,26,34
11,27,38
11,29,30
11,36,32
12,0,4
12,30,1
12,18,2
12,32,3
12,5,7
12,6,36
12,8,15
12,9,11
12,38,10
12,12,33
12,17,13
12,14,39
12,22,16
12,19,31
12,20,26
12,21,24
12,29,23
12,25,34
12,28,27
12,37,35
13,0,30
13,24,1
13,32,2
13,31,3
13,4,36
13,23,5
13,6,39
13,37,7
13,8,11
13,19,9
13,28,10
13,27,12
13,13,15
13,14,35
13,20,16
13,21,17
13,18,26
13,22,34
13,38,25
13,33,29
14,7,0
14,26,1
14,2,36
14,39,3
14,6,4
14,20,5
14,16,8
14,18,9
14,23,10
14,11,24
14,17,12
14,13,35
14,15,14
14,22,19
14,33,21
14,25,37
14,31,27
14,34,28
14,38,29
14,30,32
15,0,33
15,1,13
15,2,11
15,3,7
15,4,24
15,5,18
15,10,6
15,19,8
15,9,38
15,15,12
15,14,25
15,34,16
15,36,17
15,31,20
15,32,21
15,26,22
15,23,37
15,30,27
15,35,28
15,39,29
16,0,13
16,15,1
16,20,2
16,3,25
16,4,23
16,5,9
16,6,18
16,19,7
16,10,8
16,32,11
16,12,38
16,14,31
16,21,16
16,35,17
16,22,37
16,39,24
16,26,30
16,29,27
16,33,28
16,34,36
17,36,0
17,9,1
17,27,2
17,3,4
17,5,6
17,7,32
17,8,23
17,10,15
17,28,11
17,16,12
17,13,31
17,14,33
17,24,17
17,21,18
17,19,34
17,20,38
17,29,22
17,30,25
17,37,26
17,35,39
18,0,31
18,7,1
18,25,2
18,29,3
18,4,5
18,13,6
18,8,14
18,9,32
18,16,10
18,11,20
18,18,12
18,39,15
18,17,33
18,38,19
18,21,34
18,30,22
18,36,23
18,24,35
18,27,26
18,28,37
19,16,0
19,1,37
19,2,15
19,28,3
19,4,14
19,5,35
19,6,19
19,8,7
19,25,9
19,12,10
19,11,33
19,24,13
19,27,17
19,18,29
19,22,20
19,26,21
19,23,34
19,31,30
19,39,32
19,38,36
