2486,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 291,7231

NrViolations,0
Round,H_team,A_team 
0,9,0
0,1,22
0,19,2
0,25,3
0,29,4
0,5,14
0,12,6
0,33,7
0,27,8
0,10,18
0,37,11
0,13,30
0,15,36
0,23,16
0,21,17
0,20,24
0,38,26
0,32,28
0,35,31
0,34,39
1,25,0
1,1,2
1,20,3
1,11,4
1,5,30
1,27,6
1,37,7
1,32,8
1,9,13
1,10,39
1,12,33
1,31,14
1,15,18
1,16,36
1,28,17
1,19,21
1,35,22
1,29,23
1,38,24
1,34,26
2,4,0
2,20,1
2,17,2
2,24,3
2,32,5
2,6,23
2,34,7
2,25,8
2,9,37
2,28,10
2,11,35
2,16,12
2,13,29
2,27,14
2,15,21
2,18,36
2,19,26
2,22,31
2,30,33
2,39,38
3,0,32
3,4,1
3,2,31
3,3,23
3,11,5
3,6,35
3,7,19
3,8,9
3,17,10
3,39,12
3,13,38
3,14,29
3,26,15
3,21,16
3,18,27
3,30,20
3,22,37
3,24,34
3,33,25
3,36,28
4,0,19
4,23,1
4,2,25
4,3,32
4,13,4
4,37,5
4,6,34
4,7,16
4,8,15
4,21,9
4,12,10
4,24,11
4,18,14
4,17,22
4,35,20
4,26,28
4,38,27
4,33,29
4,31,30
4,36,39
5,0,26
5,1,30
5,10,2
5,3,22
5,7,4
5,5,24
5,33,6
5,8,39
5,9,15
5,11,34
5,12,19
5,36,13
5,14,28
5,16,32
5,29,17
5,38,18
5,23,20
5,37,21
5,31,25
5,35,27
6,20,0
6,31,1
6,14,2
6,9,3
6,22,4
6,5,18
6,6,10
6,15,7
6,34,8
6,11,33
6,12,24
6,37,13
6,16,17
6,19,30
6,28,21
6,23,26
6,25,39
6,27,36
6,32,29
6,38,35
7,0,14
7,5,1
7,2,33
7,39,3
7,4,36
7,6,7
7,35,8
7,25,9
7,20,10
7,13,11
7,30,12
7,15,37
7,16,38
7,26,17
7,18,29
7,34,19
7,27,21
7,22,24
7,32,23
7,28,31
8,0,27
8,1,11
8,2,15
8,3,33
8,4,37
8,29,5
8,8,6
8,7,25
8,18,9
8,10,16
8,22,12
8,26,13
8,14,20
8,17,35
8,39,19
8,21,32
8,30,23
8,24,31
8,28,38
8,36,34
9,7,0
9,1,34
9,2,20
9,3,18
9,4,16
9,26,5
9,39,6
9,8,13
9,31,9
9,10,22
9,36,11
9,17,12
9,14,32
9,19,15
9,21,35
9,23,25
9,24,37
9,33,27
9,29,28
9,30,38
