1217,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 117399,7231

NrViolations,0
Round,H_team,A_team 
0,12,0
0,31,1
0,14,2
0,3,17
0,28,4
0,5,16
0,34,6
0,33,7
0,8,9
0,10,30
0,36,11
0,20,13
0,39,15
0,18,29
0,26,19
0,23,21
0,35,22
0,38,24
0,27,25
0,37,32
1,0,21
1,18,1
1,2,25
1,3,29
1,23,4
1,5,9
1,38,6
1,7,8
1,10,27
1,37,11
1,14,12
1,13,17
1,36,15
1,35,16
1,19,30
1,20,22
1,39,24
1,31,26
1,28,32
1,33,34
2,0,16
2,1,39
2,2,18
2,3,20
2,4,32
2,5,21
2,6,30
2,14,7
2,8,25
2,27,9
2,10,37
2,17,11
2,12,36
2,13,34
2,33,15
2,23,19
2,22,29
2,28,24
2,26,35
2,31,38
3,0,20
3,1,5
3,32,2
3,24,3
3,30,4
3,8,6
3,22,7
3,9,36
3,17,10
3,11,18
3,16,12
3,13,23
3,26,14
3,15,34
3,37,19
3,21,28
3,25,39
3,27,33
3,29,31
3,35,38
4,8,0
4,1,37
4,2,15
4,3,33
4,21,4
4,5,39
4,6,19
4,7,26
4,16,9
4,34,10
4,11,12
4,32,13
4,25,14
4,17,24
4,35,18
4,20,36
4,22,23
4,38,27
4,29,28
4,30,31
5,3,0
5,38,1
5,2,37
5,4,24
5,29,5
5,6,10
5,7,30
5,36,8
5,11,9
5,12,26
5,31,13
5,14,28
5,25,15
5,21,16
5,18,17
5,19,27
5,20,33
5,34,22
5,39,23
5,35,32
6,13,0
6,12,1
6,2,39
6,3,30
6,4,29
6,17,5
6,6,15
6,7,38
6,8,37
6,24,9
6,10,21
6,19,11
6,14,35
6,16,20
6,18,26
6,32,22
6,23,25
6,34,27
6,28,36
6,33,31
7,0,6
7,27,1
7,21,2
7,26,3
7,36,4
7,15,5
7,9,7
7,8,35
7,16,10
7,11,20
7,12,22
7,13,38
7,37,14
7,17,28
7,18,30
7,19,29
7,33,23
7,32,24
7,25,34
7,39,31
8,0,17
8,1,35
8,2,6
8,27,3
8,37,4
8,5,12
8,36,7
8,30,8
