1217,Heuristic,10000000,7230.000000,1,0.005000,500000,40,30
Time,Value 
Final, 168232,7231

NrViolations,0
Round,H_team,A_team 
0,0,6
0,2,1
0,37,3
0,5,4
0,7,11
0,8,32
0,17,9
0,27,10
0,20,12
0,29,13
0,14,19
0,22,15
0,21,16
0,18,23
0,24,34
0,25,33
0,35,26
0,39,28
0,38,30
0,31,36
1,17,0
1,18,1
1,13,2
1,35,3
1,4,24
1,27,5
1,6,7
1,14,8
1,26,9
1,31,10
1,11,21
1,12,32
1,39,15
1,16,19
1,25,20
1,22,34
1,23,37
1,38,28
1,36,29
1,33,30
2,16,0
2,1,35
2,12,2
2,32,3
2,25,4
2,26,5
2,6,19
2,7,24
2,13,8
2,23,9
2,29,10
2,11,22
2,36,14
2,38,15
2,27,17
2,31,18
2,30,20
2,21,34
2,28,37
2,39,33
3,10,0
3,1,17
3,2,35
3,3,22
3,6,4
3,5,7
3,21,8
3,9,27
3,11,12
3,28,13
3,37,14
3,15,24
3,16,20
3,32,18
3,19,23
3,34,25
3,29,26
3,30,39
3,33,31
3,36,38
4,0,27
4,1,3
4,2,6
4,20,4
4,5,35
4,7,17
4,8,36
4,12,9
4,10,32
4,19,11
4,38,13
4,33,14
4,15,25
4,28,16
4,22,18
4,21,23
4,24,29
4,30,26
4,34,31
4,37,39
5,0,29
5,14,1
5,4,2
5,3,27
5,31,5
5,6,25
5,7,36
5,35,8
5,18,9
5,15,10
5,11,32
5,12,30
5,37,13
5,38,16
5,17,28
5,19,26
5,20,21
5,22,24
5,39,23
5,34,33
6,3,0
6,13,1
6,2,29
6,4,37
6,18,5
6,6,32
6,35,7
6,31,8
6,9,19
6,10,30
6,11,36
6,21,12
6,14,15
6,26,16
6,17,34
6,39,20
6,25,22
6,23,28
6,33,24
6,27,38
7,15,0
7,25,1
7,2,37
7,26,3
7,4,19
7,5,30
7,6,13
7,27,7
7,24,8
7,10,9
7,28,11
7,22,12
7,23,14
7,16,35
7,39,17
7,18,34
7,36,20
7,32,21
7,29,31
7,33,38
8,26,0
8,1,4
8,2,39
8,30,3
8,9,5
8,10,6
8,12,7
8,8,28
8,11,35
8,19,13
8,34,14
8,21,15
8,16,37
8,31,17
8,24,18
8,20,27
8,33,22
8,23,36
8,29,25
8,32,38
9,0,28
9,1,11
9,9,2
9,7,3
9,4,22
9,5,39
9,15,6
9,29,8
9,12,10
9,13,35
9,38,14
9,16,27
9,19,17
9,25,18
9,20,23
9,21,30
9,24,36
9,34,26
9,37,31
9,32,33
10,0,22
10,1,37
10,14,2
10,3,23
10,4,38
10,5,28
10,6,34
10,7,39
10,33,8
10,13,9
10,10,16
10,25,11
10,19,12
10,17,15
10,18,27
10,31,20
10,21,36
10,26,24
10,30,29
10,35,32
11,9,0
11,6,1
11,7,2
11,3,38
11,28,4
11,17,5
11,12,8
11,10,37
11,11,16
11,13,34
11,14,24
11,15,23
11,36,18
11,33,19
11,26,20
11,39,21
11,22,32
11,27,25
11,29,35
11,30,31
12,0,13
12,1,38
12,2,34
12,16,3
12,26,4
12,5,11
12,14,6
12,15,7
12,8,27
12,31,9
12,17,10
12,12,33
12,39,18
12,36,19
12,20,22
12,29,21
12,23,35
12,25,24
12,28,32
12,30,37
13,0,8
13,1,5
13,3,2
13,21,4
13,24,6
13,18,7
13,34,9
13,20,10
13,11,33
13,37,12
13,13,39
13,32,14
13,15,35
13,16,17
13,19,22
13,25,23
13,28,26
13,27,29
13,36,30
13,38,31
14,2,0
14,34,1
14,3,17
14,4,31
14,5,33
14,23,6
14,7,21
14,8,39
14,9,22
14,26,10
14,13,11
14,29,12
14,27,14
14,19,15
14,16,18
14,20,28
14,37,24
14,25,38
14,30,32
14,35,36
15,0,5
15,31,1
15,2,30
15,3,12
15,4,16
15,6,21
15,7,20
15,9,8
15,10,25
15,11,17
15,13,14
15,29,15
15,18,28
15,34,19
15,22,39
15,23,26
15,24,38
15,27,32
15,33,36
15,35,37
16,0,7
16,29,1
16,2,20
16,24,3
16,4,30
16,5,21
16,9,6
16,8,10
16,11,38
16,12,35
16,33,13
16,14,25
16,15,16
16,17,26
16,18,37
16,39,19
16,22,23
16,36,27
16,31,28
16,32,34
17,0,14
17,1,7
17,5,2
17,28,3
17,15,4
17,12,6
17,8,26
17,39,9
17,13,10
17,11,37
17,16,30
17,17,20
17,33,18
17,38,19
17,21,25
17,22,27
17,23,31
17,24,35
17,32,29
17,34,36
18,32,0
18,19,1
18,2,16
18,20,3
18,4,11
18,13,5
18,6,8
18,7,22
18,9,14
18,23,10
18,15,12
18,35,17
18,21,18
18,30,24
18,25,31
18,26,27
18,28,33
18,34,29
18,36,39
18,37,38
19,38,0
19,22,1
19,24,2
19,3,36
19,4,34
19,14,5
19,6,16
19,7,30
19,8,11
19,20,9
19,10,39
19,23,12
19,13,15
19,37,17
19,29,18
19,19,32
19,35,21
19,28,25
19,26,31
19,27,33
20,24,0
20,1,23
20,38,2
20,6,3
20,12,4
20,5,32
20,7,28
20,8,22
20,35,9
20,10,14
20,18,11
20,20,13
20,15,27
20,16,34
20,30,17
20,19,29
20,37,21
20,25,36
20,26,33
20,31,39
21,0,23
21,1,32
21,2,22
21,3,14
21,4,27
21,5,10
21,11,6
21,8,7
21,36,9
21,34,12
21,30,13
21,15,28
21,16,29
21,17,25
21,18,20
21,21,19
21,31,24
21,39,26
21,33,37
21,38,35
22,0,4
22,1,27
22,32,2
22,3,31
22,5,8
22,20,6
22,14,7
22,9,15
22,10,22
22,11,23
22,39,12
22,18,13
22,24,16
22,17,21
22,19,25
22,37,26
22,36,28
22,33,29
22,35,30
22,34,38
23,12,0
23,8,1
23,2,11
23,3,15
23,4,18
23,29,5
23,28,6
23,10,7
23,9,33
23,13,17
23,22,14
23,23,16
23,19,20
23,21,31
23,24,32
23,37,25
23,36,26
23,27,30
23,35,34
23,38,39
24,0,11
24,9,1
24,2,15
24,8,3
24,4,10
24,5,38
24,6,18
24,7,33
24,17,12
24,16,13
24,14,20
24,24,19
24,26,21
24,22,31
24,23,30
24,25,35
24,28,27
24,39,29
24,32,36
24,37,34
25,31,0
25,1,20
25,26,2
25,3,18
25,8,4
25,15,5
25,6,33
25,7,38
25,11,9
25,10,24
25,16,12
25,25,13
25,14,35
25,32,17
25,30,19
25,21,22
25,27,23
25,29,28
25,39,34
