154,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 2512,7231

NrViolations,0
Round,H_team,A_team 
0,16,0
0,2,1
0,3,20
0,6,4
0,5,32
0,9,7
0,8,27
0,10,12
0,19,11
0,35,13
0,14,23
0,15,18
0,36,17
0,21,39
0,34,22
0,38,24
0,29,25
0,28,26
0,31,30
0,37,33
1,36,0
1,1,8
1,2,3
1,18,4
1,24,5
1,7,6
1,9,12
1,10,32
1,11,27
1,38,13
1,14,16
1,15,29
1,20,17
1,25,19
1,21,23
1,33,22
1,30,26
1,37,28
1,31,39
1,35,34
2,0,6
2,1,19
2,16,2
2,3,7
2,33,4
2,25,5
2,26,8
2,9,11
2,30,10
2,17,12
2,36,13
2,14,27
2,15,21
2,18,29
2,34,20
2,22,23
2,24,37
2,35,28
2,32,31
2,39,38
3,0,3
3,4,1
3,18,2
3,5,9
3,6,28
3,7,33
3,22,8
3,31,10
3,39,11
3,12,29
3,13,14
3,17,15
3,16,36
3,19,37
3,38,20
3,21,30
3,23,24
3,26,25
3,27,35
3,34,32
4,12,0
4,25,1
4,8,2
4,3,36
4,4,22
4,5,33
4,6,9
4,7,21
4,39,10
4,11,38
4,13,26
4,24,14
4,16,15
4,19,17
4,20,18
4,23,37
4,28,27
4,29,31
4,34,30
4,32,35
5,25,0
5,31,1
5,2,22
5,3,13
5,4,32
5,5,21
5,24,6
5,7,38
5,8,20
5,10,9
5,15,11
5,12,23
5,35,14
5,19,16
5,30,17
5,18,26
5,27,39
5,28,33
5,29,36
5,37,34
6,13,0
6,1,5
6,31,2
6,3,4
6,26,6
6,14,7
6,8,38
6,9,23
6,10,15
6,11,12
6,35,16
6,33,17
6,30,18
6,27,19
6,20,39
6,21,28
6,22,32
6,24,25
6,29,37
6,36,34
7,0,5
7,1,15
7,33,2
7,10,3
7,4,8
7,32,6
7,17,7
7,14,9
7,11,24
7,12,13
7,27,16
7,34,18
7,22,19
7,21,20
7,23,28
7,25,31
7,26,29
7,30,37
7,38,35
7,36,39
8,0,1
8,2,5
8,17,3
8,4,24
8,6,15
8,22,7
8,8,31
8,13,9
8,23,10
8,11,30
8,12,14
8,16,21
8,32,18
8,19,34
8,20,26
8,28,25
8,29,27
8,33,36
8,39,35
8,37,38
9,0,31
9,1,34
9,2,24
9,6,3
9,5,4
9,7,11
9,9,8
9,26,10
9,27,12
9,13,21
9,15,14
9,17,16
9,18,19
9,20,30
9,39,22
9,23,25
9,28,29
9,32,33
9,37,35
9,38,36
