42,Heuristic,10000000,7230.000000,1,0.005000,500000,32,8
Time,Value 
Final, 140231,7234

NrViolations,0
Round,H_team,A_team 
0,16,0
0,30,1
0,2,23
0,3,11
0,17,4
0,10,5
0,18,6
0,7,22
0,8,29
0,9,26
0,15,12
0,14,13
0,24,19
0,21,20
0,25,27
0,31,28
1,0,8
1,1,25
1,2,15
1,3,16
1,31,4
1,5,22
1,6,11
1,21,7
1,9,17
1,28,10
1,12,29
1,30,13
1,23,14
1,27,18
1,26,19
1,20,24
2,0,4
2,6,1
2,2,3
2,5,8
2,14,7
2,25,9
2,10,19
2,11,30
2,23,12
2,13,29
2,18,15
2,16,26
2,17,27
2,28,20
2,31,21
2,22,24
3,0,23
3,19,1
3,28,2
3,20,3
3,4,24
3,6,5
3,29,7
3,8,26
3,9,10
3,14,11
3,18,12
3,13,17
3,15,21
3,16,22
3,25,31
3,27,30
4,7,0
4,9,1
4,12,2
4,29,3
4,20,4
4,18,5
4,19,6
4,21,8
4,27,10
4,17,11
4,13,15
4,14,28
4,16,23
4,22,25
4,24,31
4,26,30
5,1,0
5,30,2
5,3,5
5,4,9
5,17,6
5,7,25
5,10,8
5,11,16
5,12,21
5,27,13
5,20,14
5,15,29
5,19,18
5,23,22
5,24,28
5,26,31
6,3,0
6,1,27
6,2,19
6,4,16
6,5,9
6,29,6
6,7,28
6,8,20
6,10,25
6,11,13
6,12,17
6,22,14
6,15,23
6,21,18
6,26,24
6,31,30
7,0,2
7,1,26
7,19,3
7,4,12
7,5,16
7,6,7
7,8,14
7,24,9
7,29,10
7,11,27
7,13,31
7,28,15
7,30,17
7,23,18
7,22,20
7,25,21
