42,Heuristic,10000000,7230.000000,1,0.005000,500000,16,12
Time,Value 
Final, 130992,7231

NrViolations,0
Round,H_team,A_team 
0,12,0
0,14,1
0,6,2
0,3,5
0,4,13
0,8,7
0,9,11
0,15,10
1,13,0
1,12,1
1,2,4
1,3,11
1,5,6
1,7,10
1,9,8
1,14,15
2,15,0
2,1,4
2,7,2
2,3,9
2,5,8
2,6,10
2,11,14
2,13,12
3,0,4
3,1,9
3,8,2
3,15,3
3,14,5
3,6,7
3,10,13
3,11,12
4,0,2
4,1,13
4,7,3
4,4,9
4,15,5
4,14,6
4,8,11
4,10,12
5,10,0
5,8,1
5,2,13
5,4,3
5,7,5
5,12,6
5,9,14
5,11,15
6,0,1
6,3,2
6,7,4
6,5,10
6,11,6
6,13,8
6,9,15
6,12,14
7,0,7
7,6,1
7,2,9
7,3,10
7,11,4
7,5,12
7,14,8
7,13,15
8,9,0
8,1,10
8,2,12
8,6,3
8,4,5
8,7,11
8,15,8
8,14,13
9,8,0
9,1,2
9,13,3
9,4,12
9,5,11
9,6,15
9,9,7
9,10,14
10,0,6
10,1,15
10,2,11
10,12,3
10,4,14
10,5,9
10,13,7
10,10,8
11,0,5
11,3,1
11,2,14
11,10,4
11,8,6
11,15,7
11,12,9
11,11,13
