5003,Heuristic,100000,7230,10000,100000,24,18
Time,Value 
7230,184653
7200,184653
7170,184653
7140,184653
7110,184653
7080,184653
7050,184653
7020,184653
6990,184653
6960,184653
6930,184653
6900,184653
6870,184653
6840,184653
6810,184653
6780,184653
6750,184653
6720,184653
6690,184653
6660,184653
6630,184653
6600,184653
6570,184653
6540,184653
6510,184653
6480,184653
6450,184653
6420,184653
6390,184653
6360,184653
6330,184653
6300,184653
6270,184653
6240,184653
6210,184653
6180,184653
6150,184653
6120,184653
6090,184653
6060,184653
6030,184653
6000,184653
5970,184653
5940,184653
5910,184653
5880,184653
5850,184653
5820,184653
5790,184653
5760,184653
5730,184653
5700,184653
5670,184653
5640,184653
5610,184653
5580,184653
5550,184653
5520,184653
5490,184653
5460,184653
5430,184653
5400,184653
5370,184653
5340,184653
5310,184653
5280,184653
5250,184653
5220,184653
5190,184653
5160,184653
5130,184653
5100,184653
5070,184653
5040,184653
5010,184653
4980,184653
4950,184653
4920,184653
4890,184653
4860,184653
4830,184653
4800,184653
4770,184653
4740,184653
4710,184653
4680,184653
4650,184653
4620,184653
4590,184653
4560,184653
4530,184653
4500,184653
4470,184653
4440,184653
4410,184653
4380,184653
4350,184653
4320,184653
4290,184653
4260,184653
4230,184653
4200,184653
4170,184653
4140,184653
4110,184653
4080,184653
4050,184653
4020,184653
3990,184860
3960,184860
3930,184860
3900,184860
3870,184860
3840,184860
3810,184860
1740,185851
1710,185851
1680,185851
1650,185851
1620,185851
1590,185851
1560,185851
1530,185851
1500,185851
1470,185851
1440,185851
1410,185851
1380,185851
1350,185851
1320,185851
1290,185851
1260,185851
1230,185851
1200,185851
1170,185851
1140,185851
1110,185851
1080,185851
1050,185851
1020,185851
990,185851
960,186854
930,187502
900,187933
870,189748
360,189803
330,189803
300,189803
270,189826
240,192168
210,192168
180,192168
150,192243
120,195363
90,197674
60,200285
30,206922
0,235147
390,189803
420,189803
450,189803
480,189803
510,189803
540,189803
570,189803
600,189803
630,189803
660,189803
690,189803
720,189803
750,189803
780,189803
810,189803
840,189803
1770,185851
1800,185851
1830,185851
1860,185851
1890,185851
1920,185851
1950,185851
1980,185851
2010,185851
2040,185851
2070,185851
2100,185448
2130,184860
2160,184860
2190,184860
2220,184860
2250,184860
2280,184860
2310,184860
2340,184860
2370,184860
2400,184860
2430,184860
2460,184860
2490,184860
2520,184860
2550,184860
2580,184860
2610,184860
2640,184860
2670,184860
2700,184860
2730,184860
2760,184860
2790,184860
2820,184860
2850,184860
2880,184860
2910,184860
2940,184860
2970,184860
3000,184860
3030,184860
3060,184860
3090,184860
3120,184860
3150,184860
3180,184860
3210,184860
3240,184860
3270,184860
3300,184860
3330,184860
3360,184860
3390,184860
3420,184860
3450,184860
3480,184860
3510,184860
3540,184860
3570,184860
3600,184860
3630,184860
3660,184860
3690,184860
3720,184860
3750,184860
3780,184860
Final, 184653,7231

NrViolations,0
Round,H_team,A_team 
0,0,21
0,1,18
0,2,10
0,8,3
0,4,7
0,5,13
0,11,6
0,22,9
0,15,12
0,14,17
0,16,19
0,23,20
1,0,22
1,1,7
1,2,20
1,9,3
1,16,4
1,5,18
1,6,21
1,11,8
1,23,10
1,12,17
1,14,13
1,15,19
2,0,20
2,19,1
2,23,2
2,3,11
2,4,8
2,5,16
2,6,22
2,7,18
2,10,9
2,12,13
2,21,14
2,15,17
3,17,0
3,3,1
3,2,12
3,4,5
3,7,6
3,16,8
3,18,9
3,10,21
3,20,11
3,13,15
3,19,14
3,22,23
4,19,0
4,1,5
4,2,9
4,17,3
4,4,6
4,7,15
4,8,23
4,10,12
4,13,11
4,20,14
4,16,22
4,18,21
5,3,0
5,1,22
5,2,7
5,14,4
5,5,15
5,16,6
5,8,17
5,9,23
5,20,10
5,11,21
5,18,12
5,13,19
6,0,13
6,15,1
6,21,2
6,3,10
6,12,4
6,8,5
6,6,18
6,23,7
6,9,17
6,11,22
6,14,16
6,19,20
7,23,0
7,14,1
7,17,2
7,3,18
7,15,4
7,9,5
7,6,13
7,11,7
7,20,8
7,22,10
7,12,16
7,21,19
8,10,0
8,12,1
8,19,2
8,13,3
8,4,11
8,22,5
8,6,20
8,7,21
8,8,9
8,23,14
8,15,16
8,17,18
9,18,0
9,1,23
9,2,8
9,3,20
9,4,13
9,5,12
9,17,6
9,7,19
9,9,15
9,10,14
9,16,11
9,21,22
10,0,15
10,1,11
10,16,2
10,3,4
10,5,19
10,6,9
10,12,7
10,10,8
10,13,23
10,18,14
10,21,17
10,20,22
11,0,9
11,1,2
11,3,22
11,19,4
11,7,5
11,6,15
11,18,8
11,11,10
11,14,12
11,13,16
11,20,17
11,21,23
12,5,0
12,9,1
12,22,2
12,12,3
12,4,21
12,23,6
12,7,10
12,8,19
12,11,18
12,20,13
12,15,14
12,17,16
13,12,0
13,17,1
13,2,6
13,14,3
13,4,20
13,5,10
13,8,7
13,9,16
13,15,11
13,13,21
13,23,18
13,22,19
14,14,0
14,13,1
14,2,18
14,15,3
14,23,4
14,21,5
14,10,6
14,9,7
14,8,22
14,12,11
14,16,20
14,17,19
15,0,2
15,1,20
15,3,5
15,10,4
15,6,8
15,22,7
15,21,9
15,14,11
15,19,12
15,13,17
15,18,15
15,16,23
16,0,8
16,1,16
16,11,2
16,21,3
16,18,4
16,20,5
16,6,12
16,7,14
16,19,9
16,10,15
16,22,13
16,17,23
17,0,6
17,4,1
17,2,15
17,19,3
17,5,14
17,7,16
17,8,12
17,9,13
17,18,10
17,11,23
17,22,17
17,20,21
