1217,Heuristic,100000,7230,500,100000,40,30
Time,Value 
7230,4732
7200,4732
7170,4732
7140,4734
7110,4736
7080,4736
7050,4738
7020,4740
6990,4742
6960,4742
6930,4742
6900,4748
6870,4748
6840,4750
6810,4758
6780,4758
6750,4760
6720,4762
6690,4762
6660,4768
6630,4770
6600,4770
6570,4770
6540,4770
6510,4774
6480,4774
6450,4776
6420,4776
6390,4776
6360,4776
6330,4776
6300,4776
6270,4776
6240,4776
6210,4776
6180,4776
6150,4776
6120,4776
6090,4776
6060,4776
6030,4776
6000,4776
5970,4776
5940,4776
5910,4776
5880,4776
5850,4776
5820,4776
5790,4776
5760,4776
5730,4776
5700,4776
5670,4776
5640,4776
5610,4776
5580,4776
5550,4776
5520,4776
5490,4776
5460,4776
5430,4776
5400,4776
5370,4776
5340,4776
5310,4776
5280,4776
5250,4776
5220,4776
5190,4776
5160,4776
5130,4776
5100,4776
5070,4776
5040,4776
5010,4776
4980,4776
4950,4776
4920,4776
4890,4776
4860,4776
4830,4776
4800,4776
4770,4776
4740,4776
4710,4776
4680,4776
4650,4776
4620,4776
4590,4776
4560,4776
4530,4776
4500,4776
4470,4776
4440,4776
4410,4776
4380,4776
4350,4776
4320,4776
4290,4776
4260,4776
4230,4776
4200,4776
4170,4776
4140,4776
4110,4776
4080,4776
4050,4776
4020,4776
3990,4776
3960,4776
3930,4776
3900,4776
3870,4778
3840,4780
3810,4780
1740,4838
1710,4848
1680,4860
1650,4872
1620,4874
1590,4884
1560,4884
1530,4884
1500,4884
1470,4884
1440,4884
1410,4884
1380,4884
1350,4884
1320,4884
1290,4884
1260,4884
1230,4884
1200,4884
1170,4884
1140,4884
1110,4884
1080,4884
1050,4884
1020,4884
990,4884
960,4884
930,4884
900,4884
870,4884
360,5006
330,5030
300,5114
270,5170
240,5170
210,5170
180,5170
150,5228
120,5354
90,5386
60,5440
30,5758
0,6520
390,5000
420,5000
450,5000
480,5000
510,5000
540,5000
570,5000
600,5000
630,5000
660,4976
690,4954
720,4930
750,4908
780,4894
810,4884
840,4884
1770,4826
1800,4818
1830,4804
1860,4796
1890,4788
1920,4784
1950,4780
1980,4780
2010,4780
2040,4780
2070,4780
2100,4780
2130,4780
2160,4780
2190,4780
2220,4780
2250,4780
2280,4780
2310,4780
2340,4780
2370,4780
2400,4780
2430,4780
2460,4780
2490,4780
2520,4780
2550,4780
2580,4780
2610,4780
2640,4780
2670,4780
2700,4780
2730,4780
2760,4780
2790,4780
2820,4780
2850,4780
2880,4780
2910,4780
2940,4780
2970,4780
3000,4780
3030,4780
3060,4780
3090,4780
3120,4780
3150,4780
3180,4780
3210,4780
3240,4780
3270,4780
3300,4780
3330,4780
3360,4780
3390,4780
3420,4780
3450,4780
3480,4780
3510,4780
3540,4780
3570,4780
3600,4780
3630,4780
3660,4780
3690,4780
3720,4780
3750,4780
