154,Heuristic,100000,7230,1,100000,40,10
Time,Value 
7230,282
7200,282
7170,282
7140,282
7110,282
7080,282
7050,282
7020,282
6990,282
6960,282
6930,282
6900,282
6870,282
6840,282
6810,282
6780,282
6750,282
6720,282
6690,282
6660,282
6630,282
6600,282
6570,282
6540,282
6510,282
6480,282
6450,282
6420,282
6390,282
6360,282
6330,282
6300,282
6270,282
6240,282
6210,282
6180,282
6150,282
6120,282
6090,282
6060,282
6030,282
6000,282
5970,282
5940,282
5910,282
5880,282
5850,282
5820,282
5790,282
5760,282
5730,282
5700,282
5670,282
5640,282
5610,282
5580,282
5550,282
5520,282
5490,282
5460,282
5430,282
5400,282
5370,282
5340,282
5310,282
5280,282
5250,282
5220,282
5190,282
5160,282
5130,282
5100,282
5070,282
5040,282
5010,282
4980,282
4950,282
4920,282
4890,282
4860,282
4830,282
4800,282
4770,282
4740,282
4710,282
4680,282
4650,282
4620,282
4590,282
4560,282
4530,282
4500,282
4470,282
4440,282
4410,282
4380,282
4350,282
4320,282
4290,282
4260,282
4230,282
4200,282
4170,282
4140,282
4110,282
4080,282
4050,282
4020,282
3990,282
3960,282
3930,282
3900,282
3870,282
3840,282
3810,282
1740,282
1710,282
1680,282
1650,282
1620,282
1590,282
1560,282
1530,282
1500,282
1470,282
1440,282
1410,282
1380,282
1350,282
1320,282
1290,282
1260,282
1230,282
1200,282
1170,282
1140,282
1110,282
1080,282
1050,282
1020,282
990,282
960,282
930,282
900,282
870,282
360,283
330,283
300,283
270,283
240,283
210,283
180,283
150,283
120,283
90,283
60,283
30,283
0,294
390,283
420,283
450,283
480,282
510,282
540,282
570,282
600,282
630,282
660,282
690,282
720,282
750,282
780,282
810,282
840,282
1770,282
1800,282
1830,282
1860,282
1890,282
1920,282
1950,282
1980,282
2010,282
2040,282
2070,282
2100,282
2130,282
2160,282
2190,282
2220,282
2250,282
2280,282
2310,282
2340,282
2370,282
2400,282
2430,282
2460,282
2490,282
2520,282
2550,282
2580,282
2610,282
2640,282
2670,282
2700,282
2730,282
2760,282
2790,282
2820,282
2850,282
2880,282
2910,282
2940,282
2970,282
3000,282
3030,282
3060,282
3090,282
3120,282
3150,282
3180,282
3210,282
3240,282
3270,282
3300,282
3330,282
3360,282
3390,282
3420,282
3450,282
3480,282
3510,282
3540,282
3570,282
3600,282
3630,282
3660,282
3690,282
3720,282
3750,282
3780,282
Final, 282,7231

NrViolations,0
Round,H_team,A_team 
0,22,0
0,1,14
0,2,36
0,8,3
0,30,4
0,5,31
0,29,6
0,15,7
0,38,9
0,10,19
0,34,11
0,37,12
0,13,21
0,20,16
0,17,28
0,35,18
0,27,23
0,24,33
0,26,25
0,32,39
1,17,0
1,1,31
1,2,23
1,5,3
1,27,4
1,24,6
1,26,7
1,8,21
1,15,9
1,10,11
1,20,12
1,13,25
1,32,14
1,30,16
1,22,18
1,35,19
1,38,28
1,29,33
1,34,39
1,37,36
2,13,0
2,1,20
2,8,2
2,3,36
2,35,4
2,5,17
2,6,23
2,10,7
2,37,9
2,11,16
2,12,15
2,18,14
2,19,33
2,21,29
2,31,22
2,28,24
2,39,25
2,26,27
2,34,30
2,38,32
3,0,35
3,6,1
3,19,2
3,3,37
3,4,29
3,16,5
3,7,13
3,39,8
3,9,34
3,33,10
3,11,20
3,12,26
3,14,27
3,28,15
3,36,17
3,18,32
3,21,30
3,25,22
3,23,24
3,31,38
4,0,10
4,18,1
4,16,2
4,25,3
4,4,38
4,21,5
4,39,6
4,7,35
4,9,8
4,11,30
4,12,27
4,15,13
4,14,19
4,24,17
4,20,37
4,23,22
4,32,26
4,36,28
4,29,31
4,33,34
5,34,0
5,1,28
5,2,14
5,23,3
5,33,4
5,30,5
5,32,6
5,37,7
5,35,8
5,16,9
5,25,10
5,24,11
5,38,12
5,13,39
5,15,26
5,17,18
5,22,19
5,20,21
5,27,31
5,29,36
6,30,0
6,1,12
6,2,28
6,3,16
6,4,23
6,5,19
6,13,6
6,27,7
6,8,33
6,26,9
6,10,18
6,17,11
6,29,14
6,38,15
6,20,36
6,34,21
6,22,24
6,37,25
6,32,31
6,35,39
7,0,25
7,3,1
7,2,20
7,4,11
7,5,24
7,6,21
7,7,16
7,8,38
7,9,12
7,10,34
7,17,13
7,14,15
7,28,18
7,19,37
7,22,33
7,26,23
7,27,32
7,30,29
7,31,39
7,36,35
8,0,26
8,7,1
8,25,2
8,3,35
8,4,37
8,28,5
8,6,20
8,11,8
8,9,17
8,21,10
8,12,30
8,18,13
8,14,24
8,39,15
8,16,32
8,19,38
8,36,22
8,23,29
8,33,27
8,31,34
9,0,1
9,39,2
9,7,3
9,12,4
9,15,5
9,6,17
9,16,8
9,9,13
9,36,10
9,11,29
9,14,26
9,18,27
9,19,20
9,21,22
9,23,32
9,24,35
9,25,34
9,28,37
9,31,30
9,33,38
