154,Heuristic,100000,7230,500,100000,40,20
Time,Value 
7230,58474
7200,58474
7170,58474
7140,58474
7110,58474
7080,58474
7050,58474
7020,58474
6990,58474
6960,58474
6930,58474
6900,58474
6870,58474
6840,58474
6810,58474
6780,58474
6750,58474
6720,58474
6690,58474
6660,58474
6630,58474
6600,58474
6570,58474
6540,58474
6510,58474
6480,58474
6450,58474
6420,58474
6390,58474
6360,58474
6330,58474
6300,58474
6270,58474
6240,58474
6210,58474
6180,58474
6150,58474
6120,58474
6090,58474
6060,58474
6030,58474
6000,58474
5970,58474
5940,58474
5910,58474
5880,58474
5850,58474
5820,58474
5790,58474
5760,58474
5730,58474
5700,58474
5670,58474
5640,58474
5610,58474
5580,58474
5550,58474
5520,58474
5490,58474
5460,58474
5430,58474
5400,58474
5370,58474
5340,58474
5310,58474
5280,58474
5250,58474
5220,58474
5190,58474
5160,58480
5130,58480
5100,58480
5070,58480
5040,58483
5010,58483
4980,58483
4950,58491
4920,58491
4890,58491
4860,58491
4830,58491
4800,58491
4770,58491
4740,58491
4710,58491
4680,58533
4650,58533
4620,58533
4590,58544
4560,58549
4530,58551
4500,58551
4470,58569
4440,58591
4410,58609
4380,58621
4350,58621
4320,58651
4290,58671
4260,58675
4230,58675
4200,58675
4170,58728
4140,58778
4110,58798
4080,58851
4050,58867
4020,58867
3990,58922
3960,58922
3930,58922
3900,58922
3870,58922
3840,58922
3810,58922
1740,59697
1710,59697
1680,59697
1650,59697
1620,59697
1590,59697
1560,59697
1530,59697
1500,59697
1470,59697
1440,59697
1410,59697
1380,59697
1350,59697
1320,59697
1290,59697
1260,59697
1230,59697
1200,59697
1170,59705
1140,59705
1110,59725
1080,59737
1050,59801
1020,59839
990,59973
960,60080
930,60217
900,60265
870,60447
360,61400
330,61812
300,61991
270,61991
240,61991
210,61991
180,62009
150,62166
120,62969
90,63781
60,64789
30,65331
0,70653
390,61286
420,61213
450,61165
480,61096
510,61075
540,61016
570,60996
600,60996
630,60996
660,60996
690,60996
720,60996
750,60996
780,60996
810,60884
840,60669
1770,59697
1800,59697
1830,59697
1860,59697
1890,59697
1920,59674
1950,59538
1980,59497
2010,59409
2040,59330
2070,59261
2100,59189
2130,59142
2160,59078
2190,59078
2220,59042
2250,59042
2280,59000
2310,58976
2340,58945
2370,58933
2400,58931
2430,58931
2460,58922
2490,58922
2520,58922
2550,58922
2580,58922
2610,58922
2640,58922
2670,58922
2700,58922
2730,58922
2760,58922
2790,58922
2820,58922
2850,58922
2880,58922
2910,58922
2940,58922
2970,58922
3000,58922
3030,58922
3060,58922
3090,58922
3120,58922
3150,58922
3180,58922
3210,58922
3240,58922
3270,58922
3300,58922
3330,58922
3360,58922
3390,58922
3420,58922
3450,58922
3480,58922
3510,58922
3540,58922
3570,58922
3600,58922
3630,58922
3660,58922
3690,58922
3720,58922
3750,58922
3780,58922
Final, 58474,7231

NrViolations,0
Round,H_team,A_team 
0,25,0
0,2,1
0,3,32
0,28,4
0,38,5
0,8,6
0,7,18
0,22,9
0,10,39
0,15,11
0,29,12
0,35,13
0,24,14
0,16,19
0,34,17
0,20,21
0,37,23
0,26,30
0,27,31
0,36,33
1,24,0
1,1,6
1,2,22
1,3,18
1,10,4
1,35,5
1,7,32
1,19,8
1,20,9
1,11,39
1,12,15
1,38,13
1,29,14
1,21,16
1,25,17
1,28,23
1,26,27
1,31,30
1,37,33
1,36,34
2,29,0
2,1,22
2,2,9
2,25,3
2,11,4
2,32,5
2,6,18
2,31,7
2,10,8
2,14,12
2,23,13
2,21,15
2,16,20
2,24,17
2,19,36
2,26,35
2,27,30
2,28,33
2,39,34
2,37,38
3,0,22
3,1,11
3,17,2
3,6,3
3,4,24
3,5,8
3,27,7
3,9,12
3,23,10
3,13,26
3,14,25
3,16,15
3,18,21
3,19,20
3,32,28
3,30,29
3,31,35
3,33,34
3,36,37
3,39,38
4,0,11
4,7,1
4,2,12
4,4,3
4,5,20
4,6,23
4,8,24
4,9,25
4,13,10
4,14,21
4,15,26
4,37,16
4,30,17
4,29,18
4,32,19
4,22,31
4,27,35
4,34,28
4,33,38
4,36,39
5,0,2
5,3,1
5,4,25
5,5,6
5,7,26
5,8,30
5,9,21
5,15,10
5,11,32
5,12,31
5,13,27
5,22,14
5,36,16
5,29,17
5,24,18
5,35,19
5,20,33
5,34,23
5,38,28
5,37,39
6,7,0
6,1,5
6,3,2
6,8,4
6,6,30
6,18,9
6,10,32
6,26,11
6,12,37
6,28,13
6,20,14
6,15,27
6,39,16
6,17,31
6,23,19
6,21,36
6,22,33
6,29,24
6,25,34
6,38,35
7,0,15
7,12,1
7,2,14
7,3,7
7,19,4
7,10,5
7,25,6
7,28,8
7,9,37
7,31,11
7,39,13
7,16,32
7,17,36
7,18,22
7,20,27
7,21,33
7,35,23
7,24,30
7,26,29
7,34,38
8,0,20
8,1,15
8,2,7
8,14,3
8,5,4
8,24,6
8,16,8
8,9,26
8,10,12
8,27,11
8,21,13
8,18,17
8,33,19
8,22,37
8,32,23
8,25,38
8,28,39
8,31,29
8,30,36
8,34,35
9,0,1
9,2,20
9,9,3
9,4,7
9,5,15
9,6,35
9,8,26
9,11,10
9,33,12
9,13,22
9,17,14
9,16,18
9,39,19
9,30,21
9,38,23
9,31,24
9,36,25
9,27,29
9,37,28
9,34,32
10,17,0
10,1,20
10,36,2
10,3,35
10,4,26
10,5,9
10,6,34
10,7,22
10,8,18
10,10,16
10,23,11
10,28,12
10,13,31
10,14,30
10,15,33
10,37,19
10,29,21
10,27,24
10,39,25
10,38,32
11,12,0
11,1,9
11,39,2
11,3,22
11,4,18
11,28,5
11,6,27
11,7,29
11,8,34
11,19,10
11,11,33
11,13,30
11,14,31
11,20,15
11,23,16
11,17,21
11,26,24
11,37,25
11,35,32
11,38,36
12,0,8
12,26,1
12,33,2
12,3,29
12,9,4
12,23,5
12,19,6
12,7,38
12,28,10
12,11,16
12,12,17
12,15,13
12,35,14
12,18,31
12,20,39
12,21,37
12,22,30
12,24,34
12,25,27
12,32,36
13,19,0
13,31,1
13,2,8
13,26,3
13,12,4
13,11,5
13,16,6
13,13,7
13,24,9
13,33,10
13,32,14
13,15,23
13,17,37
13,18,38
13,22,20
13,21,28
13,25,29
13,34,27
13,30,39
13,35,36
14,16,0
14,27,1
14,2,4
14,31,3
14,5,19
14,6,38
14,10,7
14,8,17
14,29,9
14,13,11
14,18,12
14,34,14
14,36,15
14,20,23
14,21,39
14,22,28
14,25,24
14,32,26
14,30,37
14,33,35
15,0,18
15,1,21
15,10,2
15,27,3
15,4,17
15,5,33
15,6,32
15,7,11
15,8,25
15,30,9
15,12,13
15,14,16
15,37,15
15,24,19
15,20,28
15,29,22
15,23,36
15,38,26
15,34,31
15,39,35
16,0,21
16,1,17
16,11,2
16,3,33
16,6,4
16,7,5
16,37,8
16,9,16
16,10,36
16,12,20
16,14,13
16,39,15
16,18,30
16,25,19
16,24,22
16,23,26
16,27,32
16,28,35
16,29,34
16,38,31
17,0,10
17,1,29
17,2,21
17,3,5
17,4,16
17,9,6
17,15,7
17,39,8
17,11,36
17,12,22
17,18,13
17,14,27
17,17,20
17,19,28
17,33,23
17,38,24
17,26,25
17,30,34
17,32,31
17,35,37
18,5,0
18,4,1
18,13,2
18,15,3
18,17,6
18,33,7
18,36,8
18,9,14
18,22,10
18,11,29
18,21,12
18,16,28
18,18,27
18,19,38
18,30,20
18,23,39
18,35,24
18,31,25
18,26,34
18,32,37
19,4,0
19,8,1
19,15,2
19,13,3
19,5,29
19,21,6
19,23,7
19,17,9
19,20,10
19,19,11
19,30,12
19,14,18
19,16,38
19,22,27
19,32,24
19,35,25
19,31,26
19,36,28
19,33,39
19,34,37
