588,Heuristic,100000,7230,1000,100000,40,10
Time,Value 
7230,15726
7200,15726
7170,15726
7140,15726
7110,15726
7080,15726
7050,15726
7020,15726
6990,15726
6960,15726
6930,15726
6900,15726
6870,15726
6840,15726
6810,15726
6780,15726
6750,15726
6720,15726
6690,15726
6660,15726
6630,15726
6600,15726
6570,15726
6540,15726
6510,15726
6480,15726
6450,15726
6420,15726
6390,15726
6360,15726
6330,15726
6300,15726
6270,15726
6240,15726
6210,15726
6180,15726
6150,15726
6120,15726
6090,15726
6060,15726
6030,15726
6000,15726
5970,15726
5940,15726
5910,15726
5880,15726
5850,15726
5820,15726
5790,15726
5760,15726
5730,15726
5700,15726
5670,15726
5640,15726
5610,15726
5580,15726
5550,15726
5520,15726
5490,15726
5460,15726
5430,15726
5400,15726
5370,15726
5340,15726
5310,15726
5280,15726
5250,15726
5220,15726
5190,15726
5160,15726
5130,15726
5100,15726
5070,15726
5040,15726
5010,15726
4980,15726
4950,15726
4920,15726
4890,15726
4860,15726
4830,15726
4800,15726
4770,15726
4740,15726
4710,15726
4680,15726
4650,15726
4620,15726
4590,15726
4560,15726
4530,15726
4500,15726
4470,15726
4440,15726
4410,15726
4380,15726
4350,15726
4320,15726
4290,15726
4260,15726
4230,15726
4200,15726
4170,15776
4140,15776
4110,15776
4080,15782
4050,15796
4020,15796
3990,15796
3960,15796
3930,15808
3900,15808
3870,15808
3840,15808
3810,15808
1740,16052
1710,16052
1680,16070
1650,16072
1620,16082
1590,16082
1560,16082
1530,16142
1500,16154
1470,16154
1440,16180
1410,16182
1380,16182
1350,16200
1320,16224
1290,16286
1260,16286
1230,16286
1200,16286
1170,16286
1140,16286
1110,16286
1080,16286
1050,16286
1020,16286
990,16286
960,16286
930,16286
900,16286
870,16286
360,16412
330,16412
300,16412
270,16412
240,16412
210,16412
180,16412
150,16412
120,16412
90,16452
60,16702
30,17628
0,19074
390,16412
420,16412
450,16412
480,16412
510,16392
540,16304
570,16286
600,16286
630,16286
660,16286
690,16286
720,16286
750,16286
780,16286
810,16286
840,16286
1770,16052
1800,16032
1830,15990
1860,15984
1890,15984
1920,15984
1950,15984
1980,15984
2010,15984
2040,15984
2070,15984
2100,15984
2130,15984
2160,15984
2190,15984
2220,15984
2250,15984
2280,15984
2310,15984
2340,15984
2370,15984
2400,15984
2430,15984
2460,15984
2490,15984
2520,15984
2550,15984
2580,15984
2610,15984
2640,15984
2670,15984
2700,15984
2730,15984
2760,15984
2790,15984
2820,15984
2850,15984
2880,15984
2910,15984
2940,15984
2970,15984
3000,15984
3030,15984
3060,15984
3090,15984
3120,15984
3150,15984
3180,15984
3210,15984
3240,15984
3270,15984
3300,15984
3330,15984
3360,15984
3390,15984
3420,15966
3450,15960
3480,15960
3510,15932
3540,15928
3570,15928
3600,15908
3630,15908
3660,15860
3690,15860
3720,15860
3750,15860
3780,15848
Final, 15726,7231

NrViolations,0
Round,H_team,A_team 
0,0,2
0,1,4
0,6,3
0,7,5
0,8,10
0,11,9
0,15,12
0,14,13
0,16,17
0,18,22
0,21,19
0,20,26
0,23,24
0,27,25
0,28,29
0,30,34
0,31,36
0,32,33
0,37,35
0,39,38
1,0,6
1,2,1
1,7,3
1,4,8
1,10,5
1,13,9
1,11,15
1,14,12
1,16,22
1,17,18
1,20,19
1,21,26
1,27,23
1,24,25
1,28,36
1,29,33
1,31,30
1,32,34
1,38,35
1,39,37
2,7,0
2,1,6
2,2,4
2,3,8
2,9,5
2,10,15
2,13,11
2,12,16
2,17,14
2,18,20
2,19,22
2,25,21
2,28,23
2,24,26
2,33,27
2,29,36
2,30,32
2,34,31
2,39,35
2,38,37
3,9,0
3,1,3
3,2,6
3,4,7
3,5,8
3,13,10
3,12,11
3,14,16
3,15,17
3,19,18
3,22,20
3,21,24
3,26,23
3,25,28
3,34,27
3,29,32
3,30,39
3,35,31
3,33,38
3,36,37
4,8,0
4,1,7
4,5,2
4,3,4
4,6,9
4,12,10
4,11,14
4,15,13
4,16,21
4,17,19
4,18,24
4,23,20
4,22,25
4,26,28
4,30,27
4,37,29
4,31,39
4,32,38
4,34,33
4,36,35
5,0,1
5,2,12
5,5,3
5,4,9
5,7,6
5,8,14
5,11,10
5,16,13
5,18,15
5,17,21
5,19,25
5,20,24
5,22,23
5,27,26
5,28,30
5,38,29
5,31,37
5,32,39
5,35,33
5,36,34
6,0,11
6,1,5
6,7,2
6,3,9
6,4,12
6,6,8
6,10,14
6,17,13
6,20,15
6,19,16
6,18,21
6,24,22
6,23,25
6,26,30
6,28,27
6,35,29
6,32,31
6,33,37
6,38,34
6,39,36
7,0,5
7,10,1
7,9,2
7,3,11
7,6,4
7,14,7
7,8,12
7,13,18
7,19,15
7,20,16
7,24,17
7,21,23
7,26,22
7,25,30
7,29,27
7,39,28
7,33,31
7,35,32
7,37,34
7,38,36
8,3,0
8,12,1
8,8,2
8,5,4
8,6,11
8,13,7
8,9,10
8,14,18
8,15,16
8,23,17
8,24,19
8,25,20
8,22,21
8,26,29
8,27,31
8,37,28
8,30,38
8,36,32
8,33,39
8,34,35
9,4,0
9,11,1
9,2,3
9,5,6
9,10,7
9,9,8
9,12,13
9,15,14
9,16,18
9,22,17
9,23,19
9,21,20
9,27,24
9,25,26
9,35,28
9,29,30
9,31,38
9,37,32
9,36,33
9,34,39
