0,Heuristic,100000,7230,1000,100000,40,10
Time,Value 
7230,802
7200,802
7170,802
7140,802
7110,802
7080,802
7050,802
7020,802
6990,802
6960,802
6930,802
6900,802
6870,802
6840,802
6810,802
6780,802
6750,802
6720,802
6690,802
6660,802
6630,802
6600,802
6570,802
6540,802
6510,802
6480,802
6450,802
6420,802
6390,802
6360,802
6330,802
6300,802
6270,802
6240,802
6210,802
6180,802
6150,802
6120,802
6090,802
6060,802
6030,802
6000,802
5970,802
5940,802
5910,802
5880,802
5850,802
5820,802
5790,802
5760,802
5730,802
5700,802
5670,802
5640,802
5610,802
5580,802
5550,802
5520,802
5490,802
5460,802
5430,802
5400,802
5370,802
5340,802
5310,802
5280,802
5250,802
5220,802
5190,802
5160,802
5130,802
5100,802
5070,802
5040,802
5010,802
4980,802
4950,802
4920,802
4890,802
4860,802
4830,802
4800,802
4770,802
4740,802
4710,802
4680,802
4650,802
4620,802
4590,802
4560,802
4530,802
4500,802
4470,802
4440,802
4410,802
4380,802
4350,802
4320,802
4290,802
4260,802
4230,802
4200,802
4170,802
4140,802
4110,802
4080,802
4050,802
4020,802
3990,802
3960,802
3930,802
3900,802
3870,802
3840,802
3810,802
1740,802
1710,802
1680,802
1650,802
1620,802
1590,802
1560,802
1530,802
1500,802
1470,802
1440,802
1410,802
1380,802
1350,802
1320,802
1290,802
1260,802
1230,802
1200,802
1170,802
1140,804
1110,804
1080,804
1050,808
1020,812
990,814
960,818
930,818
900,818
870,820
360,896
330,902
300,906
270,906
240,906
210,906
180,906
150,906
120,906
90,906
60,906
30,906
0,940
390,888
420,886
450,878
480,870
510,868
540,858
570,858
600,856
630,852
660,852
690,842
720,840
750,838
780,832
810,828
840,820
1770,802
1800,802
1830,802
1860,802
1890,802
1920,802
1950,802
1980,802
2010,802
2040,802
2070,802
2100,802
2130,802
2160,802
2190,802
2220,802
2250,802
2280,802
2310,802
2340,802
2370,802
2400,802
2430,802
2460,802
2490,802
2520,802
2550,802
2580,802
2610,802
2640,802
2670,802
2700,802
2730,802
2760,802
2790,802
2820,802
2850,802
2880,802
2910,802
2940,802
2970,802
3000,802
3030,802
3060,802
3090,802
3120,802
3150,802
3180,802
3210,802
3240,802
3270,802
3300,802
3330,802
3360,802
3390,802
3420,802
3450,802
3480,802
3510,802
3540,802
3570,802
3600,802
3630,802
3660,802
3690,802
3720,802
3750,802
3780,802
Final, 802,7231

NrViolations,0
Round,H_team,A_team 
0,0,2
0,1,6
0,3,4
0,7,5
0,9,8
0,11,10
0,12,14
0,13,16
0,15,17
0,18,24
0,19,25
0,22,20
0,21,23
0,26,27
0,28,32
0,29,37
0,34,30
0,33,31
0,36,35
0,39,38
1,0,6
1,3,1
1,2,4
1,9,5
1,8,7
1,10,17
1,12,11
1,15,13
1,14,16
1,18,25
1,19,24
1,21,20
1,22,23
1,26,36
1,27,32
1,33,28
1,38,29
1,30,37
1,35,31
1,39,34
2,3,0
2,1,4
2,2,12
2,8,5
2,6,10
2,7,9
2,14,11
2,13,17
2,16,15
2,21,18
2,19,22
2,20,24
2,23,25
2,26,32
2,27,36
2,35,28
2,39,29
2,30,33
2,31,37
2,38,34
3,5,0
3,1,12
3,2,3
3,4,9
3,6,8
3,10,7
3,16,11
3,13,14
3,15,19
3,17,22
3,20,18
3,24,21
3,23,27
3,25,26
3,34,28
3,35,29
3,30,36
3,31,38
3,32,33
3,37,39
4,0,12
4,1,2
4,5,3
4,4,8
4,6,9
4,11,7
4,13,10
4,14,15
4,20,16
4,17,19
4,18,23
4,25,21
4,22,27
4,24,26
4,28,31
4,29,30
4,32,38
4,34,33
4,37,35
4,36,39
5,0,4
5,5,1
5,2,6
5,3,8
5,15,7
5,9,11
5,14,10
5,12,13
5,22,16
5,17,23
5,18,19
5,28,20
5,26,21
5,24,27
5,29,25
5,30,31
5,37,32
5,33,38
5,36,34
5,39,35
6,9,0
6,8,1
6,7,2
6,3,6
6,4,5
6,12,10
6,13,11
6,14,17
6,15,18
6,19,16
6,27,20
6,21,22
6,23,24
6,28,25
6,30,26
6,31,29
6,36,32
6,33,39
6,34,37
6,38,35
7,11,0
7,7,1
7,8,2
7,9,3
7,4,6
7,5,12
7,10,15
7,19,13
7,22,14
7,16,18
7,17,21
7,23,20
7,25,24
7,29,26
7,27,28
7,35,30
7,31,39
7,32,34
7,33,37
7,38,36
8,8,0
8,1,9
8,5,2
8,10,3
8,4,12
8,6,7
8,11,15
8,20,13
8,24,14
8,16,21
8,17,18
8,23,19
8,25,22
8,28,26
8,27,29
8,38,30
8,31,34
8,32,39
8,35,33
8,37,36
9,0,1
9,2,9
9,11,3
9,7,4
9,6,5
9,10,8
9,12,15
9,18,13
9,21,14
9,16,17
9,20,19
9,24,22
9,26,23
9,25,27
9,29,28
9,39,30
9,32,31
9,36,33
9,34,35
9,37,38
