154,Heuristic,100000,7230,1000,100000,32,24
Time,Value 
7230,347589
7200,348121
7170,348369
7140,348456
7110,348456
7080,348456
7050,348456
7020,348456
6990,348456
6960,348456
6930,348456
6900,348456
6870,348456
6840,348456
6810,348456
6780,348456
6750,348456
6720,348456
6690,348456
6660,348456
6630,348456
6600,348456
6570,348456
6540,348456
6510,348456
6480,348456
6450,348456
6420,348456
6390,348456
6360,348456
6330,348456
6300,348456
6270,348456
6240,348456
6210,348456
6180,348456
6150,348456
6120,348456
6090,348456
6060,348456
6030,348456
6000,348456
5970,348456
5940,348456
5910,348456
5880,348456
5850,348456
5820,348456
5790,348456
5760,348456
5730,348456
5700,348456
5670,348456
5640,348456
5610,348456
5580,348456
5550,348456
5520,348456
5490,348456
5460,348456
5430,348456
5400,348456
5370,348456
5340,348456
5310,348456
5280,348456
5250,348456
5220,348456
5190,348456
5160,348456
5130,348456
5100,348456
5070,348456
5040,348456
5010,348456
4980,348456
4950,348456
4920,348456
4890,348456
4860,348456
4830,348456
4800,348456
4770,348456
4740,348456
4710,348456
4680,348456
4650,348456
4620,348456
4590,348456
4560,348456
4530,348456
4500,348456
4470,348456
4440,348456
4410,348456
4380,348456
4350,348456
4320,348456
4290,348456
4260,348456
4230,348456
4200,348456
4170,348456
4140,348456
4110,348456
4080,348456
4050,348456
4020,348456
3990,348456
3960,348456
3930,348456
3900,348456
3870,348456
3840,348456
3810,348456
1740,353411
1710,353411
1680,354754
1650,355275
1620,356539
1590,357377
1560,358392
1530,359456
1500,359456
1470,359456
1440,359456
1410,359456
1380,359456
1350,359456
1320,359456
1290,359456
1260,359456
1230,359456
1200,359456
1170,359456
1140,359456
1110,359456
1080,359456
1050,359456
1020,359456
990,359456
960,360437
930,361740
900,361740
870,361740
360,362142
330,362142
300,362142
270,362142
240,362142
210,362142
180,363106
150,367769
120,367769
90,368334
60,377290
30,386839
0,453045
390,362142
420,362142
450,362142
480,361910
510,361910
540,361910
570,361910
600,361740
630,361740
660,361740
690,361740
720,361740
750,361740
780,361740
810,361740
840,361740
1770,353411
1800,353340
1830,352625
1860,352625
1890,352545
1920,352493
1950,352493
1980,352493
2010,352493
2040,352493
2070,352493
2100,352493
2130,352493
2160,352493
2190,352493
2220,352493
2250,352493
2280,352493
2310,352493
2340,352493
2370,352493
2400,352493
2430,352493
2460,352493
2490,352493
2520,352493
2550,352493
2580,352493
2610,352493
2640,352493
2670,352493
2700,352493
2730,352493
2760,352493
2790,352493
2820,352493
2850,352493
2880,352493
2910,352493
2940,352493
2970,352493
3000,352493
3030,352493
3060,352493
3090,352493
3120,352493
3150,352493
3180,352493
3210,352493
3240,352493
3270,352493
3300,352493
3330,352493
3360,351389
3390,350770
3420,349747
3450,349747
3480,349433
3510,349433
3540,349303
3570,349256
3600,349256
3630,348834
3660,348764
3690,348530
3720,348511
3750,348456
3780,348456
Final, 347589,7231

NrViolations,0
Round,H_team,A_team 
0,0,18
0,1,9
0,27,2
0,25,3
0,4,22
0,5,8
0,20,6
0,7,16
0,24,10
0,13,11
0,28,12
0,29,14
0,31,15
0,26,17
0,30,19
0,21,23
1,23,0
1,1,3
1,10,2
1,4,6
1,27,5
1,7,8
1,9,18
1,30,11
1,15,12
1,13,19
1,14,16
1,24,17
1,21,20
1,29,22
1,25,26
1,31,28
2,20,0
2,1,26
2,29,2
2,9,3
2,4,30
2,11,5
2,23,6
2,12,7
2,8,16
2,10,17
2,31,13
2,14,19
2,15,28
2,25,18
2,21,27
2,24,22
3,22,0
3,2,1
3,3,24
3,19,4
3,17,5
3,6,8
3,28,7
3,26,9
3,10,30
3,11,25
3,12,29
3,15,13
3,20,14
3,16,21
3,18,31
3,23,27
4,0,1
4,2,9
4,3,21
4,18,4
4,5,26
4,6,31
4,14,7
4,19,8
4,22,10
4,11,15
4,30,12
4,13,23
4,16,24
4,17,25
4,20,27
4,28,29
5,0,24
5,18,1
5,2,16
5,3,8
5,4,10
5,7,5
5,6,21
5,19,9
5,27,11
5,12,31
5,13,29
5,14,25
5,17,15
5,28,20
5,22,26
5,30,23
6,0,28
6,1,4
6,5,2
6,16,3
6,9,6
6,7,19
6,8,10
6,26,11
6,12,23
6,13,30
6,14,15
6,29,17
6,24,18
6,31,20
6,21,22
6,25,27
7,26,0
7,1,27
7,18,2
7,3,12
7,9,4
7,5,19
7,25,6
7,29,7
7,8,13
7,10,14
7,24,11
7,15,20
7,16,28
7,21,17
7,23,22
7,30,31
8,9,0
8,1,6
8,2,13
8,5,3
8,24,4
8,20,7
8,27,8
8,10,25
8,11,31
8,16,12
8,26,14
8,22,15
8,23,17
8,18,30
8,19,28
8,21,29
9,0,12
9,10,1
9,2,21
9,3,30
9,4,13
9,22,5
9,6,24
9,7,15
9,11,8
9,28,9
9,27,14
9,18,16
9,17,31
9,19,26
9,20,25
9,23,29
10,0,7
10,29,1
10,24,2
10,3,26
10,4,25
10,14,5
10,6,18
10,17,8
10,15,9
10,31,10
10,11,20
10,12,27
10,13,22
10,16,30
10,19,21
10,28,23
11,0,21
11,14,1
11,25,2
11,3,7
11,29,4
11,12,5
11,6,26
11,8,24
11,31,9
11,28,10
11,16,11
11,13,27
11,15,23
11,17,20
11,18,19
11,30,22
12,16,0
12,1,25
12,26,2
12,18,3
12,21,4
12,5,6
12,7,24
12,8,28
12,9,13
12,15,10
12,19,11
12,12,22
12,14,17
12,29,20
12,31,23
12,30,27
13,0,29
13,1,7
13,2,15
13,10,3
13,23,4
13,5,24
13,6,11
13,8,12
13,9,30
13,25,13
13,21,14
13,19,16
13,22,17
13,20,18
13,26,28
13,27,31
14,0,19
14,1,30
14,2,22
14,11,3
14,4,8
14,10,5
14,6,29
14,25,7
14,24,9
14,20,12
14,17,13
14,23,14
14,16,15
14,21,18
14,26,31
14,27,28
15,13,0
15,17,1
15,4,2
15,3,6
15,5,16
15,9,7
15,8,31
15,10,12
15,14,11
15,19,15
15,23,18
15,20,22
15,28,21
15,24,29
15,25,30
