0,Heuristic,100000,7230,10000,100000,16,8
Time,Value 
7230,61396
7200,61396
7170,61396
7140,61396
7110,61396
7080,61396
7050,61396
7020,61396
6990,61396
6960,61396
6930,61396
6900,61396
6870,61396
6840,61396
6810,61396
6780,61396
6750,61396
6720,61396
6690,61396
6660,61396
6630,61396
6600,61396
6570,61396
6540,61396
6510,61396
6480,61396
6450,61396
6420,61396
6390,61396
6360,61396
6330,61396
6300,61396
6270,61396
6240,61396
6210,61396
6180,61396
6150,61396
6120,61396
6090,61396
6060,61396
6030,61396
6000,61396
5970,61396
5940,61396
5910,61396
5880,61396
5850,61396
5820,61396
5790,61396
5760,61396
5730,61396
5700,61396
5670,61396
5640,61396
5610,61396
5580,61396
5550,61396
5520,61396
5490,61396
5460,61396
5430,61396
5400,61396
5370,61396
5340,61396
5310,61396
5280,61396
5250,61396
5220,61396
5190,61396
5160,61396
5130,61396
5100,61396
5070,61396
5040,61396
5010,61396
4980,61396
4950,61396
4920,61396
4890,61396
4860,61396
4830,61396
4800,61396
4770,61396
4740,61396
4710,61396
4680,61396
4650,61396
4620,61396
4590,61396
4560,61396
4530,61396
4500,61396
4470,61396
4440,61396
4410,61396
4380,61396
4350,61396
4320,61396
4290,61396
4260,61396
4230,61396
4200,61396
4170,61396
4140,61396
4110,61396
4080,61396
4050,61396
4020,61396
3990,61396
3960,61396
3930,61396
3900,61396
3870,61396
3840,61396
3810,61396
1740,61396
1710,61396
1680,61396
1650,61396
1620,61396
1590,61396
1560,61396
1530,61396
1500,61396
1470,61396
1440,61396
1410,61396
1380,61396
1350,61396
1320,61396
1290,61396
1260,61396
1230,61396
1200,61396
1170,61396
1140,61396
1110,61396
1080,61396
1050,61396
1020,61396
990,61396
960,61396
930,61396
900,61396
870,61396
360,61869
330,61869
300,61869
270,61869
240,61869
210,61869
180,61869
150,61869
120,61869
90,61869
60,62774
30,63333
0,67372
390,61869
420,61869
450,61869
480,61869
510,61869
540,61869
570,61869
600,61869
630,61869
660,61869
690,61869
720,61869
750,61582
780,61415
810,61396
840,61396
1770,61396
1800,61396
1830,61396
1860,61396
1890,61396
1920,61396
1950,61396
1980,61396
2010,61396
2040,61396
2070,61396
2100,61396
2130,61396
2160,61396
2190,61396
2220,61396
2250,61396
2280,61396
2310,61396
2340,61396
2370,61396
2400,61396
2430,61396
2460,61396
2490,61396
2520,61396
2550,61396
2580,61396
2610,61396
2640,61396
2670,61396
2700,61396
2730,61396
2760,61396
2790,61396
2820,61396
2850,61396
2880,61396
2910,61396
2940,61396
2970,61396
3000,61396
3030,61396
3060,61396
3090,61396
3120,61396
3150,61396
3180,61396
3210,61396
3240,61396
3270,61396
3300,61396
3330,61396
3360,61396
3390,61396
3420,61396
3450,61396
3480,61396
3510,61396
3540,61396
3570,61396
3600,61396
3630,61396
3660,61396
3690,61396
3720,61396
3750,61396
3780,61396
Final, 61396,7231

NrViolations,0
Round,H_team,A_team 
0,3,0
0,1,2
0,6,4
0,5,7
0,11,8
0,12,9
0,10,15
0,14,13
1,2,0
1,3,1
1,5,4
1,6,7
1,14,8
1,15,9
1,11,10
1,13,12
2,6,0
2,1,5
2,2,3
2,4,13
2,7,10
2,15,8
2,11,9
2,12,14
3,0,13
3,1,6
3,2,4
3,3,5
3,9,7
3,8,10
3,14,11
3,12,15
4,0,5
4,1,4
4,7,2
4,3,6
4,9,8
4,10,13
4,12,11
4,14,15
5,4,0
5,9,1
5,8,2
5,11,3
5,5,6
5,7,12
5,10,14
5,13,15
6,0,14
6,7,1
6,6,2
6,15,3
6,4,10
6,5,9
6,8,12
6,13,11
7,0,1
7,2,5
7,13,3
7,4,14
7,9,6
7,8,7
7,10,12
7,15,11
