0,Heuristic,1,1
Time,Value 
30,282
0,289
Final, 281

Round,H_team,A_team 
0,0,8
0,1,5
0,2,39
0,3,9
0,4,13
0,6,23
0,7,11
0,36,10
0,12,14
0,15,22
0,16,24
0,17,26
0,18,25
0,19,30
0,20,33
0,21,34
0,27,28
0,29,35
0,31,37
0,32,38
1,0,35
1,1,24
1,2,22
1,3,8
1,4,25
1,7,5
1,6,16
1,15,9
1,17,10
1,19,11
1,12,23
1,29,13
1,31,14
1,18,33
1,20,30
1,21,28
1,37,26
1,27,34
1,32,39
1,36,38
2,0,4
2,1,2
2,3,15
2,5,10
2,6,35
2,37,7
2,8,11
2,9,16
2,12,17
2,13,25
2,14,20
2,18,23
2,19,26
2,21,29
2,22,30
2,24,31
2,27,32
2,33,28
2,36,34
2,38,39
3,9,0
3,8,1
3,5,2
3,10,3
3,39,4
3,13,6
3,22,7
3,11,36
3,24,12
3,14,15
3,23,16
3,28,17
3,26,18
3,25,19
3,35,20
3,37,21
3,33,27
3,38,29
3,30,32
3,34,31
4,26,0
4,7,1
4,2,36
4,39,3
4,31,4
4,8,5
4,11,6
4,14,9
4,10,19
4,15,12
4,13,33
4,16,18
4,22,17
4,34,20
4,30,21
4,23,27
4,28,24
4,25,37
4,32,29
4,35,38
5,2,0
5,36,1
5,7,3
5,4,38
5,12,5
5,15,6
5,16,8
5,37,9
5,10,22
5,11,39
5,23,13
5,27,14
5,17,25
5,20,18
5,21,19
5,29,24
5,26,35
5,34,28
5,31,30
5,32,33
6,0,33
6,1,39
6,2,9
6,3,5
6,4,30
6,6,25
6,7,14
6,20,8
6,12,10
6,15,11
6,27,13
6,17,16
6,18,24
6,19,28
6,21,22
6,36,23
6,32,26
6,29,34
6,31,38
6,37,35
7,0,27
7,1,31
7,20,2
7,3,13
7,4,16
7,5,11
7,6,32
7,33,7
7,30,8
7,9,23
7,25,10
7,35,12
7,17,14
7,19,15
7,18,21
7,28,22
7,24,34
7,39,26
7,29,36
7,38,37
8,38,0
8,26,1
8,8,2
8,11,3
8,14,4
8,5,6
8,16,7
8,9,12
8,10,18
8,13,21
8,25,15
8,34,17
8,23,19
8,28,20
8,22,31
8,24,27
8,30,29
8,35,32
8,33,36
8,39,37
9,5,0
9,35,1
9,38,2
9,22,3
9,8,4
9,14,6
9,23,7
9,9,36
9,10,15
9,11,37
9,25,12
9,13,20
9,16,31
9,39,17
9,34,18
9,24,19
9,33,21
9,26,29
9,30,27
9,28,32
