0,Heuristic,1,1
Time,Value 
30,17892
0,19644
Final, 17892

Round,H_team,A_team 
0,0,4
0,2,1
0,8,3
0,6,5
0,9,7
0,10,11
0,14,12
0,16,13
0,15,18
0,20,17
0,22,19
0,21,25
0,23,24
0,26,28
0,27,35
0,29,39
0,36,30
0,31,33
0,34,32
0,37,38
1,0,2
1,1,4
1,7,3
1,5,9
1,6,8
1,15,10
1,14,11
1,12,18
1,17,13
1,16,25
1,19,21
1,23,20
1,22,24
1,26,35
1,28,27
1,30,29
1,31,34
1,38,32
1,33,39
1,36,37
2,3,0
2,1,7
2,2,6
2,4,9
2,8,5
2,12,10
2,15,11
2,14,13
2,19,16
2,17,25
2,18,21
2,24,20
2,27,22
2,23,26
2,28,31
2,33,29
2,30,34
2,35,32
2,38,36
2,39,37
3,1,0
3,2,7
3,3,12
3,4,6
3,11,5
3,8,9
3,10,14
3,13,15
3,16,17
3,18,19
3,21,20
3,25,22
3,28,23
3,24,26
3,27,31
3,34,29
3,38,30
3,32,33
3,37,35
3,39,36
4,0,12
4,6,1
4,11,2
4,4,3
4,7,5
4,8,14
4,9,10
4,13,18
4,20,15
4,21,16
4,17,19
4,26,22
4,29,23
4,24,28
4,25,27
4,39,30
4,31,38
4,32,37
4,33,34
4,36,35
5,0,8
5,1,12
5,13,2
5,6,3
5,5,4
5,10,7
5,9,14
5,11,17
5,21,15
5,22,16
5,18,20
5,19,24
5,27,23
5,25,26
5,28,29
5,33,30
5,31,37
5,32,36
5,34,38
5,35,39
6,0,11
6,1,8
6,14,2
6,5,3
6,7,4
6,9,6
6,10,13
6,12,17
6,15,16
6,18,24
6,19,25
6,22,20
6,23,21
6,27,26
6,28,36
6,29,32
6,30,31
6,33,37
6,34,39
6,35,38
7,7,0
7,3,1
7,2,5
7,4,8
7,10,6
7,12,9
7,11,13
7,14,17
7,19,15
7,16,18
7,20,25
7,24,21
7,22,23
7,29,26
7,37,27
7,30,28
7,31,36
7,32,39
7,38,33
7,34,35
8,6,0
8,5,1
8,3,2
8,4,10
8,8,7
8,13,9
8,12,11
8,16,14
8,17,15
8,18,22
8,20,19
8,26,21
8,25,23
8,24,29
8,39,27
8,38,28
8,30,32
8,35,31
8,36,33
8,37,34
9,5,0
9,9,1
9,2,4
9,3,10
9,7,6
9,11,8
9,13,12
9,15,14
9,20,16
9,17,18
9,23,19
9,21,22
9,25,24
9,26,30
9,29,27
9,37,28
9,32,31
9,35,33
9,36,34
9,39,38
