0,Heuristic,1,50
Time,Value 
60,66228
30,68272
0,86744
Final, 66040

Round,H_team,A_team 
0,0,14
0,1,12
0,3,2
0,4,18
0,10,5
0,6,8
0,7,13
0,11,9
0,15,23
0,16,17
0,19,37
0,20,32
0,21,26
0,22,27
0,38,24
0,33,25
0,34,28
0,30,29
0,31,35
0,39,36
1,0,13
1,1,18
1,2,12
1,3,15
1,4,14
1,5,6
1,7,16
1,8,9
1,11,10
1,20,17
1,19,32
1,21,37
1,22,26
1,23,27
1,31,24
1,38,25
1,36,28
1,34,29
1,33,30
1,35,39
2,0,15
2,3,1
2,10,2
2,5,4
2,6,18
2,7,12
2,17,8
2,9,16
2,13,11
2,14,19
2,24,20
2,27,21
2,31,22
2,23,26
2,39,25
2,32,28
2,35,29
2,30,36
2,38,33
2,37,34
3,17,0
3,1,5
3,2,15
3,4,3
3,6,19
3,30,7
3,18,8
3,13,9
3,20,10
3,14,11
3,12,16
3,28,21
3,35,22
3,24,23
3,25,32
3,26,27
3,29,36
3,33,31
3,39,34
3,37,38
4,16,0
4,2,1
4,3,5
4,6,4
4,29,7
4,19,8
4,14,9
4,17,10
4,12,11
4,15,13
4,18,20
4,25,21
4,39,22
4,23,32
4,24,30
4,36,26
4,27,37
4,31,28
4,33,35
4,38,34
5,18,0
5,8,1
5,2,4
5,3,19
5,5,16
5,10,6
5,28,7
5,12,9
5,11,17
5,13,30
5,15,14
5,23,20
5,21,32
5,22,24
5,34,25
5,35,26
5,27,29
5,31,37
5,33,39
5,38,36
6,0,1
6,9,2
6,13,3
6,4,19
6,8,5
6,6,16
6,7,17
6,10,14
6,24,11
6,15,12
6,22,18
6,21,20
6,37,23
6,36,25
6,28,26
6,27,33
6,29,39
6,30,34
6,32,31
6,38,35
7,0,2
7,1,4
7,14,3
7,5,19
7,6,34
7,7,8
7,9,17
7,10,15
7,16,11
7,18,12
7,20,13
7,35,21
7,25,22
7,36,23
7,24,33
7,26,31
7,32,27
7,28,29
7,37,30
7,39,38
8,9,0
8,17,1
8,2,5
8,8,3
8,4,34
8,11,6
8,7,15
8,16,10
8,19,12
8,14,13
8,18,33
8,20,31
8,36,21
8,29,22
8,23,28
8,25,24
8,26,38
8,35,27
8,39,30
8,37,32
9,20,0
9,23,1
9,14,2
9,3,7
9,4,9
9,5,36
9,13,6
9,8,10
9,11,18
9,12,17
9,15,39
9,19,16
9,24,21
9,22,28
9,31,25
9,33,26
9,34,27
9,29,37
9,38,30
9,32,35
10,4,0
10,21,1
10,11,2
10,16,3
10,5,17
10,9,6
10,7,14
10,8,36
10,10,18
10,13,12
10,19,15
10,25,20
10,22,38
10,23,39
10,27,24
10,32,26
10,28,37
10,29,33
10,30,35
10,34,31
11,0,11
11,1,14
11,7,2
11,12,3
11,15,4
11,13,5
11,6,17
11,16,8
11,9,18
11,10,36
11,22,19
11,27,20
11,21,38
11,25,23
11,34,24
11,26,29
11,28,33
11,31,30
11,32,39
11,37,35
12,0,10
12,1,13
12,2,6
12,11,3
12,17,4
12,15,5
12,9,7
12,14,8
12,12,38
12,18,16
12,19,21
12,39,20
12,30,22
12,23,31
12,35,24
12,25,29
12,26,37
12,28,27
12,33,32
12,36,34
13,12,0
13,1,6
13,2,13
13,3,9
13,16,4
13,14,5
13,10,7
13,11,8
13,17,15
13,18,19
13,20,37
13,21,31
13,34,22
13,38,23
13,24,29
13,27,25
13,26,39
13,35,28
13,30,32
13,33,36
14,5,0
14,10,1
14,16,2
14,3,6
14,4,13
14,7,11
14,8,12
14,9,15
14,29,14
14,19,17
14,18,25
14,20,33
14,21,39
14,22,37
14,34,23
14,24,26
14,27,31
14,30,28
14,32,38
14,36,35
15,3,0
15,16,1
15,19,2
15,8,4
15,5,12
15,6,7
15,9,10
15,11,15
15,13,18
15,35,14
15,17,25
15,38,20
15,21,33
15,23,22
15,37,24
15,26,30
15,36,27
15,28,39
15,31,29
15,32,34
16,0,8
16,15,1
16,17,2
16,31,3
16,10,4
16,7,5
16,6,12
16,19,9
16,11,35
16,13,16
16,18,14
16,28,20
16,23,21
16,22,33
16,39,24
16,25,30
16,26,34
16,38,27
16,32,29
16,37,36
17,0,35
17,1,7
17,2,8
17,34,3
17,12,4
17,5,11
17,15,6
17,26,9
17,13,10
17,14,16
17,18,17
17,20,19
17,30,21
17,22,32
17,29,23
17,36,24
17,25,28
17,39,27
17,31,38
17,33,37
18,0,7
18,1,9
18,2,35
18,17,3
18,4,11
18,5,18
18,14,6
18,8,13
18,12,10
18,15,16
18,27,19
18,20,22
18,29,21
18,30,23
18,24,32
18,25,26
18,28,38
18,36,31
18,34,33
18,37,39
19,6,0
19,1,11
19,2,18
19,3,10
19,4,7
19,9,5
19,8,15
19,12,14
19,17,13
19,16,20
19,26,19
19,21,22
19,33,23
19,24,28
19,37,25
19,27,30
19,29,38
19,39,31
19,32,36
19,35,34
