0,Heuristic,1,50
Time,Value 
30,7214
0,10056
Final, 6966

Round,H_team,A_team 
0,0,2
0,1,38
0,11,3
0,12,4
0,10,5
0,6,20
0,9,7
0,17,8
0,25,13
0,16,14
0,15,19
0,18,31
0,22,21
0,24,23
0,32,26
0,28,27
0,35,29
0,30,36
0,39,33
0,37,34
1,14,0
1,1,20
1,32,2
1,3,38
1,17,4
1,9,5
1,6,19
1,7,11
1,10,8
1,16,12
1,33,13
1,15,28
1,18,26
1,21,24
1,22,31
1,23,25
1,27,34
1,37,29
1,30,39
1,36,35
2,21,0
2,5,1
2,35,2
2,3,20
2,4,11
2,6,38
2,7,19
2,8,18
2,14,9
2,33,10
2,15,12
2,26,13
2,25,16
2,17,30
2,28,22
2,23,37
2,27,24
2,36,29
2,31,32
2,34,39
3,20,0
3,1,8
3,2,3
3,4,33
3,5,30
3,28,6
3,7,15
3,19,9
3,35,10
3,11,14
3,12,17
3,13,18
3,23,16
3,29,21
3,32,22
3,24,37
3,25,26
3,39,27
3,38,31
3,36,34
4,0,30
4,1,7
4,2,33
4,3,36
4,4,15
4,5,23
4,21,6
4,8,12
4,20,9
4,32,10
4,24,11
4,13,14
4,26,16
4,17,19
4,18,29
4,34,22
4,37,25
4,35,27
4,38,28
4,39,31
5,0,7
5,1,36
5,2,23
5,3,15
5,22,4
5,8,5
5,16,6
5,9,29
5,10,17
5,38,11
5,12,13
5,14,19
5,25,18
5,20,33
5,21,35
5,30,24
5,37,26
5,31,27
5,39,28
5,34,32
6,0,36
6,15,1
6,5,2
6,3,23
6,16,4
6,6,9
6,7,8
6,14,10
6,34,11
6,12,25
6,13,35
6,29,17
6,22,18
6,19,20
6,27,21
6,31,24
6,26,39
6,33,28
6,30,32
6,37,38
7,8,0
7,22,1
7,9,2
7,33,3
7,13,4
7,16,5
7,27,6
7,7,25
7,10,12
7,11,15
7,18,14
7,28,17
7,23,19
7,20,37
7,36,21
7,32,24
7,26,35
7,29,39
7,30,31
7,38,34
8,4,0
8,11,1
8,2,25
8,35,3
8,18,5
8,31,6
8,7,10
8,13,8
8,9,37
8,12,30
8,14,36
8,15,16
8,17,26
8,24,19
8,27,20
8,39,21
8,29,22
8,23,28
8,38,32
8,34,33
9,1,0
9,2,7
9,34,3
9,10,4
9,5,13
9,25,6
9,8,37
9,9,16
9,11,36
9,12,18
9,14,30
9,15,27
9,24,17
9,19,26
9,20,28
9,21,23
9,38,22
9,33,29
9,31,35
9,39,32
10,0,38
10,1,23
10,4,2
10,3,16
10,5,17
10,6,39
10,7,18
10,8,11
10,26,9
10,10,31
10,12,36
10,13,15
10,14,27
10,19,30
10,20,24
10,21,28
10,25,22
10,34,29
10,37,32
10,35,33
11,0,23
11,4,1
11,2,38
11,3,8
11,5,39
11,6,17
11,16,7
11,32,9
11,10,18
11,30,11
11,22,12
11,13,27
11,24,14
11,15,31
11,19,25
11,20,21
11,29,26
11,28,37
11,36,33
11,35,34
12,0,29
12,2,1
12,3,39
12,4,35
12,33,5
12,7,6
12,8,38
12,34,9
12,13,10
12,11,16
12,21,12
12,23,14
12,18,15
12,17,31
12,32,19
12,22,20
12,28,24
12,25,30
12,36,26
12,27,37
13,37,0
13,14,1
13,2,29
13,18,3
13,9,4
13,27,5
13,6,35
13,30,7
13,21,8
13,11,10
13,19,12
13,16,13
13,17,15
13,25,20
13,23,22
13,34,24
13,31,26
13,32,28
13,38,33
13,39,36
14,33,0
14,1,29
14,14,2
14,17,3
14,4,34
14,31,5
14,11,6
14,28,7
14,16,8
14,12,9
14,15,10
14,24,13
14,23,18
14,22,19
14,26,20
14,38,21
14,36,25
14,30,27
14,35,32
14,39,37
15,15,0
15,1,39
15,2,22
15,10,3
15,4,14
15,5,34
15,13,6
15,27,7
15,26,8
15,9,17
15,12,11
15,16,33
15,18,19
15,20,23
15,37,21
15,24,36
15,32,25
15,28,31
15,29,30
15,38,35
16,0,39
16,9,1
16,18,2
16,3,22
16,8,4
16,7,5
16,14,6
16,10,34
16,13,11
16,28,12
16,15,32
16,20,16
16,17,23
16,19,33
16,31,21
16,26,24
16,35,25
16,27,36
16,29,38
16,37,30
17,0,22
17,10,1
17,20,2
17,7,3
17,4,39
17,5,37
17,6,26
17,19,8
17,11,9
17,31,12
17,21,13
17,14,15
17,18,16
17,17,32
17,23,36
17,24,29
17,25,38
17,27,33
17,35,28
17,34,30
18,6,0
18,1,37
18,19,2
18,3,4
18,5,26
18,13,7
18,15,8
18,9,35
18,16,10
18,11,21
18,32,12
18,39,14
18,17,20
18,36,18
18,22,27
18,23,29
18,25,24
18,34,28
18,30,38
18,33,31
19,9,0
19,12,1
19,2,6
19,3,37
19,4,5
19,7,35
19,8,32
19,10,21
19,11,26
19,13,19
19,34,14
19,38,15
19,16,17
19,39,18
19,29,20
19,24,22
