0,Heuristic,1,500
Time,Value 
0,138323
Final, 113544

Round,H_team,A_team 
0,0,8
0,4,1
0,2,3
0,9,5
0,6,10
0,7,15
0,13,11
0,12,14
1,0,2
1,8,1
1,3,6
1,12,4
1,5,10
1,7,13
1,9,15
1,14,11
2,3,0
2,1,9
2,2,10
2,14,4
2,5,13
2,6,8
2,12,7
2,11,15
3,11,0
3,1,6
3,2,9
3,3,12
3,15,4
3,5,8
3,14,7
3,10,13
4,15,0
4,1,5
4,2,6
4,8,3
4,4,10
4,11,7
4,9,12
4,13,14
5,0,10
5,13,1
5,4,2
5,3,5
5,6,11
5,7,9
5,8,12
5,15,14
6,4,0
6,14,1
6,2,5
6,3,11
6,9,6
6,7,8
6,10,15
6,12,13
7,0,13
7,10,1
7,14,2
7,9,3
7,8,4
7,5,11
7,7,6
7,12,15
8,1,0
8,12,2
8,15,3
8,9,4
8,5,7
8,6,14
8,8,13
8,11,10
9,5,0
9,1,7
9,15,2
9,13,3
9,6,4
9,8,14
9,11,9
9,10,12
10,0,12
10,3,1
10,2,7
10,4,11
10,6,5
10,15,8
10,13,9
10,10,14
11,0,6
11,1,2
11,7,3
11,4,5
11,10,8
11,14,9
11,11,12
11,13,15
