0,Heuristic,0,5000
Time,Value 
7230,5182
7200,5188
7170,5192
7140,5192
7110,5200
7080,5200
7050,5200
7020,5200
6990,5200
6960,5216
6930,5216
6900,5216
6870,5218
6840,5218
6810,5218
6780,5228
6750,5228
6720,5228
6690,5228
6660,5238
6630,5242
6600,5242
6570,5244
6540,5244
6510,5246
6480,5254
6450,5258
6420,5258
6390,5258
6360,5266
6330,5278
6300,5278
6270,5278
6240,5278
6210,5278
6180,5292
6150,5292
6120,5292
6090,5292
6060,5302
6030,5302
6000,5306
5970,5306
5940,5306
5910,5316
5880,5316
5850,5316
5820,5316
5790,5316
5760,5320
5730,5334
5700,5338
5670,5338
5640,5338
5610,5338
5580,5338
5550,5354
5520,5356
5490,5356
5460,5356
5430,5356
5400,5362
5370,5378
5340,5382
5310,5382
5280,5382
5250,5382
5220,5388
5190,5392
5160,5392
5130,5392
5100,5410
5070,5412
5040,5418
5010,5418
4980,5424
4950,5426
4920,5428
4890,5430
4860,5436
4830,5436
4800,5450
4770,5454
4740,5454
4710,5460
4680,5460
4650,5474
4620,5478
4590,5482
4560,5484
4530,5488
4500,5494
4470,5494
4440,5494
4410,5500
4380,5506
4350,5516
4320,5516
4290,5526
4260,5532
4230,5538
4200,5540
4170,5540
4140,5552
4110,5552
4080,5554
4050,5554
4020,5576
3990,5576
3960,5580
3930,5594
3900,5596
3870,5596
3840,5596
3810,5602
1740,6164
1710,6174
1680,6190
1650,6200
1620,6202
1590,6202
1560,6232
1530,6248
1500,6268
1470,6288
1440,6294
1410,6304
1380,6322
1350,6326
1320,6352
1290,6372
1260,6390
1230,6408
1200,6422
1170,6454
1140,6464
1110,6482
1080,6500
1050,6526
1020,6534
990,6572
960,6592
930,6600
900,6636
870,6650
360,7250
330,7320
300,7356
270,7446
240,7494
210,7584
180,7704
150,7784
120,7928
90,8106
60,8284
30,8610
0,9292
390,7208
420,7154
450,7068
480,7060
510,7022
540,6984
570,6948
600,6906
630,6884
660,6840
690,6800
720,6796
750,6764
780,6712
810,6706
840,6682
1770,6150
1800,6128
1830,6122
1860,6104
1890,6104
1920,6096
1950,6078
1980,6066
2010,6062
2040,6054
2070,6042
2100,6024
2130,6012
2160,6012
2190,5998
2220,5980
2250,5980
2280,5970
2310,5950
2340,5950
2370,5948
2400,5932
2430,5926
2460,5918
2490,5908
2520,5898
2550,5892
2580,5888
2610,5878
2640,5870
2670,5860
2700,5844
2730,5844
2760,5822
2790,5822
2820,5822
2850,5814
