0,Heuristic,0,50
Time,Value 
180,5064
150,5156
120,5226
90,5328
60,5534
30,5906
0,8274
Final, 5058

Round,H_team,A_team 
0,0,1
0,4,2
0,3,18
0,13,5
0,16,6
0,7,31
0,24,8
0,10,9
0,37,11
0,21,12
0,15,14
0,29,17
0,19,25
0,27,20
0,22,32
0,28,23
0,38,26
0,35,30
0,33,36
0,39,34
1,0,34
1,1,18
1,2,5
1,4,3
1,21,6
1,37,7
1,22,8
1,9,24
1,10,35
1,39,11
1,12,31
1,13,16
1,19,14
1,27,15
1,30,17
1,20,25
1,38,23
1,36,26
1,32,28
1,29,33
2,0,26
2,1,34
2,2,38
2,3,11
2,37,4
2,5,18
2,20,6
2,32,7
2,19,8
2,9,35
2,14,10
2,12,24
2,17,13
2,30,15
2,16,31
2,21,22
2,36,23
2,25,29
2,27,33
2,39,28
3,25,0
3,1,39
3,8,2
3,3,12
3,4,35
3,11,5
3,6,13
3,33,7
3,9,36
3,16,10
3,14,24
3,29,15
3,17,22
3,18,20
3,26,19
3,23,21
3,34,27
3,38,28
3,32,30
3,31,37
4,22,0
4,14,1
4,7,2
4,35,3
4,21,4
4,5,31
4,8,6
4,18,9
4,10,13
4,24,11
4,38,12
4,15,33
4,20,16
4,23,17
4,29,19
4,28,25
4,27,26
4,30,37
4,34,32
4,39,36
5,0,12
5,15,1
5,13,2
5,38,3
5,20,4
5,5,7
5,6,31
5,10,8
5,21,9
5,25,11
5,30,14
5,16,39
5,17,33
5,18,27
5,28,19
5,22,23
5,24,34
5,26,29
5,32,37
5,36,35
6,30,0
6,12,1
6,2,31
6,37,3
6,19,4
6,5,10
6,6,39
6,7,38
6,8,20
6,16,9
6,11,18
6,13,15
6,29,14
6,17,24
6,21,27
6,22,36
6,23,34
6,32,25
6,26,33
6,35,28
7,29,0
7,1,26
7,2,17
7,3,39
7,4,5
7,6,18
7,7,20
7,9,8
7,10,15
7,11,38
7,12,36
7,13,24
7,28,14
7,16,22
7,32,19
7,35,21
7,23,27
7,31,25
7,33,30
7,34,37
8,27,0
8,1,37
8,2,26
8,3,17
8,4,6
8,5,38
8,7,13
8,8,18
8,9,11
8,10,36
8,12,32
8,14,20
8,15,22
8,23,16
8,31,19
8,34,21
8,24,25
8,30,28
8,39,29
8,35,33
9,0,2
9,31,1
9,3,7
9,4,17
9,39,5
9,6,9
9,36,8
9,10,32
9,11,13
9,18,12
9,14,22
9,38,15
9,27,16
9,33,19
9,20,35
9,30,21
9,25,23
9,28,24
9,34,26
9,37,29
10,21,0
10,1,10
10,2,34
10,36,3
10,13,4
10,5,33
10,6,32
10,7,9
10,37,8
10,17,11
10,22,12
10,18,14
10,39,15
10,28,16
10,19,35
10,20,23
10,27,24
10,25,30
10,26,31
10,38,29
11,19,0
11,36,1
11,2,10
11,3,34
11,16,4
11,5,9
11,6,33
11,11,7
11,8,15
11,26,12
11,22,13
11,17,14
11,23,18
11,20,21
11,24,31
11,25,35
11,28,27
11,29,30
11,32,38
11,37,39
12,17,0
12,1,16
12,39,2
12,3,10
12,15,4
12,5,34
12,7,6
12,8,25
12,9,22
12,14,11
12,12,28
12,23,13
12,29,18
12,19,20
12,21,24
12,30,26
12,27,32
12,31,36
12,33,38
12,35,37
13,0,5
13,1,7
13,2,3
13,4,25
13,10,6
13,8,14
13,9,28
13,11,22
13,12,17
13,20,13
13,15,23
13,37,16
13,26,18
13,39,19
13,21,31
13,24,33
13,35,27
13,32,29
13,30,36
13,34,38
14,0,7
14,29,1
14,2,25
14,3,16
14,4,32
14,5,35
14,6,15
14,39,8
14,9,12
14,10,22
14,11,34
14,13,28
14,14,23
14,18,17
14,38,19
14,20,31
14,21,33
14,26,24
14,30,27
14,36,37
15,0,39
15,28,1
15,27,2
15,3,32
15,4,38
15,5,8
15,6,12
15,7,35
15,13,9
15,23,10
15,11,15
15,14,34
15,16,29
15,17,21
15,18,31
15,37,19
15,20,33
15,22,26
15,24,30
15,25,36
16,37,0
16,27,1
16,28,2
16,33,3
16,34,4
16,5,32
16,35,6
16,7,29
16,8,38
16,15,9
16,25,10
16,30,11
16,14,12
16,39,13
16,16,21
16,19,17
16,22,18
16,26,20
16,31,23
16,24,36
17,0,38
17,1,35
17,33,2
17,31,3
17,39,4
17,6,5
17,15,7
17,8,29
17,9,14
17,26,10
17,28,11
17,12,37
17,36,13
17,17,16
17,21,18
17,22,19
17,24,20
17,32,23
17,25,27
17,30,34
18,0,4
18,1,13
18,2,35
18,29,3
18,12,5
18,38,6
18,14,7
18,8,21
18,32,9
18,10,37
18,27,11
18,15,17
18,16,26
18,18,25
18,19,24
18,20,22
18,30,23
