0,Heuristic,0,1
Time,Value 
30,568
0,596
Final, 566

Round,H_team,A_team 
0,5,0
0,1,14
0,2,28
0,3,12
0,4,37
0,22,6
0,35,7
0,10,8
0,9,32
0,11,29
0,13,33
0,15,38
0,19,16
0,26,17
0,18,30
0,36,20
0,21,25
0,27,23
0,39,24
0,34,31
1,37,0
1,1,30
1,2,33
1,3,23
1,22,4
1,5,6
1,9,7
1,27,8
1,10,12
1,34,11
1,13,16
1,15,14
1,18,17
1,25,19
1,20,24
1,39,21
1,26,28
1,31,29
1,35,32
1,36,38
2,0,21
2,1,28
2,15,2
2,3,5
2,14,4
2,20,6
2,7,32
2,17,8
2,35,9
2,10,16
2,39,11
2,34,12
2,31,13
2,25,18
2,27,19
2,22,38
2,36,23
2,37,24
2,26,33
2,30,29
3,0,36
3,25,1
3,2,5
3,28,3
3,31,4
3,6,18
3,8,7
3,23,9
3,32,10
3,11,19
3,12,13
3,14,34
3,30,15
3,16,37
3,17,39
3,20,26
3,38,21
3,29,22
3,24,27
3,33,35
4,0,9
4,11,1
4,2,10
4,34,3
4,4,36
4,5,15
4,32,6
4,38,7
4,8,14
4,12,37
4,19,13
4,16,23
4,17,30
4,33,18
4,27,20
4,21,31
4,39,22
4,24,26
4,29,25
4,28,35
5,4,0
5,29,1
5,2,20
5,38,3
5,5,24
5,39,6
5,18,7
5,8,36
5,9,17
5,11,10
5,12,28
5,13,34
5,19,14
5,32,15
5,16,26
5,21,35
5,22,30
5,23,31
5,33,25
5,27,37
6,13,0
6,1,8
6,36,2
6,3,31
6,9,4
6,27,5
6,26,6
6,7,25
6,10,14
6,21,11
6,22,12
6,15,17
6,39,16
6,18,29
6,19,32
6,34,20
6,23,24
6,28,38
6,35,30
6,37,33
7,0,10
7,34,1
7,14,2
7,3,16
7,28,4
7,18,5
7,6,11
7,7,24
7,22,8
7,36,9
7,25,12
7,13,29
7,15,27
7,20,17
7,35,19
7,26,21
7,23,33
7,30,32
7,31,38
7,37,39
8,6,0
8,7,1
8,16,2
8,3,9
8,4,39
8,5,28
8,37,8
8,10,21
8,20,11
8,12,26
8,24,13
8,14,38
8,31,15
8,17,27
8,36,18
8,30,19
8,25,22
8,35,23
8,29,32
8,33,34
9,16,0
9,6,1
9,2,22
9,11,3
9,4,35
9,5,39
9,30,7
9,8,15
9,10,9
9,12,23
9,21,13
9,14,26
9,38,17
9,31,18
9,19,34
9,29,20
9,24,28
9,25,36
9,33,27
9,32,37
10,33,0
10,1,13
10,2,35
10,3,37
10,8,4
10,5,7
10,21,6
10,9,15
10,10,23
10,11,30
10,12,18
10,29,14
10,16,25
10,34,17
10,19,31
10,38,20
10,24,22
10,27,26
10,32,28
10,39,36
11,0,30
11,1,24
11,11,2
11,18,3
11,13,4
11,22,5
11,6,16
11,14,7
11,8,12
11,9,25
11,20,10
11,15,35
11,17,32
11,19,39
11,21,36
11,23,29
11,26,37
11,27,31
11,28,33
11,38,34
12,0,31
12,1,38
12,13,2
12,30,3
12,4,24
12,26,5
12,6,29
12,7,10
12,18,8
12,37,9
12,17,11
12,15,12
12,14,27
12,35,16
12,20,19
12,22,21
12,23,39
12,28,25
12,32,34
12,36,33
13,0,38
13,32,1
13,37,2
13,3,22
13,4,11
13,25,5
13,24,6
13,7,12
13,8,35
13,31,9
13,30,10
13,13,27
13,16,14
13,29,15
13,17,21
13,18,39
13,23,19
13,33,20
13,36,26
13,28,34
14,39,0
14,10,1
14,2,32
14,3,17
14,4,15
14,5,30
14,19,6
14,7,28
14,33,8
14,9,16
14,25,11
14,12,21
14,38,13
14,14,31
14,37,18
14,20,22
14,26,23
14,24,36
14,34,27
14,29,35
15,27,0
15,1,36
15,2,31
15,39,3
15,25,4
15,5,35
15,6,33
15,11,7
15,20,8
15,26,9
15,10,29
15,12,32
15,13,17
15,14,37
15,21,15
15,22,16
15,24,18
15,19,28
15,34,23
15,38,30
16,1,0
16,2,4
16,29,3
16,5,31
16,6,9
16,34,7
16,13,8
16,10,17
16,35,11
16,38,12
16,14,33
16,15,23
16,36,16
16,22,18
16,19,37
16,20,25
16,21,24
16,26,32
16,27,28
16,39,30
17,0,25
17,1,20
17,9,2
17,3,24
17,32,4
17,17,5
17,6,14
17,7,22
17,8,11
17,36,10
17,29,12
17,30,13
17,15,19
17,16,27
17,18,34
17,21,33
17,23,38
17,31,26
17,28,39
17,35,37
18,0,2
18,17,1
18,32,3
18,4,26
18,11,5
18,31,6
18,7,13
18,8,21
18,9,20
18,18,10
18,12,14
18,15,36
18,16,38
18,33,19
18,37,22
18,23,25
18,24,34
18,30,27
18,28,29
18,35,39
19,0,15
19,37,1
19,25,2
19,4,3
19,32,5
19,6,13
19,7,27
19,8,26
19,9,14
19,38,10
19,11,18
19,12,39
19,16,21
19,17,19
19,31,20
19,23,22
19,24,35
19,28,36
19,33,29
19,30,34
