0,Heuristic,0,10
Time,Value 
30,64274
0,104732
Final, 62390

Round,H_team,A_team 
0,0,18
0,1,3
0,2,5
0,4,7
0,33,6
0,8,13
0,11,9
0,12,10
0,14,22
0,15,17
0,16,19
0,20,26
0,21,28
0,25,23
0,38,24
0,27,39
0,29,37
0,31,30
0,34,32
0,35,36
1,0,8
1,9,1
1,4,2
1,3,27
1,5,18
1,34,6
1,7,11
1,13,10
1,12,16
1,17,14
1,15,22
1,19,26
1,20,28
1,21,38
1,23,31
1,35,24
1,25,39
1,33,29
1,30,37
1,36,32
2,3,0
2,1,11
2,2,8
2,4,27
2,5,16
2,30,6
2,13,7
2,10,9
2,15,12
2,21,14
2,17,20
2,18,19
2,22,38
2,23,35
2,36,24
2,25,31
2,26,33
2,28,39
2,34,29
2,32,37
3,0,11
3,39,1
3,6,2
3,3,36
3,5,4
3,8,7
3,9,16
3,10,17
3,14,12
3,13,15
3,18,35
3,20,19
3,37,21
3,24,22
3,28,23
3,30,25
3,26,38
3,27,33
3,32,29
3,31,34
4,15,0
4,38,1
4,7,2
4,12,3
4,8,4
4,11,5
4,6,36
4,9,17
4,18,10
4,14,13
4,16,35
4,19,32
4,20,30
4,39,21
4,22,26
4,29,23
4,24,34
4,37,25
4,27,31
4,33,28
5,19,0
5,37,1
5,9,2
5,11,3
5,4,36
5,13,5
5,6,17
5,16,7
5,8,12
5,15,10
5,14,18
5,20,32
5,29,21
5,22,30
5,26,23
5,24,33
5,38,25
5,27,34
5,35,28
5,31,39
6,17,0
6,1,12
6,2,14
6,10,3
6,4,6
6,5,9
6,19,7
6,16,8
6,11,15
6,13,18
6,21,20
6,22,32
6,23,33
6,29,24
6,25,27
6,26,39
6,30,28
6,31,35
6,34,37
6,36,38
7,0,1
7,2,12
7,3,14
7,18,4
7,27,5
7,6,11
7,20,7
7,17,8
7,9,15
7,10,16
7,36,13
7,23,19
7,32,21
7,28,22
7,30,24
7,25,33
7,26,34
7,39,29
7,31,37
7,35,38
8,0,2
8,1,14
8,8,3
8,17,4
8,28,5
8,7,6
8,12,9
8,11,10
8,39,13
8,15,16
8,20,18
8,24,19
8,30,21
8,22,23
8,25,26
8,32,27
8,38,29
8,33,31
8,34,36
8,35,37
9,0,12
9,2,1
9,15,3
9,14,4
9,23,5
9,18,6
9,7,10
9,9,8
9,11,17
9,37,13
9,16,20
9,22,19
9,27,21
9,24,25
9,28,26
9,36,29
9,39,30
9,31,32
9,33,38
9,35,34
10,5,0
10,1,15
10,27,2
10,16,3
10,4,12
10,19,6
10,9,7
10,8,10
10,18,11
10,13,17
10,14,20
10,21,23
10,31,22
10,24,39
10,25,35
10,29,26
10,34,28
10,38,30
10,32,33
10,37,36
11,7,0
11,4,1
11,25,2
11,3,24
11,5,15
11,6,8
11,34,9
11,10,14
11,13,11
11,12,20
11,16,23
11,17,18
11,21,19
11,37,22
11,26,35
11,28,27
11,29,31
11,36,30
11,32,38
11,33,39
12,10,0
12,1,24
12,17,2
12,6,3
12,11,4
12,5,26
12,7,21
12,8,15
12,33,9
12,12,13
12,14,16
12,18,25
12,19,34
12,20,37
12,36,22
12,23,27
12,29,28
12,30,35
12,31,38
12,32,39
13,0,21
13,1,5
13,2,26
13,3,7
13,19,4
13,12,6
13,31,8
13,18,9
13,10,24
13,28,11
13,13,16
13,15,14
13,17,25
13,33,20
13,22,34
13,23,37
13,27,38
13,30,29
13,35,32
13,39,36
14,9,0
14,1,10
14,2,21
14,3,26
14,13,4
14,5,6
14,7,15
14,32,8
14,29,11
14,30,12
14,14,19
14,16,17
14,18,22
14,38,20
14,39,23
14,24,37
14,25,34
14,35,27
14,28,31
14,36,33
15,14,0
15,6,1
15,2,3
15,4,10
15,5,7
15,33,8
15,9,13
15,24,11
15,36,12
15,15,18
15,16,22
15,21,17
15,19,25
15,39,20
15,38,23
15,26,31
15,37,27
15,32,28
15,29,35
15,34,30
16,13,0
16,8,1
16,10,2
16,3,4
16,14,5
16,6,9
16,7,18
16,11,16
16,34,12
16,15,19
16,17,22
16,20,25
16,21,35
16,36,23
16,24,31
16,26,32
16,29,27
16,38,28
16,33,30
16,37,39
17,0,16
17,7,1
17,11,2
17,3,13
17,4,9
17,12,5
17,6,14
17,8,18
17,10,20
17,21,15
17,17,19
17,22,35
17,23,32
17,26,24
17,25,29
17,27,30
17,37,28
17,31,36
17,34,33
17,39,38
18,0,6
18,1,13
18,2,16
18,3,9
18,4,20
18,10,5
18,7,17
18,8,14
18,12,11
18,23,15
18,18,29
18,19,31
18,22,21
18,24,32
18,28,25
18,30,26
18,27,36
18,35,33
18,39,34
18,38,37
19,0,4
19,1,17
19,2,13
19,5,3
19,6,10
19,12,7
19,11,8
19,9,14
19,20,15
19,16,18
19,19,29
19,21,31
19,22,25
19,23,24
19,26,27
19,28,36
19,32,30
19,37,33
19,38,34
19,35,39
