0,Heuristic,10000000,7230.000000,1,0.005000,500000,24,6
Time,Value 
Final, 54492,7231

NrViolations,0
Round,H_team,A_team 
0,0,17
0,11,1
0,2,9
0,21,3
0,20,4
0,5,15
0,22,6
0,8,7
0,18,10
0,14,12
0,23,13
0,16,19
1,0,10
1,17,1
1,2,13
1,3,4
1,5,12
1,8,6
1,22,7
1,18,9
1,11,23
1,14,19
1,15,16
1,21,20
2,0,11
2,1,5
2,2,8
2,3,20
2,4,14
2,6,10
2,9,7
2,12,16
2,22,13
2,15,19
2,17,21
2,18,23
3,6,0
3,1,4
3,10,2
3,19,3
3,16,5
3,7,14
3,23,8
3,9,22
3,11,18
3,12,15
3,13,21
3,20,17
4,21,0
4,16,1
4,23,2
4,3,17
4,4,22
4,7,5
4,9,6
4,10,8
4,13,11
4,12,18
4,14,15
4,19,20
5,20,0
5,1,22
5,6,2
5,13,3
5,4,16
5,5,14
5,7,12
5,8,9
5,10,23
5,17,11
5,15,18
5,19,21
