11,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 2748,7231

NrViolations,0
Round,H_team,A_team 
0,36,0
0,8,1
0,2,9
0,39,3
0,30,4
0,10,5
0,7,6
0,11,22
0,12,14
0,13,18
0,15,23
0,20,16
0,17,21
0,27,19
0,28,24
0,25,37
0,29,26
0,33,31
0,34,32
0,38,35
1,35,0
1,1,3
1,39,2
1,27,4
1,18,5
1,6,13
1,8,7
1,10,9
1,11,14
1,12,23
1,17,15
1,21,16
1,29,19
1,20,30
1,25,22
1,31,24
1,26,37
1,36,28
1,38,32
1,34,33
2,32,0
2,1,26
2,35,2
2,3,36
2,33,4
2,12,5
2,8,6
2,7,13
2,9,11
2,14,10
2,15,25
2,16,17
2,18,23
2,24,19
2,21,20
2,22,30
2,27,37
2,31,28
2,29,34
2,38,39
3,0,38
3,4,1
3,37,2
3,9,3
3,5,8
3,11,6
3,7,36
3,15,10
3,16,12
3,13,17
3,14,24
3,21,18
3,19,25
3,22,20
3,23,27
3,31,26
3,28,34
3,39,29
3,30,35
3,33,32
4,37,0
4,32,1
4,2,14
4,11,3
4,38,4
4,5,7
4,17,6
4,9,8
4,10,13
4,12,24
4,16,15
4,20,18
4,22,19
4,28,21
4,23,31
4,26,25
4,27,29
4,30,34
4,35,33
4,39,36
5,0,16
5,31,1
5,2,4
5,8,3
5,39,5
5,6,14
5,7,10
5,35,9
5,11,17
5,12,22
5,13,15
5,18,26
5,19,20
5,33,21
5,32,23
5,24,27
5,25,29
5,28,30
5,34,38
5,36,37
6,0,6
6,1,5
6,7,2
6,3,16
6,4,10
6,36,8
6,37,9
6,18,11
6,12,17
6,13,22
6,14,20
6,15,28
6,19,26
6,21,34
6,24,23
6,27,25
6,29,32
6,30,31
6,33,38
6,35,39
7,0,9
7,6,1
7,10,2
7,5,3
7,4,7
7,39,8
7,11,19
7,15,12
7,13,28
7,14,17
7,23,16
7,18,22
7,20,27
7,21,26
7,24,34
7,33,25
7,29,31
7,32,30
7,37,35
7,36,38
8,31,0
8,1,13
8,8,2
8,3,6
8,5,4
8,7,15
8,9,18
8,10,11
8,12,19
8,16,14
8,17,28
8,25,20
8,21,24
8,22,27
8,23,29
8,26,34
8,30,33
8,32,39
8,35,36
8,38,37
9,30,0
9,1,11
9,2,38
9,3,13
9,6,4
9,37,5
9,7,9
9,8,15
9,10,12
9,14,18
9,16,24
9,25,17
9,19,23
9,20,29
9,22,21
9,26,27
9,28,32
9,31,39
9,36,33
9,34,35
10,28,0
10,1,38
10,2,11
10,3,12
10,4,13
10,36,5
10,6,15
10,19,7
10,37,8
10,9,20
10,16,10
10,14,22
10,17,24
10,18,29
10,21,25
10,23,30
10,26,32
10,27,34
10,35,31
10,39,33
11,0,8
11,2,1
11,35,3
11,4,9
11,38,5
11,6,12
11,17,7
11,18,10
11,11,20
11,13,16
11,14,19
11,15,22
11,21,30
11,23,34
11,24,26
11,25,39
11,28,27
11,29,36
11,32,31
11,33,37
12,0,2
12,1,37
12,38,3
12,4,8
12,5,6
12,16,7
12,33,9
12,10,22
12,13,11
12,12,18
12,15,14
12,17,20
12,19,21
12,23,28
12,24,30
12,25,34
12,26,39
12,32,27
12,29,35
12,31,36
13,0,4
13,36,1
13,2,33
13,3,37
13,5,15
13,6,10
13,7,18
13,8,17
13,34,9
13,12,11
13,14,13
13,16,25
13,19,28
13,20,23
13,21,29
13,22,26
13,24,39
13,31,27
13,30,38
13,32,35
14,3,0
14,1,33
14,2,5
14,39,4
14,6,18
14,7,12
14,11,8
14,9,15
14,10,17
14,13,21
14,14,23
14,16,19
14,20,28
14,22,29
14,25,24
14,26,35
14,27,38
14,30,36
14,34,31
14,37,32
15,0,33
15,1,39
15,34,2
15,3,7
15,4,12
15,5,14
15,35,6
15,13,8
15,9,21
15,10,19
15,11,15
15,22,16
15,17,23
15,18,27
15,20,26
15,24,29
15,30,25
15,28,38
15,31,37
15,32,36
16,0,5
16,1,10
16,32,2
16,33,3
16,4,14
16,38,6
16,7,11
16,16,8
16,9,19
16,13,12
16,15,20
16,17,18
16,21,27
16,28,22
16,23,26
16,24,35
16,31,25
16,29,30
16,36,34
16,37,39
17,0,1
17,36,2
17,3,10
17,4,31
17,5,9
17,37,6
17,38,7
17,8,14
17,11,16
17,12,20
17,23,13
17,15,21
17,17,32
17,19,18
17,24,22
17,25,28
17,26,30
17,27,35
17,33,29
17,34,39
18,39,0
18,34,1
18,2,31
18,3,4
18,5,11
18,6,16
18,37,7
18,8,10
18,9,12
18,20,13
18,14,21
18,15,32
18,19,17
18,18,24
18,22,23
18,25,36
18,26,33
18,27,30
18,28,35
18,29,38
19,34,0
19,35,1
19,2,3
19,4,11
19,5,16
19,6,32
19,39,7
19,8,12
19,9,14
19,10,21
19,19,13
19,18,15
19,22,17
19,20,24
19,23,25
19,26,36
19,27,33
19,29,28
19,30,37
19,38,31
