5003,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 561,7231

NrViolations,0
Round,H_team,A_team 
0,0,1
0,2,16
0,3,24
0,4,27
0,35,5
0,6,15
0,7,21
0,20,8
0,9,19
0,23,10
0,11,30
0,33,12
0,36,13
0,28,14
0,17,34
0,18,37
0,25,22
0,29,26
0,39,31
0,32,38
1,0,12
1,32,1
1,2,31
1,3,14
1,4,22
1,17,5
1,35,6
1,7,13
1,9,8
1,18,10
1,20,11
1,33,15
1,16,26
1,36,19
1,28,21
1,23,27
1,39,24
1,25,37
1,29,34
1,38,30
2,0,20
2,1,39
2,2,26
2,3,8
2,4,12
2,29,5
2,7,6
2,9,28
2,10,34
2,33,11
2,13,27
2,36,14
2,15,22
2,16,37
2,21,17
2,18,35
2,38,19
2,23,31
2,25,24
2,32,30
3,37,0
3,1,9
3,24,2
3,19,3
3,38,4
3,5,28
3,6,17
3,34,7
3,8,23
3,10,39
3,26,11
3,12,25
3,20,13
3,14,33
3,15,18
3,21,16
3,22,35
3,27,36
3,30,29
3,31,32
4,19,0
4,1,37
4,6,2
4,12,3
4,20,4
4,5,18
4,22,7
4,8,17
4,26,9
4,14,10
4,11,35
4,34,13
4,15,29
4,24,16
4,30,21
4,39,23
4,28,25
4,27,33
4,31,38
4,32,36
5,23,0
5,34,1
5,32,2
5,6,3
5,11,4
5,5,16
5,24,7
5,8,13
5,22,9
5,12,10
5,14,37
5,35,15
5,17,38
5,28,18
5,19,20
5,31,21
5,25,33
5,26,27
5,39,29
5,30,36
6,0,6
6,3,1
6,2,30
6,4,5
6,7,26
6,25,8
6,9,20
6,29,10
6,11,14
6,13,12
6,36,15
6,16,22
6,35,17
6,18,27
6,37,19
6,21,38
6,23,34
6,32,24
6,39,28
6,33,31
7,0,22
7,1,12
7,2,39
7,3,31
7,4,14
7,19,5
7,33,6
7,7,15
7,8,30
7,9,32
7,10,28
7,13,11
7,16,23
7,29,17
7,18,25
7,38,20
7,21,26
7,27,24
7,36,34
7,37,35
8,0,35
8,1,19
8,15,2
8,3,25
8,4,24
8,9,5
8,8,6
8,7,23
8,10,31
8,38,11
8,16,12
8,13,21
8,20,14
8,18,17
8,30,22
8,28,26
8,27,29
8,33,32
8,37,34
8,36,39
9,15,0
9,1,23
9,2,7
9,5,3
9,6,4
9,10,8
9,24,9
9,34,11
9,12,19
9,22,13
9,14,18
9,28,16
9,17,36
9,20,39
9,27,21
9,25,32
9,26,37
9,38,29
9,30,33
9,31,35
10,31,0
10,29,1
10,2,17
10,39,3
10,26,4
10,5,21
10,6,19
10,14,7
10,11,8
10,37,9
10,24,10
10,30,12
10,32,13
10,34,15
10,20,16
10,22,18
10,23,36
10,25,38
10,28,27
10,35,33
11,21,0
11,31,1
11,2,36
11,34,3
11,4,8
11,5,7
11,6,28
11,14,9
11,22,10
11,11,18
11,35,12
11,17,13
11,37,15
11,19,16
11,26,20
11,23,33
11,24,38
11,29,25
11,32,27
11,39,30
12,0,38
12,13,1
12,8,2
12,3,30
12,4,25
12,33,5
12,11,6
12,7,28
12,9,10
12,12,14
12,27,15
12,16,34
12,17,26
12,18,31
12,19,29
12,36,20
12,21,39
12,37,22
12,23,32
12,35,24
13,0,32
13,1,6
13,33,2
13,3,26
13,4,39
13,12,5
13,9,7
13,8,22
13,10,11
13,13,35
13,27,14
13,15,23
13,16,25
13,17,37
13,18,29
13,19,24
13,21,20
13,38,28
13,30,34
13,31,36
14,0,14
14,1,4
14,10,2
14,15,3
14,20,5
14,25,6
14,18,7
14,34,8
14,9,35
14,11,19
14,12,37
14,13,33
14,16,17
14,22,21
14,28,23
14,24,36
14,26,31
14,30,27
14,29,32
14,38,39
15,30,0
15,2,1
15,33,3
15,10,4
15,5,15
15,6,13
15,11,7
15,28,8
15,38,9
15,22,12
15,14,31
15,32,16
15,24,17
15,34,18
15,25,19
15,20,23
15,29,21
15,39,26
15,35,27
15,36,37
16,24,0
16,22,1
16,2,13
16,28,3
16,34,4
16,5,27
16,6,18
16,7,17
16,32,8
16,29,9
16,36,10
16,11,16
16,23,12
16,14,21
16,39,15
16,35,19
16,20,30
16,25,31
16,33,26
16,37,38
17,0,33
17,17,1
17,27,2
17,3,29
17,4,16
17,39,5
17,6,9
17,7,38
17,8,14
17,26,10
17,23,11
17,12,20
17,13,28
17,15,24
17,36,18
17,19,22
17,21,32
17,35,25
17,37,30
17,31,34
18,17,0
18,1,35
18,18,2
18,3,36
18,13,4
18,5,30
18,27,6
18,7,25
18,8,24
18,9,23
18,10,32
18,31,11
18,12,39
18,14,22
18,15,38
18,16,29
18,19,28
18,37,20
18,21,33
18,26,34
19,13,0
19,1,7
19,14,2
19,38,3
19,15,4
19,5,23
19,34,6
19,8,29
19,16,9
19,10,33
19,17,11
19,12,18
19,19,32
19,27,20
19,21,36
19,22,39
19,24,28
19,26,25
19,30,35
19,31,37
