10000,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 29275,7231

NrViolations,0
Round,H_team,A_team 
0,0,8
0,1,14
0,4,2
0,3,13
0,5,6
0,7,26
0,9,24
0,10,28
0,15,11
0,12,17
0,19,16
0,27,18
0,22,20
0,36,21
0,33,23
0,32,25
0,29,30
0,38,31
0,34,35
0,39,37
1,0,13
1,1,8
1,15,2
1,3,7
1,29,4
1,5,16
1,6,25
1,9,14
1,23,10
1,11,19
1,18,12
1,17,24
1,20,27
1,37,21
1,22,30
1,32,26
1,36,28
1,34,31
1,33,39
1,38,35
2,14,0
2,1,17
2,20,2
2,22,3
2,30,4
2,11,5
2,6,7
2,8,16
2,18,9
2,10,13
2,29,12
2,15,27
2,23,19
2,21,33
2,25,24
2,38,26
2,28,39
2,35,31
2,34,32
2,37,36
3,0,17
3,7,1
3,2,9
3,31,3
3,18,4
3,10,5
3,21,6
3,8,19
3,11,23
3,30,12
3,13,27
3,14,22
3,20,15
3,16,33
3,24,34
3,25,38
3,26,29
3,28,37
3,32,35
3,39,36
4,0,11
4,4,1
4,2,17
4,27,3
4,5,23
4,39,6
4,7,29
4,12,8
4,9,22
4,19,10
4,13,20
4,14,18
4,21,15
4,28,16
4,24,38
4,35,25
4,26,34
4,36,30
4,31,32
4,37,33
5,9,0
5,1,15
5,2,11
5,3,29
5,4,24
5,5,7
5,36,6
5,18,8
5,16,10
5,12,22
5,13,35
5,17,14
5,37,19
5,20,21
5,23,25
5,31,26
5,27,32
5,33,28
5,39,30
5,34,38
6,0,1
6,3,2
6,6,4
6,5,25
6,15,7
6,17,8
6,9,12
6,11,10
6,14,13
6,16,39
6,22,18
6,36,19
6,20,33
6,21,30
6,23,28
6,26,24
6,27,35
6,29,31
6,38,32
6,34,37
7,18,0
7,1,13
7,7,2
7,3,23
7,4,34
7,32,5
7,6,38
7,8,39
7,29,9
7,10,20
7,11,36
7,14,12
7,35,15
7,21,16
7,30,17
7,19,28
7,22,33
7,24,31
7,25,37
7,26,27
8,12,0
8,2,1
8,8,3
8,4,38
8,35,5
8,6,34
8,7,23
8,30,9
8,10,36
8,33,11
8,13,22
8,26,14
8,32,15
8,16,20
8,17,18
8,19,39
8,28,21
8,24,37
8,25,29
8,31,27
9,2,0
9,12,1
9,16,3
9,8,4
9,38,5
9,19,6
9,13,7
9,17,9
9,15,10
9,28,11
9,31,14
9,30,18
9,37,20
9,39,21
9,27,22
9,23,32
9,24,29
9,25,34
9,35,26
9,33,36
