588,Heuristic,10000000,7230.000000,1,0.005000,500000,40,20
Time,Value 
Final, 70952,7231

NrViolations,0
Round,H_team,A_team 
0,0,5
0,1,6
0,2,4
0,16,3
0,7,10
0,8,14
0,9,13
0,11,12
0,15,19
0,17,24
0,18,20
0,21,23
0,27,22
0,32,25
0,28,26
0,37,29
0,30,31
0,33,38
0,34,35
0,39,36
1,0,4
1,35,1
1,2,8
1,3,19
1,5,14
1,6,10
1,9,7
1,17,11
1,12,13
1,15,20
1,16,24
1,18,23
1,21,32
1,28,22
1,33,25
1,30,26
1,29,27
1,31,38
1,39,34
1,37,36
2,0,8
2,39,1
2,2,11
2,3,10
2,4,7
2,12,5
2,6,14
2,9,19
2,13,18
2,15,16
2,23,17
2,20,21
2,29,22
2,24,27
2,34,25
2,26,33
2,28,31
2,36,30
2,32,35
2,37,38
3,31,0
3,38,1
3,16,2
3,3,13
3,4,15
3,7,5
3,6,9
3,8,11
3,10,18
3,14,12
3,22,17
3,19,29
3,20,37
3,21,39
3,27,23
3,24,33
3,25,26
3,34,28
3,35,30
3,32,36
4,36,0
4,1,13
4,31,2
4,14,3
4,12,4
4,5,8
4,7,6
4,9,16
4,10,15
4,11,18
4,17,20
4,19,22
4,21,29
4,23,39
4,24,25
4,26,38
4,33,27
4,35,28
4,32,30
4,37,34
5,38,0
5,1,11
5,30,2
5,3,9
5,18,4
5,5,17
5,6,16
5,12,7
5,8,13
5,10,14
5,15,24
5,19,23
5,20,29
5,21,37
5,22,26
5,25,28
5,35,27
5,31,39
5,34,32
5,36,33
6,0,3
6,7,1
6,2,14
6,4,17
6,5,16
6,6,11
6,8,9
6,26,10
6,12,24
6,13,19
6,18,15
6,20,23
6,27,21
6,22,30
6,25,37
6,28,36
6,29,31
6,39,32
6,33,34
6,38,35
7,0,11
7,1,4
7,3,2
7,13,5
7,6,8
7,7,14
7,9,17
7,27,10
7,35,12
7,28,15
7,16,18
7,19,24
7,20,30
7,26,21
7,23,22
7,25,36
7,29,34
7,31,33
7,38,32
7,37,39
8,33,0
8,8,1
8,7,2
8,3,4
8,5,9
8,19,6
8,16,10
8,11,13
8,37,12
8,14,20
8,27,15
8,17,18
8,21,30
8,22,25
8,23,26
8,24,36
8,32,28
8,29,38
8,31,34
8,39,35
9,39,0
9,10,1
9,2,5
9,15,3
9,4,9
9,34,6
9,17,7
9,8,16
9,11,20
9,36,12
9,14,13
9,18,19
9,22,21
9,23,38
9,24,26
9,25,31
9,28,27
9,32,29
9,30,37
9,35,33
10,29,0
10,9,1
10,2,22
10,12,3
10,4,8
10,5,10
10,33,6
10,19,7
10,11,16
10,13,20
10,15,14
10,17,35
10,18,24
10,21,25
10,34,23
10,26,36
10,27,30
10,28,37
10,31,32
10,38,39
11,0,10
11,1,12
11,6,2
11,3,22
11,4,5
11,16,7
11,8,15
11,9,11
11,13,17
11,14,24
11,18,35
11,33,19
11,20,26
11,21,28
11,32,23
11,25,30
11,39,27
11,36,29
11,31,37
11,38,34
12,6,0
12,3,1
12,2,12
12,25,4
12,5,18
12,7,8
12,9,22
12,10,20
12,11,15
12,13,24
12,14,35
12,16,26
12,17,28
12,34,19
12,21,31
12,23,33
12,36,27
12,29,39
12,30,38
12,37,32
13,0,1
13,2,9
13,11,3
13,33,4
13,34,5
13,6,18
13,7,21
13,8,20
13,10,13
13,12,16
13,14,26
13,15,17
13,32,19
13,22,37
13,23,31
13,24,30
13,25,39
13,38,27
13,28,29
13,35,36
14,0,9
14,1,21
14,2,13
14,8,3
14,36,4
14,35,5
14,15,6
14,7,18
14,10,11
14,12,20
14,16,14
14,19,17
14,22,31
14,23,25
14,24,37
14,26,39
14,27,32
14,38,28
14,33,29
14,30,34
15,34,0
15,1,2
15,3,21
15,4,10
15,31,5
15,12,6
15,13,7
15,17,8
15,9,15
15,11,14
15,16,19
15,18,22
15,20,25
15,36,23
15,24,38
15,26,27
15,39,28
15,30,29
15,32,33
15,37,35
16,32,0
16,1,14
16,2,10
16,5,3
16,4,11
16,13,6
16,15,7
16,18,8
16,9,12
16,16,17
16,19,20
16,21,24
16,22,38
16,37,23
16,25,27
16,29,26
16,28,30
16,31,35
16,39,33
16,34,36
17,28,0
17,5,1
17,36,2
17,6,3
17,4,16
17,7,11
17,8,21
17,18,9
17,10,12
17,15,13
17,14,17
17,19,39
17,20,22
17,30,23
17,24,34
17,25,38
17,26,32
17,27,31
17,29,35
17,37,33
18,0,15
18,1,16
18,35,2
18,3,7
18,13,4
18,5,6
18,10,8
18,14,9
18,11,21
18,17,12
18,33,18
18,19,28
18,20,32
18,22,34
18,23,24
18,29,25
18,26,31
18,27,37
18,30,39
18,38,36
19,0,7
19,1,15
19,39,2
19,20,3
19,4,6
19,11,5
19,12,8
19,10,9
19,13,16
19,14,19
19,17,21
19,38,18
19,22,32
19,23,28
19,24,29
19,35,25
19,26,37
19,27,34
19,30,33
19,36,31
