396,Heuristic,10000000,7230.000000,1,0.005000,500000,40,10
Time,Value 
Final, 1048,7231

NrViolations,0
Round,H_team,A_team 
0,0,2
0,12,1
0,8,3
0,9,4
0,7,5
0,6,10
0,11,13
0,14,15
0,26,16
0,17,22
0,18,19
0,24,20
0,23,21
0,27,25
0,35,28
0,29,31
0,30,32
0,33,38
0,34,37
0,39,36
1,0,5
1,14,1
1,2,11
1,10,3
1,6,4
1,8,7
1,12,9
1,17,13
1,15,18
1,29,16
1,19,22
1,26,20
1,25,21
1,24,23
1,32,27
1,38,28
1,30,31
1,33,35
1,34,39
1,37,36
2,7,0
2,2,1
2,9,3
2,4,11
2,5,6
2,17,8
2,10,14
2,15,12
2,13,18
2,30,16
2,21,19
2,23,20
2,22,24
2,25,26
2,31,27
2,36,28
2,32,29
2,34,33
2,35,39
2,38,37
3,11,0
3,1,4
3,6,2
3,3,7
3,5,15
3,18,8
3,9,14
3,16,10
3,13,12
3,20,17
3,24,19
3,21,26
3,22,23
3,25,30
3,27,38
3,28,29
3,31,34
3,32,39
3,37,33
3,36,35
4,9,0
4,1,6
4,2,7
4,3,5
4,4,15
4,11,8
4,18,10
4,12,14
4,22,13
4,17,16
4,19,23
4,21,20
4,24,26
4,28,25
4,39,27
4,29,38
4,30,34
4,31,32
4,33,36
4,37,35
5,0,6
5,1,3
5,2,5
5,4,7
5,8,9
5,12,10
5,11,15
5,19,13
5,14,22
5,16,21
5,18,17
5,20,30
5,23,31
5,25,24
5,26,28
5,33,27
5,29,34
5,32,35
5,38,36
5,37,39
6,0,3
6,5,1
6,2,4
6,8,6
6,7,9
6,10,13
6,12,11
6,14,37
6,15,21
6,16,22
6,19,17
6,20,18
6,23,30
6,28,24
6,25,31
6,26,29
6,36,27
6,34,32
6,33,39
6,35,38
7,0,8
7,7,1
7,3,2
7,4,5
7,6,12
7,9,10
7,11,14
7,13,37
7,15,16
7,17,21
7,22,18
7,20,19
7,23,29
7,27,24
7,36,25
7,39,26
7,28,31
7,30,33
7,38,32
7,35,34
8,4,0
8,1,8
8,10,2
8,3,6
8,5,11
8,7,12
8,19,9
8,13,14
8,15,17
8,16,20
8,21,18
8,22,37
8,27,23
8,24,29
8,39,25
8,35,26
8,28,30
8,31,33
8,36,32
8,38,34
9,1,0
9,8,2
9,3,4
9,5,12
9,6,7
9,18,9
9,10,11
9,13,15
9,14,17
9,16,19
9,20,22
9,21,24
9,26,23
9,37,25
9,27,28
9,29,30
9,31,35
9,32,33
9,34,36
9,39,38
