588,Heuristic,10000000,7230.000000,1,0.005000,500000,32,24
Time,Value 
Final, 412991,7231

NrViolations,0
Round,H_team,A_team 
0,0,16
0,1,26
0,8,2
0,3,19
0,22,4
0,27,5
0,6,29
0,7,24
0,18,9
0,17,10
0,13,11
0,28,12
0,20,14
0,31,15
0,23,21
0,30,25
1,0,19
1,27,1
1,14,2
1,3,22
1,4,24
1,10,5
1,6,23
1,7,16
1,8,15
1,9,26
1,28,11
1,12,17
1,13,25
1,18,29
1,20,21
1,31,30
2,0,9
2,5,1
2,21,2
2,3,23
2,4,15
2,16,6
2,7,30
2,24,8
2,26,10
2,11,25
2,12,31
2,28,13
2,14,27
2,29,17
2,18,20
2,19,22
3,1,0
3,2,24
3,5,3
3,11,4
3,6,30
3,23,7
3,25,8
3,16,9
3,29,10
3,12,18
3,13,31
3,14,17
3,15,27
3,19,20
3,22,21
3,26,28
4,29,0
4,1,11
4,2,19
4,3,20
4,17,4
4,5,24
4,6,9
4,7,21
4,26,8
4,22,10
4,13,12
4,16,14
4,23,15
4,31,18
4,25,28
4,30,27
5,0,26
5,1,2
5,11,3
5,27,4
5,8,5
5,10,6
5,31,7
5,9,25
5,12,29
5,13,17
5,19,14
5,22,15
5,20,16
5,28,18
5,24,21
5,30,23
6,2,0
6,9,1
6,27,3
6,4,25
6,5,16
6,6,26
6,15,7
6,20,8
6,10,12
6,11,30
6,14,13
6,17,23
6,18,19
6,21,28
6,24,22
6,31,29
7,23,0
7,1,3
7,2,13
7,4,26
7,18,5
7,7,6
7,8,12
7,20,9
7,19,10
7,11,14
7,15,17
7,16,22
7,21,27
7,24,25
7,28,31
7,30,29
8,22,0
8,1,7
8,3,2
8,4,13
8,5,20
8,6,8
8,29,9
8,16,10
8,31,11
8,21,12
8,25,14
8,15,19
8,28,17
8,30,18
8,23,27
8,26,24
9,0,6
9,1,25
9,20,2
9,16,3
9,10,4
9,5,26
9,9,7
9,8,21
9,23,11
9,12,15
9,13,18
9,14,29
9,17,30
9,31,19
9,22,28
9,24,27
10,0,5
10,24,1
10,4,2
10,6,3
10,25,7
10,8,28
10,9,23
10,10,21
10,29,11
10,12,16
10,13,19
10,14,30
10,15,18
10,26,17
10,20,22
10,27,31
11,15,0
11,1,23
11,2,5
11,18,3
11,4,14
11,22,6
11,7,28
11,8,29
11,13,9
11,10,20
11,11,12
11,30,16
11,17,27
11,19,24
11,26,21
11,25,31
12,28,0
12,1,18
12,2,7
12,3,26
12,4,6
12,5,19
12,22,8
12,30,9
12,14,10
12,11,16
12,27,12
12,21,13
12,29,15
12,17,31
12,24,20
12,25,23
13,31,0
13,14,1
13,18,2
13,3,7
13,5,4
13,19,6
13,8,13
13,17,9
13,10,11
13,24,12
13,21,15
13,16,26
13,29,20
13,23,22
13,27,25
13,30,28
14,0,24
14,28,1
14,2,16
14,3,4
14,6,5
14,7,11
14,8,31
14,9,27
14,10,18
14,12,22
14,20,13
14,21,14
14,15,30
14,25,17
14,19,26
14,29,23
15,0,4
15,13,1
15,2,31
15,9,3
15,5,7
15,6,25
15,17,8
15,10,24
15,26,11
15,12,20
15,14,23
15,28,15
15,16,29
15,27,18
15,19,21
15,30,22
16,0,25
16,1,6
16,2,29
16,24,3
16,4,9
16,5,28
16,7,19
16,14,8
16,15,10
16,11,27
16,23,12
16,13,30
16,16,21
16,17,20
16,26,18
16,22,31
17,30,0
17,1,17
17,22,2
17,3,25
17,7,4
17,5,23
17,27,6
17,8,9
17,13,10
17,11,20
17,12,26
17,14,15
17,18,16
17,19,28
17,21,29
17,31,24
18,27,0
18,19,1
18,2,23
18,3,21
18,4,8
18,25,5
18,6,18
18,7,22
18,9,12
18,30,10
18,11,17
18,29,13
18,31,14
18,15,24
18,16,28
18,20,26
19,18,0
19,22,1
19,15,2
19,29,3
19,4,20
19,9,5
19,6,11
19,10,7
19,8,30
19,25,12
19,23,13
19,28,14
19,16,19
19,17,24
19,21,31
19,26,27
20,0,7
20,10,1
20,28,2
20,15,3
20,4,18
20,5,29
20,17,6
20,8,27
20,24,9
20,19,11
20,14,12
20,22,13
20,25,16
20,20,31
20,21,30
20,23,26
21,0,11
21,1,16
21,12,2
21,28,3
21,21,4
21,17,5
21,24,6
21,7,29
21,19,8
21,9,22
21,10,27
21,13,15
21,18,14
21,20,30
21,23,31
21,26,25
22,0,21
22,31,1
22,2,17
22,3,8
22,12,4
22,30,5
22,6,14
22,18,7
22,9,10
22,11,15
22,26,13
22,24,16
22,25,19
22,20,23
22,27,22
22,29,28
23,3,0
23,15,1
23,2,6
23,29,4
23,31,5
23,7,20
23,16,8
23,9,19
23,25,10
23,11,22
23,12,30
23,27,13
23,26,14
23,21,17
23,18,24
23,23,28
