11,Heuristic,10000000,7230.000000,1,0.005000,500000,16,12
Time,Value 
Final, 127739,7231

NrViolations,0
Round,H_team,A_team 
0,6,0
0,5,1
0,2,4
0,3,8
0,15,7
0,9,14
0,11,10
0,12,13
1,10,0
1,1,11
1,5,2
1,3,4
1,13,6
1,7,14
1,8,9
1,15,12
2,0,13
2,1,4
2,2,9
2,3,11
2,7,5
2,14,6
2,15,8
2,10,12
3,0,3
3,7,1
3,2,11
3,4,13
3,10,5
3,12,6
3,14,8
3,9,15
4,4,0
4,1,2
4,6,3
4,9,5
4,11,7
4,12,8
4,13,10
4,15,14
5,0,2
5,12,1
5,5,3
5,4,6
5,7,9
5,8,11
5,14,10
5,13,15
6,7,0
6,15,1
6,8,2
6,3,9
6,10,4
6,5,6
6,11,12
6,14,13
7,8,0
7,13,1
7,2,3
7,4,7
7,11,5
7,6,9
7,10,15
7,12,14
8,9,0
8,1,3
8,13,2
8,4,15
8,14,5
8,6,11
8,12,7
8,10,8
9,0,11
9,6,1
9,14,2
9,3,10
9,4,8
9,15,5
9,13,7
9,9,12
10,0,15
10,1,10
10,2,6
10,7,3
10,9,4
10,5,12
10,8,13
10,11,14
11,0,14
11,1,9
11,2,10
11,3,12
11,5,4
11,6,15
11,8,7
11,11,13
