42,Heuristic,10000000,7230.000000,1,0.005000,500000,24,18
Time,Value 
Final, 235472,7231

NrViolations,0
Round,H_team,A_team 
0,3,0
0,12,1
0,2,17
0,8,4
0,5,16
0,10,6
0,7,9
0,23,11
0,13,19
0,18,14
0,22,15
0,21,20
1,16,0
1,1,21
1,12,2
1,11,3
1,22,4
1,5,9
1,18,6
1,13,7
1,8,15
1,10,14
1,23,17
1,19,20
2,0,14
2,16,1
2,15,2
2,3,12
2,9,4
2,22,5
2,23,6
2,21,7
2,20,8
2,18,10
2,13,11
2,17,19
3,0,5
3,1,19
3,14,2
3,3,13
3,4,11
3,6,16
3,7,17
3,8,18
3,9,22
3,10,23
3,20,12
3,21,15
4,0,20
4,17,1
4,2,16
4,3,9
4,7,4
4,6,5
4,8,22
4,19,10
4,11,15
4,12,14
4,21,13
4,18,23
5,11,0
5,13,1
5,6,2
5,23,3
5,4,18
5,5,10
5,7,12
5,14,8
5,9,20
5,19,15
5,22,16
5,17,21
6,0,13
6,20,1
6,2,3
6,21,4
6,5,7
6,11,6
6,12,8
6,19,9
6,16,10
6,14,22
6,15,23
6,17,18
7,6,0
7,1,4
7,18,2
7,3,20
7,5,23
7,14,7
7,8,13
7,9,17
7,10,11
7,12,22
7,15,16
7,21,19
8,0,18
8,1,5
8,2,11
8,3,21
8,4,12
8,6,17
8,15,7
8,10,8
8,9,13
8,16,14
8,19,22
8,20,23
9,0,9
9,1,3
9,23,2
9,4,14
9,21,5
9,7,6
9,8,11
9,22,10
9,12,15
9,13,16
9,20,17
9,19,18
10,22,0
10,11,1
10,2,13
10,15,3
10,4,6
10,20,5
10,7,19
10,8,21
10,9,10
10,23,12
10,17,14
10,16,18
11,0,2
11,1,6
11,14,3
11,16,4
11,5,19
11,18,7
11,8,17
11,9,23
11,10,13
11,11,12
11,15,20
11,21,22
12,17,0
12,1,23
12,2,7
12,3,22
12,4,20
12,12,5
12,6,8
12,11,9
12,10,21
12,18,13
12,14,15
12,16,19
13,12,0
13,1,15
13,10,2
13,3,16
13,13,4
13,14,5
13,9,6
13,23,7
13,19,8
13,17,11
13,18,21
13,22,20
14,15,0
14,22,1
14,2,21
14,3,18
14,4,5
14,6,12
14,7,11
14,8,9
14,17,10
14,13,14
14,20,16
14,23,19
15,0,8
15,1,18
15,2,19
15,6,3
15,15,4
15,5,11
15,7,10
15,9,12
15,13,17
15,20,14
15,21,16
15,22,23
16,0,23
16,7,1
16,2,8
16,17,3
16,4,10
16,5,15
16,6,22
16,16,9
16,11,18
16,19,12
16,20,13
16,14,21
17,10,0
17,14,1
17,5,2
17,19,3
17,4,17
17,13,6
17,16,7
17,23,8
17,15,9
17,11,20
17,12,21
17,18,22
